time,scope,value
1762811477.7595205,0,7653145.922973633
1762811477.7595205,1,7653145.922973633
1762811478.7589266,0,7653294.572814941
1762811478.7589266,1,7653294.572814941
1762811479.7596307,0,7653470.271789551
1762811479.7596307,1,7653470.271789551
1762811480.7589803,0,7653640.5380859375
1762811480.7589803,1,7653640.719482422
1762811481.7589312,0,7653805.614013672
1762811481.7589312,1,7653805.736694336
1762811482.7599134,0,7653970.228393555
1762811482.7599134,1,7653970.228393555
1762811483.7589266,0,7654134.015930176
1762811483.7589266,1,7654134.015930176
1762811484.7589858,0,7654299.554138184
1762811484.7589858,1,7654299.554138184
1762811485.7589228,0,7654463.721984863
1762811485.7589228,1,7654463.721984863
1762811486.7589242,0,7654627.74407959
1762811486.7589242,1,7654627.74407959
1762811487.7589388,0,7654792.176940918
1762811487.7589388,1,7654792.176940918
1762811488.7589247,0,7654957.08984375
1762811488.7589247,1,7654957.08984375
1762811489.7589195,0,7655121.286621094
1762811489.7589195,1,7655121.286621094
1762811490.758925,0,7655285.760192871
1762811490.758925,1,7655285.760192871
1762811491.7589178,0,7655449.886413574
1762811491.7589178,1,7655450.034851074
1762811492.758924,0,7655615.586181641
1762811492.758924,1,7655615.586181641
1762811493.7589955,0,7655779.688659668
1762811493.7589955,1,7655779.688659668
1762811494.7589383,0,7655944.466186523
1762811494.7589383,1,7655944.466186523
1762811495.7589295,0,7656108.85168457
1762811495.7589295,1,7656108.85168457
1762811496.7589982,0,7656273.724914551
1762811496.7589982,1,7656273.724914551
1762811497.7589257,0,7656437.180358887
1762811497.7589257,1,7656437.180358887
1762811498.758922,0,7656602.557128906
1762811498.758922,1,7656602.557128906
1762811499.7589035,0,7656766.045166016
1762811499.7589035,1,7656766.045166016
1762811500.7588506,0,7656931.262451172
1762811500.7588506,1,7656931.262451172
1762811501.7589204,0,7657095.971618652
1762811501.7589204,1,7657095.971618652
1762811502.7589207,0,7657260.2431640625
1762811502.7589207,1,7657260.2431640625
1762811503.758921,0,7657425.09375
1762811503.758921,1,7657425.09375
1762811504.758978,0,7657588.689025879
1762811504.758978,1,7657588.689025879
1762811505.7589252,0,7657754.073608398
1762811505.7589252,1,7657754.073608398
1762811506.7589262,0,7657918.450012207
1762811506.7589262,1,7657918.450012207
1762811507.7589192,0,7658083.172912598
1762811507.7589192,1,7658083.172912598
1762811508.758922,0,7658248.56262207
1762811508.758922,1,7658248.56262207
1762811509.7589307,0,7658412.461486816
1762811509.7589307,1,7658412.461486816
1762811510.7589319,0,7658576.615356445
1762811510.7589319,1,7658576.615356445
1762811511.7589226,0,7658740.551696777
1762811511.7589226,1,7658740.551696777
1762811512.7589216,0,7658905.113769531
1762811512.7589216,1,7658905.113769531
1762811513.759234,0,7659069.440246582
1762811513.759234,1,7659069.440246582
1762811514.7589874,0,7659235.4892578125
1762811514.7589874,1,7659235.4892578125
1762811515.758959,0,7659398.796875
1762811515.758959,1,7659398.796875
1762811516.7589147,0,7659563.902770996
1762811516.7589147,1,7659563.902770996
1762811517.7589223,0,7659727.522888184
1762811517.7589223,1,7659727.522888184
1762811518.758928,0,7659892.571105957
