time,value
1762813150.824343,2.0
1762813150.834423,2.0
1762813150.849269,3.0
1762813150.8639402,3.0
1762813150.878688,3.0
1762813150.8933403,3.0
1762813150.9080334,3.0
1762813150.9227028,3.0
1762813150.9374967,3.0
1762813150.9523354,3.0
1762813150.9679353,3.0
1762813150.9825847,3.0
1762813150.9972272,3.0
1762813151.0118854,3.0
1762813151.0266242,3.0
1762813151.0412695,3.0
1762813151.0559955,3.0
1762813151.0707185,3.0
1762813151.0859983,3.0
1762813151.1006727,3.0
1762813151.1153777,3.0
1762813151.1300855,3.0
1762813151.144772,3.0
1762813151.1595118,3.0
1762813151.174259,3.0
1762813151.1889656,3.0
1762813151.2036848,3.0
1762813151.2184284,3.0
1762813151.2331567,3.0
1762813151.2479784,3.0
1762813151.2627265,3.0
1762813151.2774873,3.0
1762813151.2922337,3.0
1762813151.306985,3.0
1762813151.3217022,3.0
1762813151.336494,3.0
1762813151.3512983,3.0
1762813151.3613498,2.0
1762813151.3761485,3.0
1762813151.3909347,3.0
1762813151.4057004,3.0
1762813151.4204876,3.0
1762813151.435274,3.0
1762813151.4500911,3.0
1762813151.4647455,3.0
1762813151.4795554,3.0
1762813151.4943316,3.0
1762813151.5091205,3.0
1762813151.5239394,3.0
1762813151.538692,3.0
1762813151.553499,3.0
1762813151.5683167,3.0
1762813151.5831394,3.0
1762813151.5979533,3.0
1762813151.6127434,3.0
1762813151.6228063,2.0
1762813151.6376247,3.0
1762813151.6476815,2.0
1762813151.657707,2.0
1762813151.6725297,3.0
1762813151.682549,2.0
1762813151.6925933,2.0
1762813151.7072816,3.0
1762813151.71738,2.0
1762813151.7274003,2.0
1762813151.737515,2.0
1762813151.7523205,3.0
1762813151.766124,2.0
1762813151.7767107,2.0
1762813151.7902176,1.0
1762813151.804967,1.0
1762813151.8191247,2.0
1762813151.8292818,2.0
1762813151.8395252,2.0
1762813151.8500595,2.0
1762813151.8603148,2.0
1762813151.8705575,2.0
1762813151.8810148,2.0
1762813151.8911428,2.0
1762813151.9013999,2.0
1762813151.911654,2.0
1762813151.9220705,2.0
1762813151.9322932,2.0
1762813151.9425704,2.0
1762813151.9526167,2.0
1762813151.9626896,2.0
1762813151.9727218,2.0
1762813151.9875298,3.0
1762813152.0024037,3.0
1762813152.0125055,2.0
1762813152.0273669,3.0
1762813152.0374436,2.0
1762813152.0523107,3.0
1762813152.0624096,2.0
1762813152.0724175,2.0
1762813152.0824866,2.0
1762813152.0925333,2.0
1762813152.1026316,2.0
1762813152.1175013,3.0
1762813152.1276858,2.0
1762813152.1377957,2.0
1762813152.1480384,2.0
1762813152.1581373,2.0
1762813152.168297,2.0
1762813152.178329,2.0
1762813152.188516,2.0
1762813152.1986644,2.0
1762813152.2088068,2.0
1762813152.2189791,2.0
1762813152.2291067,2.0
1762813152.2392573,2.0
1762813152.2493782,2.0
1762813152.2595189,2.0
1762813152.2696335,2.0
1762813152.2797544,2.0
1762813152.289882,2.0
1762813152.3000402,2.0
1762813152.310144,2.0
1762813152.3202746,2.0
1762813152.3304555,2.0
1762813152.3406653,2.0
1762813152.3509138,2.0
1762813152.3611038,2.0
1762813152.3712997,2.0
1762813152.3815112,2.0
1762813152.3916643,2.0
1762813152.4018433,2.0
1762813152.4120176,2.0
1762813152.4221456,2.0
1762813152.4322782,2.0
1762813152.4424596,2.0
1762813152.4526422,2.0
1762813152.4628441,2.0
1762813152.4730349,2.0
1762813152.483217,2.0
1762813152.4933977,2.0
1762813152.5036778,2.0
1762813152.513847,2.0
1762813152.5240302,2.0
1762813152.5341978,2.0
1762813152.5449884,2.0
1762813152.5551736,2.0
1762813152.5653734,2.0
1762813152.5755672,2.0
1762813152.585755,2.0
1762813152.5959797,2.0
1762813152.6107566,3.0
1762813152.6209476,2.0
1762813152.6311393,2.0
1762813152.6413171,2.0
1762813152.6514852,2.0
1762813152.6616054,2.0
1762813152.6717286,2.0
1762813152.6818147,2.0
1762813152.6919625,2.0
1762813152.7020712,2.0
1762813152.7122014,2.0
1762813152.7223134,2.0
1762813152.732439,2.0
1762813152.742667,2.0
1762813152.753764,2.0
1762813152.764944,2.0
1762813152.7806249,2.0
1762813152.805041,3.0
1762813152.8181412,1.0
1762813152.828232,2.0
1762813152.8429875,3.0
1762813152.8532963,2.0
1762813152.868049,3.0
1762813152.8780737,2.0
1762813152.8927958,3.0
1762813152.9075668,3.0
1762813152.922331,3.0
1762813152.9370766,3.0
1762813152.9517646,3.0
1762813152.9664326,3.0
1762813152.976448,2.0
1762813152.9865644,2.0
1762813153.0013874,3.0
1762813153.0137866,2.0
1762813153.023857,2.0
1762813153.034168,2.0
1762813153.0445335,2.0
1762813153.0549195,2.0
1762813153.0652702,2.0
1762813153.0756476,2.0
1762813153.0860958,2.0
1762813153.0964503,2.0
1762813153.1068711,2.0
