time,value
1762789717.8313148,1.0
1762789717.8601308,1.0
1762789717.889065,1.0
1762789717.918124,1.0
1762789717.9469972,1.0
1762789717.9759977,1.0
1762789718.0048604,1.0
1762789718.0340948,1.0
1762789718.063009,1.0
1762789718.091844,1.0
1762789718.1208823,1.0
1762789718.1498084,1.0
1762789718.1788409,1.0
1762789718.2080526,1.0
1762789718.2371724,1.0
1762789718.2660928,1.0
1762789718.294908,1.0
1762789718.3238213,1.0
1762789718.3526163,1.0
1762789718.3814795,1.0
1762789718.4104536,1.0
1762789718.4394164,1.0
1762789718.4683623,1.0
1762789718.4971993,1.0
1762789718.5271704,1.0
1762789718.556599,1.0
1762789718.5856533,1.0
1762789718.6147354,1.0
1762789718.6460238,1.0
1762789718.674922,1.0
1762789718.7037702,1.0
1762789718.7325902,1.0
1762789718.7618005,1.0
1762789718.7953615,1.0
1762789718.8243968,1.0
1762789718.853405,1.0
1762789718.8828034,1.0
1762789718.9118555,1.0
1762789718.9406965,1.0
1762789718.969647,1.0
1762789718.999111,1.0
1762789719.0300465,1.0
1762789719.0591402,1.0
1762789719.0882654,1.0
1762789719.117434,1.0
1762789719.1464658,1.0
1762789719.1753569,1.0
1762789719.2042398,1.0
1762789719.2460968,1.0
1762789719.274363,1.0
1762789719.302496,1.0
1762789719.3304532,1.0
1762789719.3584552,1.0
1762789719.3863227,1.0
1762789719.4143157,1.0
1762789719.442317,1.0
1762789719.470287,1.0
1762789719.4983435,1.0
1762789719.5274642,1.0
1762789719.5561564,1.0
1762789719.5840478,1.0
1762789719.611982,1.0
1762789719.6399484,1.0
1762789719.667897,1.0
1762789719.6958108,1.0
1762789719.7305448,1.0
1762789719.762046,1.0
1762789719.7898943,1.0
1762789719.8116648,1.0
1762789719.8335626,1.0
1762789719.8552766,1.0
1762789719.8769372,1.0
1762789719.8986204,1.0
1762789719.9202645,1.0
1762789719.9420073,1.0
1762789719.9637089,1.0
1762789719.985421,1.0
1762789720.00715,1.0
1762789720.028881,1.0
1762789720.0505626,1.0
1762789720.072268,1.0
1762789720.094113,1.0
1762789720.1158476,1.0
1762789720.1375065,1.0
1762789720.159276,1.0
1762789720.180974,1.0
1762789720.2027113,1.0
1762789720.2247252,1.0
1762789720.2464252,1.0
1762789720.2681313,1.0
1762789720.2898679,1.0
1762789720.3115764,1.0
1762789720.3332648,1.0
1762789720.3550103,1.0
1762789720.37676,1.0
1762789720.3985229,1.0
1762789720.4201922,1.0
1762789720.441895,1.0
1762789720.4634998,1.0
1762789720.485246,1.0
1762789720.5069497,1.0
1762789720.5298765,1.0
1762789720.5516784,1.0
1762789720.5733485,1.0
1762789720.5952532,1.0
1762789720.6173878,1.0
1762789720.6393373,1.0
1762789720.661348,1.0
1762789720.6833305,1.0
1762789720.705209,1.0
1762789720.7273185,1.0
1762789720.7492406,1.0
1762789720.7758503,1.0
1762789720.7997909,1.0
1762789720.8218584,1.0
1762789720.8435144,1.0
1762789720.8652136,1.0
1762789720.8872545,1.0
1762789720.909696,1.0
1762789720.931406,1.0
1762789720.9533217,1.0
1762789720.9756415,1.0
1762789720.9977617,1.0
1762789721.0223868,1.0
1762789721.0442822,1.0
1762789721.0661218,1.0
1762789721.0880063,1.0
1762789721.109843,1.0
1762789721.1317084,1.0
1762789721.1537313,1.0
1762789721.1755817,1.0
1762789721.1977293,1.0
1762789721.2197447,1.0
1762789721.2419982,1.0
1762789721.2641604,1.0
1762789721.2863364,1.0
1762789721.3084915,1.0
1762789721.3307006,1.0
1762789721.353118,1.0
1762789721.3752859,1.0
1762789721.397367,1.0
1762789721.419567,1.0
1762789721.4417226,1.0
1762789721.4638193,1.0
1762789721.4860253,1.0
1762789721.508228,1.0
1762789721.532487,1.0
1762789721.554539,1.0
1762789721.5767598,1.0
1762789721.5989168,1.0
1762789721.62149,1.0
1762789721.6437218,1.0
1762789721.6657786,1.0
1762789721.6879845,1.0
1762789721.7101767,1.0
1762789721.7325675,1.0
1762789721.7549224,1.0
1762789721.7847452,1.0
1762789721.806517,1.0
1762789721.8281667,1.0
1762789721.8499198,1.0
1762789721.8717892,1.0
1762789721.893415,1.0
1762789721.9151309,1.0
1762789721.9366617,1.0
1762789721.9584138,1.0
1762789721.9801595,1.0
1762789722.0017557,1.0
1762789722.0235913,1.0
1762789722.04529,1.0
1762789722.0680122,1.0
1762789722.089736,1.0
1762789722.1114504,1.0
1762789722.1333659,1.0
1762789722.1550584,1.0
1762789722.176794,1.0
1762789722.19844,1.0
1762789722.2209268,1.0
1762789722.2426746,1.0
1762789722.2643096,1.0
1762789722.2859433,1.0
1762789722.3076549,1.0
1762789722.3293598,1.0
1762789722.3510144,1.0
1762789722.372719,1.0
1762789722.394284,1.0
1762789722.4160068,1.0
1762789722.437665,1.0
1762789722.4594991,1.0
1762789722.4814262,1.0
1762789722.5032837,1.0
1762789722.5262055,1.0
1762789722.5484247,1.0
1762789722.570328,1.0
1762789722.5919557,1.0
1762789722.614596,1.0
1762789722.6362932,1.0
1762789722.6579783,1.0
1762789722.6796231,1.0
1762789722.701595,1.0
1762789722.7237258,1.0
1762789722.7453096,1.0
1762789722.76974,1.0
1762789722.7954392,1.0
1762789722.81715,1.0
1762789722.8387167,1.0
1762789722.86057,1.0
1762789722.8823388,1.0
1762789722.9040666,1.0
1762789722.925722,1.0
1762789722.9473748,1.0
1762789722.9691072,1.0
1762789722.9908772,1.0
1762789723.0129411,1.0
1762789723.036536,1.0
1762789723.0579484,1.0
1762789723.0794811,1.0
1762789723.1011019,1.0
1762789723.1224687,1.0
1762789723.1440864,1.0
1762789723.165533,1.0
1762789723.187088,1.0
1762789723.208398,1.0
1762789723.2299783,1.0
1762789723.2514133,1.0
1762789723.2729728,1.0
1762789723.2944453,1.0
1762789723.3158824,1.0
1762789723.3373508,1.0
1762789723.3587763,1.0
1762789723.3802023,1.0
1762789723.4016206,1.0
1762789723.4231176,1.0
1762789723.4445455,1.0
1762789723.4660237,1.0
1762789723.4877584,1.0
1762789723.509305,1.0
1762789723.5320637,1.0
1762789723.5537705,1.0
1762789723.5752668,1.0
1762789723.5967155,1.0
1762789723.6184566,1.0
1762789723.6399243,1.0
1762789723.6614354,1.0
1762789723.6828732,1.0
1762789723.7043421,1.0
1762789723.7258942,1.0
1762789723.7473674,1.0
1762789723.774599,1.0
1762789723.7960665,1.0
1762789723.817414,1.0
1762789723.8391712,1.0
1762789723.860628,1.0
1762789723.882051,1.0
1762789723.903571,1.0
1762789723.9250414,1.0
1762789723.946511,1.0
1762789723.9679503,1.0
1762789723.989362,1.0
1762789724.010992,1.0
1762789724.032421,1.0
1762789724.0538971,1.0
1762789724.0789897,1.0
1762789724.1005597,1.0
1762789724.1222773,1.0
1762789724.1441243,1.0
1762789724.165654,1.0
1762789724.1871185,1.0
1762789724.2086387,1.0
1762789724.2303143,1.0
1762789724.2518728,1.0
1762789724.273425,1.0
1762789724.2949572,1.0
1762789724.3164809,1.0
1762789724.3379185,1.0
1762789724.3594427,1.0
1762789724.3810954,1.0
1762789724.4025717,1.0
1762789724.4242294,1.0
1762789724.446101,1.0
1762789724.4675918,1.0
1762789724.4890919,1.0
1762789724.5107825,1.0
1762789724.5338423,1.0
1762789724.5555158,1.0
1762789724.577007,1.0
1762789724.59847,1.0
1762789724.6203587,1.0
1762789724.6418433,1.0
1762789724.6638544,1.0
1762789724.6859055,1.0
1762789724.707479,1.0
1762789724.728999,1.0
1762789724.750737,1.0
1762789724.78037,1.0
1762789724.8019571,1.0
1762789724.8235424,1.0
1762789724.8451765,1.0
1762789724.8668032,1.0
1762789724.8882477,1.0
1762789724.9097621,1.0
1762789724.9312658,1.0
1762789724.9527335,1.0
1762789724.974287,1.0
1762789724.9958138,1.0
1762789725.017678,1.0
1762789725.0421815,1.0
1762789725.0636709,1.0
1762789725.0851426,1.0
1762789725.1066682,1.0
1762789725.1282349,1.0
1762789725.1497576,1.0
1762789725.1712482,1.0
1762789725.192814,1.0
1762789725.2144413,1.0
1762789725.236112,1.0
1762789725.2575896,1.0
1762789725.2790895,1.0
1762789725.3005812,1.0
1762789725.3220892,1.0
1762789725.3436482,1.0
1762789725.3651245,1.0
1762789725.3865643,1.0
1762789725.4080782,1.0
1762789725.4295864,1.0
1762789725.4678922,1.0
1762789725.4897013,1.0
1762789725.511189,1.0
1762789725.5339162,1.0
1762789725.5557022,1.0
1762789725.5771012,1.0
1762789725.5984917,1.0
1762789725.6203518,1.0
1762789725.6417782,1.0
1762789725.663211,1.0
1762789725.684645,1.0
1762789725.7063496,1.0
1762789725.7277942,1.0
1762789725.7492185,1.0
1762789725.7752137,1.0
1762789725.796743,1.0
1762789725.8184974,1.0
1762789725.8400826,1.0
1762789725.861631,1.0
1762789725.8830817,1.0
1762789725.905135,1.0
1762789725.9266257,1.0
1762789725.9480941,1.0
1762789725.9694924,1.0
1762789725.9910078,1.0
1762789726.0126092,1.0
1762789726.0345519,1.0
1762789726.056044,1.0
1762789726.077808,1.0
1762789726.0994852,1.0
1762789726.121077,1.0
1762789726.1424987,1.0
1762789726.1640067,1.0
1762789726.1854813,1.0
1762789726.2070365,1.0
1762789726.2284672,1.0
1762789726.2500546,1.0
1762789726.2714865,1.0
1762789726.293138,1.0
1762789726.3150299,1.0
1762789726.3364165,1.0
1762789726.357836,1.0
1762789726.379292,1.0
1762789726.4007611,1.0
1762789726.42246,1.0
1762789726.443879,1.0
1762789726.4652538,1.0
1762789726.4868433,1.0
1762789726.508319,1.0
1762789726.5309198,1.0
1762789726.552508,1.0
1762789726.5740871,1.0
1762789726.5956388,1.0
1762789726.6176212,1.0
1762789726.639117,1.0
1762789726.6605978,1.0
1762789726.6820483,1.0
1762789726.7035708,1.0
1762789726.7256873,1.0
1762789726.7472224,1.0
1762789726.772627,1.0
1762789726.7947037,1.0
1762789726.8279703,1.0
1762789726.8492794,1.0
1762789726.8704977,1.0
1762789726.8918214,1.0
1762789726.9132068,1.0
1762789726.934398,1.0
1762789726.9556296,1.0
1762789726.9769325,1.0
1762789726.998204,1.0
1762789727.0193725,1.0
1762789727.0439968,1.0
1762789727.0651371,1.0
1762789727.0862844,1.0
1762789727.1074429,1.0
1762789727.128616,1.0
1762789727.1496952,1.0
1762789727.1711624,1.0
1762789727.192441,1.0
1762789727.2136233,1.0
1762789727.2350538,1.0
1762789727.2563248,1.0
1762789727.2777193,1.0
1762789727.2995093,1.0
1762789727.321024,1.0
1762789727.3423946,1.0
1762789727.363875,1.0
1762789727.385322,1.0
1762789727.4068196,1.0
1762789727.4281173,1.0
1762789727.4493942,1.0
1762789727.470774,1.0
1762789727.4922292,1.0
1762789727.5136294,1.0
1762789727.5353644,1.0
1762789727.5570676,1.0
1762789727.5790288,1.0
1762789727.6005833,1.0
1762789727.6224902,1.0
1762789727.6437337,1.0
1762789727.6650465,1.0
1762789727.686429,1.0
1762789727.7077725,1.0
1762789727.7293603,1.0
1762789727.7507803,1.0
1762789727.7765086,1.0
1762789727.7978668,1.0
1762789727.8193817,1.0
1762789727.840685,1.0
1762789727.8623588,1.0
1762789727.8837245,1.0
1762789727.9052281,1.0
1762789727.9266386,1.0
1762789727.9480686,1.0
1762789727.9694953,1.0
1762789727.9910505,1.0
1762789728.0124807,1.0
1762789728.0338342,1.0
1762789728.0553195,1.0
1762789728.0767643,1.0
1762789728.0980158,1.0
1762789728.1195207,1.0
1762789728.1409445,1.0
1762789728.162394,1.0
1762789728.1837857,1.0
1762789728.2054236,1.0
1762789728.227085,1.0
1762789728.2485452,1.0
1762789728.2701614,1.0
1762789728.2916179,1.0
1762789728.3133147,1.0
1762789728.334768,1.0
1762789728.356255,1.0
1762789728.3778574,1.0
1762789728.3993526,1.0
1762789728.4207263,1.0
1762789728.4422429,1.0
1762789728.4637022,1.0
1762789728.4852493,1.0
1762789728.5069337,1.0
1762789728.5295327,1.0
1762789728.551174,1.0
1762789728.5728176,1.0
1762789728.5942817,1.0
1762789728.6158755,1.0
1762789728.6379354,1.0
1762789728.6594863,1.0
1762789728.681008,1.0
1762789728.702699,1.0
1762789728.724173,1.0
1762789728.7456748,1.0
1762789728.7695565,1.0
1762789728.7923222,1.0
1762789728.8139606,1.0
1762789728.835683,1.0
1762789728.857376,1.0
1762789728.8790605,1.0
1762789728.901276,1.0
1762789728.9229252,1.0
1762789728.944528,1.0
1762789728.9663117,1.0
1762789728.9879696,1.0
1762789729.009624,1.0
1762789729.0313044,1.0
1762789729.0550709,1.0
1762789729.0767903,1.0
1762789729.0983732,1.0
1762789729.1201262,1.0
1762789729.1420343,1.0
1762789729.163548,1.0
1762789729.185177,1.0
1762789729.20673,1.0
1762789729.2282598,1.0
1762789729.2497976,1.0
1762789729.271202,1.0
1762789729.2927747,1.0
1762789729.3142376,1.0
1762789729.3356702,1.0
1762789729.3572476,1.0
1762789729.3787715,1.0
1762789729.4003127,1.0
1762789729.4219031,1.0
1762789729.443398,1.0
1762789729.4648838,1.0
1762789729.4864478,1.0
1762789729.5079494,1.0
1762789729.5301685,1.0
1762789729.553596,1.0
1762789729.5752149,1.0
1762789729.596662,1.0
1762789729.6185453,1.0
1762789729.6401935,1.0
1762789729.6617694,1.0
1762789729.6833115,1.0
1762789729.705218,1.0
1762789729.726848,1.0
1762789729.7484305,1.0
1762789729.7737646,1.0
1762789729.7972965,1.0
1762789729.8188965,1.0
1762789729.840401,1.0
