time,scope,value
1758254367.6803918,0,258678.21514892578
1758254367.6803918,1,258678.30255126953
1758254368.6797404,0,258822.37768554688
1758254368.6797404,1,258823.10388183594
1758254369.679915,0,258971.35717773438
1758254369.679915,1,258971.80267333984
1758254370.6804361,0,259061.26751708984
1758254370.6804361,1,259061.58966064453
1758254371.6796265,0,259139.45837402344
1758254371.6796265,1,259139.81018066406
1758254372.6796088,0,259222.15698242188
1758254372.6796088,1,259222.23706054688
1758254373.6805212,0,259304.98065185547
1758254373.6805212,1,259305.40014648438
1758254374.6796536,0,259387.68817138672
1758254374.6796536,1,259388.09075927734
1758254375.6802788,0,259470.57446289062
1758254375.6802788,1,259470.84002685547
1758254376.6801722,0,259553.21893310547
1758254376.6801722,1,259553.28936767578
1758254377.6804616,0,259635.86151123047
1758254377.6804616,1,259636.00714111328
1758254378.680177,0,259718.76977539062
1758254378.680177,1,259718.85321044922
1758254379.6796558,0,259802.16479492188
1758254379.6796558,1,259802.49041748047
1758254380.6803136,0,259884.1528930664
1758254380.6803136,1,259884.46813964844
1758254381.680366,0,259966.833984375
1758254381.680366,1,259967.17431640625
1758254382.6798296,0,260049.59106445312
1758254382.6798296,1,260049.67053222656
1758254383.6804106,0,260132.6078491211
1758254383.6804106,1,260133.10382080078
1758254384.680296,0,260215.41833496094
1758254384.680296,1,260215.49731445312
1758254385.6799486,0,260298.04956054688
1758254385.6799486,1,260298.38244628906
1758254386.679561,0,260380.78649902344
1758254386.679561,1,260381.0357055664
1758254387.6796224,0,260463.50299072266
1758254387.6796224,1,260463.67810058594
1758254388.6798706,0,260546.4285888672
1758254388.6798706,1,260546.85095214844
1758254389.680056,0,260629.15454101562
1758254389.680056,1,260629.48614501953
1758254390.6804225,0,260711.87701416016
1758254390.6804225,1,260712.27960205078
1758254391.6800659,0,260794.60412597656
1758254391.6800659,1,260794.94219970703
1758254392.680035,0,260877.35510253906
1758254392.680035,1,260877.84118652344
1758254393.680141,0,260959.97814941406
1758254393.680141,1,260960.3262939453
1758254394.6800492,0,261042.79693603516
1758254394.6800492,1,261043.20318603516
1758254395.6804154,0,261125.60546875
1758254395.6804154,1,261126.01153564453
1758254396.6795936,0,261208.34643554688
1758254396.6795936,1,261208.41632080078
1758254397.6800935,0,261291.1678466797
1758254397.6800935,1,261291.55877685547
1758254398.6795661,0,261373.7957763672
1758254398.6795661,1,261373.95111083984
1758254399.6805012,0,261456.78259277344
1758254399.6805012,1,261456.92474365234
1758254400.6802998,0,261539.486328125
1758254400.6802998,1,261539.90008544922
1758254401.6802866,0,261622.11126708984
1758254401.6802866,1,261622.4405517578
1758254402.6805458,0,261705.09814453125
1758254402.6805458,1,261705.3325805664
1758254403.6805048,0,261787.81805419922
1758254403.6805048,1,261788.2266845703
1758254404.6799583,0,261870.52978515625
