time,actuator,value
1758257264.0380385,Actuator(ptr=c_void_p(94133622684768)),165.0
1758257266.0475674,Actuator(ptr=c_void_p(94133622684768)),78.0
1758257268.0588837,Actuator(ptr=c_void_p(94133622684768)),124.0
1758257270.0705624,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257272.0799778,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257274.0892527,Actuator(ptr=c_void_p(94133622684768)),141.0
1758257276.101142,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257278.1119454,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257280.1233613,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257282.1334574,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257284.144489,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257286.155734,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257288.1642292,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257290.1739872,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257292.1858313,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257294.194154,Actuator(ptr=c_void_p(94133622684768)),141.0
1758257296.2040744,Actuator(ptr=c_void_p(94133622684768)),141.0
1758257298.2140367,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257300.2242823,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257302.2342863,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257304.247251,Actuator(ptr=c_void_p(94133622684768)),141.0
1758257306.2606933,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257308.27245,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257310.2806754,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257312.292346,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257314.3026307,Actuator(ptr=c_void_p(94133622684768)),141.0
1758257316.3128603,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257318.3228736,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257320.3332367,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257322.3453193,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257324.3552043,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257326.3656392,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257328.377669,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257330.3867605,Actuator(ptr=c_void_p(94133622684768)),141.0
1758257332.3972244,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257334.409464,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257336.4196982,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257338.429781,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257340.4383073,Actuator(ptr=c_void_p(94133622684768)),141.0
1758257342.4494684,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257344.460801,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257346.4730737,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257348.4852014,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257350.494235,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257352.5043368,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257354.5151336,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257356.525529,Actuator(ptr=c_void_p(94133622684768)),141.0
1758257358.5351057,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257360.546588,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257362.5582972,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257364.5670466,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257366.576851,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257368.5868676,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257370.5965047,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257372.6097634,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257374.6191678,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257376.6289167,Actuator(ptr=c_void_p(94133622684768)),141.0
1758257378.640245,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257380.650184,Actuator(ptr=c_void_p(94133622684768)),136.0
1758257382.6610813,Actuator(ptr=c_void_p(94133622684768)),141.0
