time,value
1746123817.1544151,1.0
1746123817.2710006,1.0
1746123817.3879774,1.0
1746123817.5068176,1.0
1746123817.6233296,1.0
1746123817.740326,1.0
1746123817.8570836,1.0
1746123818.0015054,1.0
1746123818.1192336,1.0
1746123818.2352345,1.0
1746123818.351459,1.0
1746123818.477967,1.0
1746123818.5951815,1.0
1746123818.7108488,1.0
1746123818.8289554,1.0
1746123818.9603221,1.0
1746123819.1277542,1.0
1746123819.286378,1.0
1746123819.4435232,1.0
1746123819.602773,1.0
1746123819.7592893,1.0
1746123819.917589,1.0
1746123820.0786324,1.0
1746123820.2349224,1.0
1746123820.4144573,1.0
1746123820.5713325,1.0
1746123820.727861,1.0
1746123820.875683,1.0
1746123820.9987183,1.0
1746123821.1203835,1.0
1746123821.2403617,1.0
1746123821.3614805,1.0
1746123821.4818532,1.0
1746123821.6022477,1.0
1746123821.7223103,1.0
1746123821.8424766,1.0
1746123821.963679,1.0
1746123822.087735,1.0
1746123822.2077174,1.0
1746123822.3277733,1.0
1746123822.4648697,1.0
1746123822.584518,1.0
1746123822.7039337,1.0
1746123822.8280928,1.0
1746123822.9512239,1.0
1746123823.0779464,1.0
1746123823.1977816,1.0
1746123823.3176508,1.0
1746123823.4377728,1.0
1746123823.5584137,1.0
1746123823.6794012,1.0
1746123823.7991302,1.0
1746123823.9197927,1.0
1746123824.0419855,1.0
1746123824.1617448,1.0
1746123824.2814574,1.0
1746123824.4009662,1.0
1746123824.520502,1.0
1746123824.6400893,1.0
1746123824.7596886,1.0
1746123824.8823175,1.0
1746123825.004629,1.0
1746123825.1255088,1.0
1746123825.2455497,1.0
1746123825.3655314,1.0
1746123825.4861248,1.0
1746123825.6068006,1.0
1746123825.7262552,1.0
1746123825.8459113,1.0
1746123825.9666765,1.0
1746123826.0887372,1.0
1746123826.2085505,1.0
1746123826.3280797,1.0
1746123826.4479764,1.0
1746123826.5677278,1.0
1746123826.6873841,1.0
1746123826.8071542,1.0
1746123826.9294865,1.0
1746123827.0516107,1.0
1746123827.1712837,1.0
1746123827.2909102,1.0
1746123827.4107897,1.0
1746123827.5311108,1.0
1746123827.6510043,1.0
1746123827.770869,1.0
1746123827.890592,1.0
1746123828.0385096,1.0
1746123828.1590967,1.0
1746123828.2795494,1.0
1746123828.4002936,1.0
1746123828.5204062,1.0
1746123828.6407495,1.0
1746123828.7613583,1.0
1746123828.8840292,1.0
1746123829.006319,1.0
1746123829.127542,1.0
1746123829.2481341,1.0
1746123829.368725,1.0
1746123829.4890327,1.0
1746123829.610058,1.0
1746123829.730528,1.0
1746123829.850832,1.0
1746123829.9730973,1.0
1746123830.0952065,1.0
1746123830.215431,1.0
1746123830.3356848,1.0
1746123830.456205,1.0
1746123830.5764613,1.0
1746123830.696721,1.0
1746123830.8170183,1.0
1746123830.9397295,1.0
1746123831.064442,1.0
1746123831.1864886,1.0
1746123831.3072953,1.0
1746123831.4281063,1.0
1746123831.5491405,1.0
1746123831.6699564,1.0
1746123831.7904406,1.0
1746123831.9113703,1.0
1746123832.0499907,1.0
1746123832.1714122,1.0
1746123832.2928164,1.0
1746123832.4146414,1.0
1746123832.5359426,1.0
1746123832.65707,1.0
1746123832.778481,1.0
1746123832.905472,1.0
1746123833.0342293,1.0
1746123833.1557984,1.0
1746123833.2771971,1.0
1746123833.3990486,1.0
1746123833.5204792,1.0
1746123833.6422856,1.0
1746123833.7635899,1.0
1746123833.8849385,1.0
1746123834.0096614,1.0
1746123834.132262,1.0
1746123834.2534044,1.0
1746123834.375451,1.0
1746123834.496594,1.0
1746123834.6179867,1.0
1746123834.7392666,1.0
1746123834.8603077,1.0
1746123834.9866886,1.0
1746123835.1084554,1.0
1746123835.2295756,1.0
1746123835.3509421,1.0
1746123835.4724545,1.0
1746123835.5941074,1.0
1746123835.7153962,1.0
1746123835.8364515,1.0
1746123835.959022,1.0
1746123836.087259,1.0
