time,actuator,value
1743127256.13571,Actuator(ptr=c_void_p(93867532211888)),78.0
1743127259.15232,Actuator(ptr=c_void_p(93867532211888)),83.0
1743127262.1663334,Actuator(ptr=c_void_p(93867532211888)),83.0
1743127265.1794555,Actuator(ptr=c_void_p(93867532211888)),83.0
1743127268.1959066,Actuator(ptr=c_void_p(93867532211888)),83.0
1743127271.2114882,Actuator(ptr=c_void_p(93867532211888)),83.0
1743127274.2241616,Actuator(ptr=c_void_p(93867532211888)),83.0
1743127277.2390242,Actuator(ptr=c_void_p(93867532211888)),83.0
1743127280.2534971,Actuator(ptr=c_void_p(93867532211888)),83.0
1743127283.266448,Actuator(ptr=c_void_p(93867532211888)),83.0
1743127286.2835917,Actuator(ptr=c_void_p(93867532211888)),83.0
1743127289.2992566,Actuator(ptr=c_void_p(93867532211888)),83.0
1743127292.3122256,Actuator(ptr=c_void_p(93867532211888)),83.0
1743127295.325276,Actuator(ptr=c_void_p(93867532211888)),83.0
1743127298.3427982,Actuator(ptr=c_void_p(93867532211888)),83.0
1743127301.3562403,Actuator(ptr=c_void_p(93867532211888)),83.0
1743127304.3698,Actuator(ptr=c_void_p(93867532211888)),107.0
1743127307.3825889,Actuator(ptr=c_void_p(93867532211888)),130.0
1743127310.3974812,Actuator(ptr=c_void_p(93867532211888)),136.0
1743127313.411047,Actuator(ptr=c_void_p(93867532211888)),136.0
1743127316.4225078,Actuator(ptr=c_void_p(93867532211888)),136.0
