time,scope,value
1745248018.9437666,0,130400.73358154297
1745248018.9437666,1,130400.88806152344
1745248019.9440792,0,130564.26885986328
1745248019.9440792,1,130564.44763183594
1745248020.9444542,0,130700.2504272461
1745248020.9444542,1,130700.39776611328
1745248021.9444098,0,130777.7426147461
1745248021.9444098,1,130778.29724121094
1745248022.9441018,0,130872.97576904297
1745248022.9441018,1,130873.67993164062
1745248023.9436953,0,130996.55187988281
1745248023.9436953,1,130996.91247558594
1745248024.9445162,0,131129.98461914062
1745248024.9445162,1,131131.02111816406
1745248025.9442954,0,131283.0732421875
1745248025.9442954,1,131284.03253173828
1745248026.94457,0,131435.15258789062
1745248026.94457,1,131436.0623779297
1745248027.944517,0,131588.71307373047
1745248027.944517,1,131589.0230102539
1745248028.9437933,0,131740.73083496094
1745248028.9437933,1,131741.6997680664
1745248029.9445207,0,131893.2816772461
1745248029.9445207,1,131893.41076660156
1745248030.9442506,0,132045.63989257812
1745248030.9442506,1,132045.90295410156
1745248031.9445834,0,132199.1025390625
1745248031.9445834,1,132199.85919189453
1745248032.944472,0,132351.25915527344
1745248032.944472,1,132352.05731201172
1745248033.9442532,0,132504.21362304688
1745248033.9442532,1,132504.52667236328
1745248034.9441192,0,132656.31475830078
1745248034.9441192,1,132656.62231445312
1745248035.944625,0,132808.673828125
1745248035.944625,1,132809.416015625
1745248036.9436715,0,132961.3145751953
1745248036.9436715,1,132962.25439453125
1745248037.943809,0,133114.16485595703
1745248037.943809,1,133114.46020507812
1745248038.9445322,0,133266.0014038086
1745248038.9445322,1,133266.80786132812
1745248039.94436,0,133418.0760498047
1745248039.94436,1,133418.244140625
1745248040.9442286,0,133572.13177490234
1745248040.9442286,1,133572.91870117188
1745248041.9441752,0,133724.62994384766
1745248041.9441752,1,133725.1021118164
1745248042.9438715,0,133876.84997558594
1745248042.9438715,1,133878.0653076172
1745248043.944212,0,134013.21813964844
1745248043.944212,1,134013.2637939453
