time,scope,value
1745249467.5550156,nrm.extra.perf.PAPI_L3_TCA.812011,2077535938.0
1745249467.5550156,nrm.extra.perf.PAPI_TOT_INS.812011,43215920521.0
1745249467.5550156,nrm.extra.perf.PAPI_TOT_CYC.812011,283997378023.0
1745249467.5550156,nrm.extra.perf.PAPI_RES_STL.812011,256546375130.0
1745249467.5550156,nrm.extra.perf.PAPI_L3_TCM.812011,2017105637.0
1745249468.5516381,nrm.extra.perf.PAPI_L3_TCA.812011,4285938465.0
1745249468.5516381,nrm.extra.perf.PAPI_TOT_INS.812011,88821677022.0
1745249468.5516381,nrm.extra.perf.PAPI_TOT_CYC.812011,582619508005.0
1745249468.5516381,nrm.extra.perf.PAPI_RES_STL.812011,525905397318.0
1745249468.5516381,nrm.extra.perf.PAPI_L3_TCM.812011,4156344258.0
1745249469.5576875,nrm.extra.perf.PAPI_L3_TCA.812011,5887408197.0
1745249469.5576875,nrm.extra.perf.PAPI_TOT_INS.812011,122490072254.0
1745249469.5576875,nrm.extra.perf.PAPI_TOT_CYC.812011,752044359683.0
1745249469.5576875,nrm.extra.perf.PAPI_RES_STL.812011,670762224372.0
1745249469.5576875,nrm.extra.perf.PAPI_L3_TCM.812011,5722108325.0
1745249470.5567057,nrm.extra.perf.PAPI_L3_TCA.812011,7536104685.0
1745249470.5567057,nrm.extra.perf.PAPI_TOT_INS.812011,157116668302.0
1745249470.5567057,nrm.extra.perf.PAPI_TOT_CYC.812011,928381104704.0
1745249470.5567057,nrm.extra.perf.PAPI_RES_STL.812011,821475231576.0
1745249470.5567057,nrm.extra.perf.PAPI_L3_TCM.812011,7325633125.0
1745249471.5562027,nrm.extra.perf.PAPI_L3_TCA.812011,9634270491.0
1745249471.5562027,nrm.extra.perf.PAPI_TOT_INS.812011,200546519103.0
1745249471.5562027,nrm.extra.perf.PAPI_TOT_CYC.812011,1188012420058.0
1745249471.5562027,nrm.extra.perf.PAPI_RES_STL.812011,1053035348501.0
