time,actuator,value
1743125560.8838358,Actuator(ptr=c_void_p(93867532211888)),78.0
1743125563.8998108,Actuator(ptr=c_void_p(93867532211888)),147.0
1743125566.9117234,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125569.921796,Actuator(ptr=c_void_p(93867532211888)),95.0
1743125572.933767,Actuator(ptr=c_void_p(93867532211888)),147.0
1743125575.9452093,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125578.9587479,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125581.9718766,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125584.9814258,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125587.9924805,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125591.0045605,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125594.017206,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125597.0278027,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125600.0402772,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125603.0528507,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125606.0643442,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125609.07836,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125612.0905154,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125615.1042075,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125618.1165311,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125621.1284945,Actuator(ptr=c_void_p(93867532211888)),95.0
1743125624.1430125,Actuator(ptr=c_void_p(93867532211888)),147.0
1743125627.1578224,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125630.1701615,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125633.1848166,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125636.1969504,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125639.2082517,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125642.2195868,Actuator(ptr=c_void_p(93867532211888)),95.0
1743125645.2354128,Actuator(ptr=c_void_p(93867532211888)),118.0
1743125648.2498293,Actuator(ptr=c_void_p(93867532211888)),147.0
1743125651.2665896,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125654.2790263,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125657.292476,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125660.303343,Actuator(ptr=c_void_p(93867532211888)),95.0
1743125663.3169613,Actuator(ptr=c_void_p(93867532211888)),147.0
1743125666.3306231,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125669.3417454,Actuator(ptr=c_void_p(93867532211888)),95.0
1743125672.3545296,Actuator(ptr=c_void_p(93867532211888)),147.0
1743125675.3670993,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125678.3798559,Actuator(ptr=c_void_p(93867532211888)),95.0
1743125681.396034,Actuator(ptr=c_void_p(93867532211888)),147.0
1743125684.4091523,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125687.4222822,Actuator(ptr=c_void_p(93867532211888)),95.0
1743125690.4388142,Actuator(ptr=c_void_p(93867532211888)),147.0
1743125693.455328,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125696.467554,Actuator(ptr=c_void_p(93867532211888)),95.0
1743125699.4833982,Actuator(ptr=c_void_p(93867532211888)),147.0
1743125702.4968693,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125705.5087829,Actuator(ptr=c_void_p(93867532211888)),95.0
1743125708.5209236,Actuator(ptr=c_void_p(93867532211888)),147.0
1743125711.5341942,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125714.5464432,Actuator(ptr=c_void_p(93867532211888)),95.0
1743125717.561578,Actuator(ptr=c_void_p(93867532211888)),147.0
1743125720.5753267,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125723.5886824,Actuator(ptr=c_void_p(93867532211888)),95.0
1743125726.5991752,Actuator(ptr=c_void_p(93867532211888)),147.0
1743125729.6125112,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125732.624366,Actuator(ptr=c_void_p(93867532211888)),95.0
1743125735.6379435,Actuator(ptr=c_void_p(93867532211888)),147.0
1743125738.6503685,Actuator(ptr=c_void_p(93867532211888)),159.0
1743125741.6643405,Actuator(ptr=c_void_p(93867532211888)),95.0
1743125744.6808732,Actuator(ptr=c_void_p(93867532211888)),147.0
1743125747.6915555,Actuator(ptr=c_void_p(93867532211888)),159.0
