time,scope,value
1743126291.7982666,nrm.extra.perf.PAPI_L3_TCA.385195,1630458545.0
1743126291.7982666,nrm.extra.perf.PAPI_TOT_INS.385195,37275770125.0
1743126291.7982666,nrm.extra.perf.PAPI_TOT_CYC.385195,197966182995.0
1743126291.7982666,nrm.extra.perf.PAPI_RES_STL.385195,141791405951.0
1743126291.7982666,nrm.extra.perf.PAPI_L3_TCM.385195,1522122256.0
1743126292.795677,nrm.extra.perf.PAPI_L3_TCA.385195,3320262485.0
1743126292.795677,nrm.extra.perf.PAPI_TOT_INS.385195,72425639446.0
1743126292.795677,nrm.extra.perf.PAPI_TOT_CYC.385195,364313594670.0
1743126292.795677,nrm.extra.perf.PAPI_RES_STL.385195,274029417991.0
1743126292.795677,nrm.extra.perf.PAPI_L3_TCM.385195,3097061136.0
1743126293.797818,nrm.extra.perf.PAPI_L3_TCA.385195,5047934701.0
1743126293.797818,nrm.extra.perf.PAPI_TOT_INS.385195,108292744606.0
1743126293.797818,nrm.extra.perf.PAPI_TOT_CYC.385195,541016046531.0
1743126293.797818,nrm.extra.perf.PAPI_RES_STL.385195,417510781605.0
1743126293.797818,nrm.extra.perf.PAPI_L3_TCM.385195,4722438463.0
1743126294.7960522,nrm.extra.perf.PAPI_L3_TCA.385195,7273167379.0
1743126294.7960522,nrm.extra.perf.PAPI_TOT_INS.385195,154352746689.0
1743126294.7960522,nrm.extra.perf.PAPI_TOT_CYC.385195,831946831644.0
1743126294.7960522,nrm.extra.perf.PAPI_RES_STL.385195,666018634855.0
1743126294.7960522,nrm.extra.perf.PAPI_L3_TCM.385195,6797519039.0
1743126295.7979364,nrm.extra.perf.PAPI_L3_TCA.385195,9550120008.0
1743126295.7979364,nrm.extra.perf.PAPI_TOT_INS.385195,200691081766.0
1743126295.7979364,nrm.extra.perf.PAPI_TOT_CYC.385195,1127238021993.0
1743126295.7979364,nrm.extra.perf.PAPI_RES_STL.385195,924143170824.0
1743126295.7979364,nrm.extra.perf.PAPI_L3_TCM.385195,8933405911.0
1743126296.7956347,nrm.extra.perf.PAPI_L3_TCA.385195,11805786832.0
1743126296.7956347,nrm.extra.perf.PAPI_TOT_INS.385195,246571798282.0
1743126296.7956347,nrm.extra.perf.PAPI_TOT_CYC.385195,1416518235374.0
1743126296.7956347,nrm.extra.perf.PAPI_RES_STL.385195,1176346653808.0
1743126296.7956347,nrm.extra.perf.PAPI_L3_TCM.385195,11036805659.0
1743126297.796112,nrm.extra.perf.PAPI_L3_TCA.385195,13823752079.0
1743126297.796112,nrm.extra.perf.PAPI_TOT_INS.385195,287372479260.0
1743126297.796112,nrm.extra.perf.PAPI_TOT_CYC.385195,1628636084516.0
1743126297.796112,nrm.extra.perf.PAPI_RES_STL.385195,1357347924051.0
1743126297.796112,nrm.extra.perf.PAPI_L3_TCM.385195,12927071253.0
1743126298.7970994,nrm.extra.perf.PAPI_L3_TCA.385195,15714109973.0
1743126298.7970994,nrm.extra.perf.PAPI_TOT_INS.385195,327842878526.0
1743126298.7970994,nrm.extra.perf.PAPI_TOT_CYC.385195,1838324179653.0
1743126298.7970994,nrm.extra.perf.PAPI_RES_STL.385195,1521444629290.0
1743126298.7970994,nrm.extra.perf.PAPI_L3_TCM.385195,14699235570.0
1743126299.7967944,nrm.extra.perf.PAPI_L3_TCA.385195,17808956025.0
1743126299.7967944,nrm.extra.perf.PAPI_TOT_INS.385195,370303903138.0
1743126299.7967944,nrm.extra.perf.PAPI_TOT_CYC.385195,2054803732297.0
1743126299.7967944,nrm.extra.perf.PAPI_RES_STL.385195,1704619418885.0
1743126299.7967944,nrm.extra.perf.PAPI_L3_TCM.385195,16659878663.0
1743126300.794665,nrm.extra.perf.PAPI_L3_TCA.385195,20086042005.0
