time,scope,value
1748481941.0252469,nrm.extra.perf.PAPI_L3_TCA.69362,2048354145.0
1748481941.0252469,nrm.extra.perf.PAPI_TOT_INS.69362,46099925637.0
1748481941.0252469,nrm.extra.perf.PAPI_TOT_CYC.69362,289394096692.0
1748481941.0252469,nrm.extra.perf.PAPI_RES_STL.69362,224511763154.0
1748481941.0252469,nrm.extra.perf.PAPI_L3_TCM.69362,1899836886.0
1748481942.0224679,nrm.extra.perf.PAPI_L3_TCA.69362,4411178712.0
1748481942.0224679,nrm.extra.perf.PAPI_TOT_INS.69362,94105655198.0
1748481942.0224679,nrm.extra.perf.PAPI_TOT_CYC.69362,587119876515.0
1748481942.0224679,nrm.extra.perf.PAPI_RES_STL.69362,483516618259.0
1748481942.0224679,nrm.extra.perf.PAPI_L3_TCM.69362,4086275056.0
1748481943.02553,nrm.extra.perf.PAPI_L3_TCA.69362,6059327259.0
1748481943.02553,nrm.extra.perf.PAPI_TOT_INS.69362,127194886316.0
1748481943.02553,nrm.extra.perf.PAPI_TOT_CYC.69362,746163421028.0
1748481943.02553,nrm.extra.perf.PAPI_RES_STL.69362,618715294651.0
1748481943.02553,nrm.extra.perf.PAPI_L3_TCM.69362,5622644237.0
1748481944.0231082,nrm.extra.perf.PAPI_L3_TCA.69362,7775393670.0
1748481944.0231082,nrm.extra.perf.PAPI_TOT_INS.69362,161805306014.0
1748481944.0231082,nrm.extra.perf.PAPI_TOT_CYC.69362,917889667856.0
1748481944.0231082,nrm.extra.perf.PAPI_RES_STL.69362,764159136901.0
1748481944.0231082,nrm.extra.perf.PAPI_L3_TCM.69362,7213646737.0
1748481945.0217612,nrm.extra.perf.PAPI_L3_TCA.69362,10155808120.0
1748481945.0217612,nrm.extra.perf.PAPI_TOT_INS.69362,209181600073.0
1748481945.0217612,nrm.extra.perf.PAPI_TOT_CYC.69362,1199591052744.0
1748481945.0217612,nrm.extra.perf.PAPI_RES_STL.69362,1013965405386.0
1748481945.0217612,nrm.extra.perf.PAPI_L3_TCM.69362,9419764198.0
1748481946.0221035,nrm.extra.perf.PAPI_L3_TCA.69362,12531718487.0
1748481946.0221035,nrm.extra.perf.PAPI_TOT_INS.69362,256589397263.0
1748481946.0221035,nrm.extra.perf.PAPI_TOT_CYC.69362,1481740362981.0
1748481946.0221035,nrm.extra.perf.PAPI_RES_STL.69362,1263845754482.0
1748481946.0221035,nrm.extra.perf.PAPI_L3_TCM.69362,11626319714.0
1748481947.0227423,nrm.extra.perf.PAPI_L3_TCA.69362,14898465968.0
1748481947.0227423,nrm.extra.perf.PAPI_TOT_INS.69362,303967444731.0
1748481947.0227423,nrm.extra.perf.PAPI_TOT_CYC.69362,1764526583692.0
1748481947.0227423,nrm.extra.perf.PAPI_RES_STL.69362,1513324967178.0
1748481947.0227423,nrm.extra.perf.PAPI_L3_TCM.69362,13825044127.0
1748481948.0226939,nrm.extra.perf.PAPI_L3_TCA.69362,17264282912.0
1748481948.0226939,nrm.extra.perf.PAPI_TOT_INS.69362,351340374303.0
1748481948.0226939,nrm.extra.perf.PAPI_TOT_CYC.69362,2047095549364.0
