time,scope,value
1743127358.241702,0,1887.1707153320312
1743127358.241702,1,1887.826416015625
1743127359.2417297,0,1996.8975219726562
1743127359.2417297,1,1997.2576293945312
1743127360.2416668,0,2074.6886596679688
1743127360.2416668,1,2075.1617431640625
1743127361.2417505,0,2153.8218383789062
1743127361.2417505,1,2154.22705078125
1743127362.2417498,0,2236.6694946289062
1743127362.2417498,1,2236.7202758789062
1743127363.2416975,0,2319.2245483398438
1743127363.2416975,1,2319.6365356445312
1743127364.2419143,0,2418.6382446289062
1743127364.2419143,1,2418.9239501953125
1743127365.241754,0,2559.07861328125
1743127365.241754,1,2559.6561889648438
1743127366.2424967,0,2699.890625
1743127366.2424967,1,2700.0153198242188
1743127367.2422245,0,2845.2147827148438
1743127367.2422245,1,2845.3571166992188
1743127368.241917,0,3003.3977661132812
1743127368.241917,1,3003.3977661132812
1743127369.2418656,0,3163.775390625
1743127369.2418656,1,3164.2631225585938
1743127370.2416847,0,3312.1014404296875
1743127370.2416847,1,3312.550048828125
1743127371.2417135,0,3406.7090454101562
1743127371.2417135,1,3406.98486328125
1743127372.2416806,0,3501.48486328125
1743127372.2416806,1,3501.8858032226562
1743127373.241732,0,3593.1995849609375
1743127373.241732,1,3593.523681640625
1743127374.2416902,0,3675.8493041992188
1743127374.2416902,1,3676.0055541992188
1743127375.2420647,0,3758.734619140625
1743127375.2420647,1,3759.0640869140625
1743127376.241711,0,3854.8692626953125
1743127376.241711,1,3855.4312133789062
1743127377.241705,0,3995.4697265625
1743127377.241705,1,3995.7820434570312
1743127378.2420864,0,4136.226989746094
1743127378.2420864,1,4136.764709472656
1743127379.2414544,0,4281.937194824219
1743127379.2414544,1,4282.415222167969
1743127380.2417018,0,4446.5045166015625
1743127380.2417018,1,4447.19873046875
1743127381.240758,0,4610.835998535156
1743127381.240758,1,4611.170959472656
1743127382.2417026,0,4775.586669921875
1743127382.2417026,1,4776.099914550781
1743127383.2423997,0,4940.372253417969
1743127383.2423997,1,4940.5345458984375
1743127384.241706,0,5104.498840332031
1743127384.241706,1,5105.17333984375
1743127385.2410638,0,5269.32763671875
1743127385.2410638,1,5269.980651855469
1743127386.2417033,0,5433.752746582031
1743127386.2417033,1,5434.237548828125
1743127387.2417076,0,5598.211975097656
1743127387.2417076,1,5598.55517578125
1743127388.2420504,0,5762.817810058594
1743127388.2420504,1,5763.1695556640625
1743127389.2416992,0,5927.008117675781
1743127389.2416992,1,5927.632141113281
1743127390.241721,0,6091.763854980469
1743127390.241721,1,6092.424377441406
1743127391.241643,0,6256.362243652344
1743127391.241643,1,6257.054626464844
1743127392.2416954,0,6420.686462402344
1743127392.2416954,1,6421.3582763671875
1743127393.2416928,0,6585.3355712890625
1743127393.2416928,1,6585.83056640625
1743127394.2419095,0,6749.9427490234375
1743127394.2419095,1,6750.476623535156
1743127395.241669,0,6914.408935546875
1743127395.241669,1,6914.408935546875
1743127396.241785,0,7078.607727050781
1743127396.241785,1,7079.25927734375
1743127397.2417076,0,7243.522766113281
1743127397.2417076,1,7244.017272949219
1743127398.2417018,0,7407.997131347656
1743127398.2417018,1,7408.1470947265625
