time,scope,value
1746124138.9712932,0,149634.88580322266
1746124138.9712932,1,149635.2091064453
1746124139.971283,0,149798.62890625
1746124139.971283,1,149799.27313232422
1746124140.9713411,0,149889.83599853516
1746124140.9713411,1,149890.2333984375
1746124141.9713264,0,149967.58306884766
1746124141.9713264,1,149967.9712524414
1746124142.9713106,0,150055.3345336914
1746124142.9713106,1,150055.5096435547
1746124143.9713047,0,150144.12963867188
1746124143.9713047,1,150144.3939819336
1746124144.971305,0,150232.73028564453
1746124144.971305,1,150232.99505615234
1746124145.9713008,0,150321.55865478516
1746124145.9713008,1,150321.99542236328
1746124146.971274,0,150410.42901611328
1746124146.971274,1,150410.59545898438
1746124147.9713032,0,150498.94580078125
1746124147.9713032,1,150499.2982788086
1746124148.9712913,0,150587.92541503906
1746124148.9712913,1,150588.00268554688
1746124149.9713101,0,150676.4422607422
1746124149.9713101,1,150676.8104248047
1746124150.9713123,0,150765.1410522461
1746124150.9713123,1,150765.40985107422
1746124151.971291,0,150853.93969726562
1746124151.971291,1,150854.3758544922
1746124152.9712093,0,150942.83911132812
1746124152.9712093,1,150943.1019897461
1746124153.971283,0,151031.4520263672
1746124153.971283,1,151031.80633544922
1746124154.9713042,0,151120.32415771484
1746124154.9713042,1,151120.69451904297
1746124155.971296,0,151209.00689697266
1746124155.971296,1,151209.27618408203
1746124156.9712682,0,151297.7020263672
1746124156.9712682,1,151298.15368652344
1746124157.9713352,0,151386.2368774414
1746124157.9713352,1,151386.75689697266
1746124158.9713206,0,151475.21466064453
1746124158.9713206,1,151475.48406982422
1746124159.9712887,0,151563.81048583984
1746124159.9712887,1,151564.1590576172
1746124160.9712787,0,151652.6752319336
1746124160.9712787,1,151653.01678466797
1746124161.9714868,0,151741.46649169922
1746124161.9714868,1,151741.54461669922
1746124162.971258,0,151830.18005371094
1746124162.971258,1,151830.33129882812
1746124163.9712656,0,151918.87213134766
1746124163.9712656,1,151919.02294921875
1746124164.9715025,0,152007.6873779297
1746124164.9715025,1,152007.7628173828
1746124165.9718087,0,152096.39324951172
1746124165.9718087,1,152096.5463256836
1746124166.9712417,0,152185.08654785156
1746124166.9712417,1,152185.1713256836
1746124167.9712582,0,152273.72369384766
1746124167.9712582,1,152273.80291748047
1746124168.9714046,0,152362.42462158203
1746124168.9714046,1,152362.95404052734
1746124169.9712665,0,152451.31469726562
1746124169.9712665,1,152451.41204833984
1746124170.971282,0,152540.13885498047
1746124170.971282,1,152540.4805908203
1746124171.9712903,0,152628.73309326172
1746124171.9712903,1,152628.81286621094
1746124172.971291,0,152717.59832763672
1746124172.971291,1,152717.89233398438
1746124173.9712737,0,152806.40753173828
1746124173.9712737,1,152806.87176513672
1746124174.9712818,0,152895.2398071289
1746124174.9712818,1,152895.39520263672
1746124175.9712934,0,152983.78326416016
1746124175.9712934,1,152984.13513183594
1746124176.971247,0,153072.45837402344
1746124176.971247,1,153072.90002441406
1746124177.971283,0,153161.419921875
1746124177.971283,1,153161.86236572266
1746124178.97131,0,153250.12646484375
1746124178.97131,1,153250.50146484375
1746124179.9712944,0,153338.65698242188
1746124179.9712944,1,153338.7958984375
1746124180.971307,0,153427.62481689453
1746124180.971307,1,153427.70538330078
1746124181.9719315,0,153516.2514038086
1746124181.9719315,1,153516.48852539062
1746124182.9712827,0,153605.05694580078
1746124182.9712827,1,153605.390625
1746124183.9712737,0,153693.84735107422
1746124183.9712737,1,153694.30389404297
1746124184.9712765,0,153782.5577392578
1746124184.9712765,1,153782.81677246094
1746124185.970805,0,153871.24102783203
1746124185.970805,1,153871.3168334961
1746124186.9712648,0,153960.0372314453
1746124186.9712648,1,153960.1339111328
1746124187.9713428,0,154048.83715820312
1746124187.9713428,1,154048.91998291016
1746124188.9716456,0,154137.5210571289
1746124188.9716456,1,154137.98028564453
1746124189.9712768,0,154226.2935180664
1746124189.9712768,1,154226.67993164062
1746124190.9713442,0,154314.92205810547
1746124190.9713442,1,154315.45281982422
1746124191.9721377,0,154403.8038330078
1746124191.9721377,1,154404.1586303711
1746124192.9712532,0,154492.35552978516
1746124192.9712532,1,154492.43096923828
1746124193.9713008,0,154581.03326416016
1746124193.9713008,1,154581.18841552734
1746124194.9712996,0,154670.0137939453
1746124194.9712996,1,154670.18170166016
1746124195.9712043,0,154758.35552978516
1746124195.9712043,1,154758.74005126953
1746124196.971302,0,154847.43878173828
1746124196.971302,1,154847.78253173828
1746124197.9717019,0,154936.12866210938
1746124197.9717019,1,154936.2052001953
1746124198.9712732,0,155025.04028320312
1746124198.9712732,1,155025.39483642578
1746124199.9713178,0,155113.65063476562
1746124199.9713178,1,155114.02087402344
1746124200.9713044,0,155202.54180908203
1746124200.9713044,1,155202.99774169922
1746124201.971215,0,155290.8936767578
1746124201.971215,1,155291.3350830078
1746124202.9713151,0,155379.7953491211
1746124202.9713151,1,155379.8754272461
1746124203.971284,0,155468.69915771484
1746124203.971284,1,155468.83074951172
1746124204.9712942,0,155557.39221191406
1746124204.9712942,1,155557.7618408203
1746124205.9712753,0,155646.2123413086
1746124205.9712753,1,155646.56604003906
1746124206.9712725,0,155734.92822265625
1746124206.9712725,1,155735.35583496094
1746124207.971272,0,155823.54107666016
1746124207.971272,1,155823.70538330078
1746124208.9712756,0,155912.4453125
1746124208.9712756,1,155912.7163696289
1746124209.9712708,0,156001.0509033203
1746124209.9712708,1,156001.50592041016
1746124210.9713063,0,156089.9692993164
1746124210.9713063,1,156090.22576904297
1746124211.971291,0,156178.6746826172
1746124211.971291,1,156178.82647705078
1746124212.9712982,0,156267.18243408203
1746124212.9712982,1,156267.54412841797
1746124213.9712436,0,156356.1044921875
1746124213.9712436,1,156356.26959228516
1746124214.9712722,0,156444.8172607422
1746124214.9712722,1,156445.08752441406
1746124215.9712558,0,156533.60192871094
1746124215.9712558,1,156533.8612060547
1746124216.9712598,0,156622.34307861328
1746124216.9712598,1,156622.67791748047
1746124217.971228,0,156710.84649658203
1746124217.971228,1,156710.91876220703
1746124218.971674,0,156799.82501220703
1746124218.971674,1,156800.26556396484
1746124219.9712543,0,156888.35607910156
1746124219.9712543,1,156888.77905273438
1746124220.9712758,0,156977.30834960938
1746124220.9712758,1,156977.66314697266
