time,value
1762839020.5971556,1.0
1762839020.7494903,1.0
1762839020.9028554,1.0
1762839021.0563943,1.0
1762839021.2126188,1.0
1762839021.3657541,1.0
1762839021.518841,1.0
1762839021.7500925,1.0
1762839021.9927194,1.0
1762839022.2092202,1.0
1762839022.4494686,1.0
1762839022.6839023,1.0
1762839022.9251506,1.0
1762839023.1621726,1.0
1762839023.362057,1.0
1762839023.5360503,1.0
1762839023.7078073,1.0
1762839023.8585632,1.0
1762839024.0144916,1.0
1762839024.1652548,1.0
1762839024.3369808,1.0
1762839024.5170455,1.0
1762839024.675039,1.0
1762839024.8461099,1.0
1762839025.0065668,1.0
1762839025.1650357,1.0
1762839025.3270223,1.0
1762839025.486109,1.0
1762839025.6470015,1.0
1762839025.817991,1.0
1762839025.9871626,1.0
1762839026.1390812,1.0
1762839026.3187323,1.0
1762839026.4780564,1.0
1762839026.6361244,1.0
1762839026.8130453,1.0
1762839026.9918337,1.0
1762839027.1531048,1.0
1762839027.3274946,1.0
1762839027.4782026,1.0
1762839027.6410751,1.0
1762839027.8171115,1.0
1762839027.9720912,1.0
1762839028.1501002,1.0
1762839028.320285,1.0
1762839028.492622,1.0
1762839028.6481378,1.0
1762839028.8325403,1.0
1762839028.992498,1.0
1762839029.1575296,1.0
1762839029.3330898,1.0
1762839029.5136917,1.0
1762839029.687065,1.0
1762839029.8619223,1.0
1762839030.0484898,1.0
1762839030.2020905,1.0
1762839030.3620071,1.0
1762839030.529995,1.0
1762839030.7060833,1.0
1762839030.8830042,1.0
1762839031.0630035,1.0
1762839031.2391005,1.0
1762839031.4191456,1.0
1762839031.5931025,1.0
1762839031.747093,1.0
1762839031.9160998,1.0
1762839032.086164,1.0
1762839032.2421372,1.0
1762839032.4231174,1.0
1762839032.6182652,1.0
1762839032.80103,1.0
1762839032.9810035,1.0
1762839033.165283,1.0
1762839033.3513982,1.0
1762839033.5077164,1.0
1762839033.6590211,1.0
1762839033.833005,1.0
1762839034.0090978,1.0
1762839034.186039,1.0
1762839034.366507,1.0
1762839034.5270622,1.0
1762839034.7051108,1.0
1762839034.8598428,1.0
1762839035.039074,1.0
1762839035.2290478,1.0
1762839035.4053054,1.0
1762839035.5900218,1.0
1762839035.7620745,1.0
1762839035.9340851,1.0
1762839036.1141024,1.0
1762839036.2917826,1.0
1762839036.449354,1.0
1762839036.6010468,1.0
1762839036.7520845,1.0
1762839036.93302,1.0
1762839037.0879529,1.0
1762839037.2459242,1.0
1762839037.3981202,1.0
1762839037.5519965,1.0
1762839037.7130039,1.0
1762839037.8849936,1.0
1762839038.0760522,1.0
1762839038.2590857,1.0
1762839038.4354672,1.0
1762839038.5870373,1.0
1762839038.762089,1.0
1762839038.9331458,1.0
1762839039.131254,1.0
1762839039.3140256,1.0
1762839039.4880433,1.0
1762839039.6589508,1.0
1762839039.8210773,1.0
1762839039.9920459,1.0
1762839040.1470652,1.0
1762839040.3071287,1.0
1762839040.4641867,1.0
1762839040.6490657,1.0
1762839040.8340812,1.0
1762839040.9890535,1.0
1762839041.1740577,1.0
1762839041.3530955,1.0
1762839041.5070271,1.0
1762839041.6650925,1.0
1762839041.8351014,1.0
1762839041.994063,1.0
1762839042.17338,1.0
1762839042.3400927,1.0
1762839042.499598,1.0
1762839042.6649747,1.0
1762839042.829779,1.0
1762839042.986579,1.0
1762839043.1410635,1.0
1762839043.3071167,1.0
1762839043.489996,1.0
1762839043.6683295,1.0
1762839043.8421168,1.0
1762839044.004986,1.0
1762839044.1608956,1.0
1762839044.311491,1.0
1762839044.4630728,1.0
1762839044.6240773,1.0
1762839044.7901154,1.0
1762839044.9570146,1.0
1762839045.1111634,1.0
1762839045.2730534,1.0
1762839045.4467573,1.0
