time,scope,value
1764046862.1642265,0,73.07033782312931
1764046862.1642265,1,72.5219299276849
1764046863.1643093,0,188.69235001807752
1764046863.1643093,1,189.58200915875435
1764046864.1644168,0,76.8602674540221
1764046864.1644168,1,73.85676983840959
1764046865.1643357,0,79.44396707005947
1764046865.1643357,1,76.79663632513385
1764046866.1642985,0,149.52968098269426
1764046866.1642985,1,166.18337452191057
1764046867.1642942,0,168.52821551700742
1764046867.1642942,1,158.21327437548155
1764046868.164831,0,139.77624842617584
1764046868.164831,1,138.9773742742442
1764046869.1642933,0,140.57725199271786
1764046869.1642933,1,127.7983242288516
1764046870.1644485,0,160.14849993987752
1764046870.1644485,1,156.7566601513598
1764046871.164302,0,154.59875735985645
1764046871.164302,1,151.21763821290938
1764046872.1642995,0,136.25173773255295
1764046872.1642995,1,140.4531905409887
1764046873.164298,0,136.42376650604052
1764046873.164298,1,141.24425295373828
1764046874.1643593,0,164.5234500171735
1764046874.1643593,1,157.33014993214792
1764046875.1646996,0,173.89913009153867
1764046875.1646996,1,162.99857523491133
1764046876.1642962,0,145.2487472932897
1764046876.1642962,1,141.6158291201484
1764046877.167312,0,134.0940606239393
1764046877.167312,1,138.76088254978154
1764046878.1642983,0,146.9310324808462
1764046878.1642983,1,165.35171561032462
1764046879.1643,0,155.45632944859162
1764046879.1643,1,155.05495946200585
1764046880.1642933,0,141.12778646924454
1764046880.1642933,1,145.953606492279
1764046881.164298,0,139.28140078560187
1764046881.164298,1,147.67738797009156
1764046882.1642957,0,156.4919764768938
1764046882.1642957,1,148.2450801249743
1764046883.1642902,0,168.64876652915783
1764046883.1642902,1,157.2028280447622
1764046884.1642923,0,141.69284611736836
1764046884.1642923,1,138.61738855488704
1764046885.1652925,0,137.99274777931592
1764046885.1652925,1,146.1554875844922
1764046886.164293,0,156.84064909125058
1764046886.164293,1,160.74399529091846
1764046887.1650846,0,161.4761448229391
1764046887.1650846,1,146.32961549671555
1764046888.164289,0,136.86627001798124
1764046888.164289,1,144.56974742362968
1764046889.164297,0,147.339872171679
1764046889.164297,1,142.74731378695955
1764046890.1642842,0,160.2803108641629
1764046890.1642842,1,160.9103991806464
1764046891.1642895,0,161.1808729128128
1764046891.1642895,1,154.12096466406766
1764046892.1643744,0,142.04681667962174
1764046892.1643744,1,140.86351077865268
1764046893.164294,0,144.49747948095168
1764046893.164294,1,126.55737383278637
1764046894.1642978,0,157.42138823230627
1764046894.1642978,1,165.92056137240476
1764046895.1642916,0,155.84438404716565
1764046895.1642916,1,166.88468581317022
1764046896.1643987,0,145.86710267431184
1764046896.1643987,1,147.83177512106667
1764046897.164289,0,145.51566531198068
1764046897.164289,1,145.34656104328133
1764046898.164292,0,161.87225358084743
1764046898.164292,1,160.99753746897989
1764046899.164296,0,141.353322364062
1764046899.164296,1,138.2958904378731
1764046900.1642962,0,142.78784095427253
1764046900.1642962,1,160.7004707496071
1764046901.1642935,0,155.98880007092671
1764046901.1642935,1,170.13051096138412
1764046902.1642926,0,145.2417385712247
1764046902.1642926,1,139.32705998649547
1764046903.1643028,0,131.71007913587252
1764046903.1643028,1,133.11508769872873
1764046904.164296,0,143.66722800416838
1764046904.164296,1,138.84862435365147
1764046905.164354,0,165.8439905781931
1764046905.164354,1,150.87895405075736
1764046906.1642935,0,138.39428212408555
1764046906.1642935,1,130.78524662486328
1764046907.1651182,0,137.53119637741082
1764046907.1651182,1,141.25498167307632
1764046908.1643083,0,158.61205708388687
1764046908.1643083,1,151.62893678451834
1764046909.1642892,0,151.81887801855376
1764046909.1642892,1,140.88356535554115
1764046910.164288,0,167.1908214998456
1764046910.164288,1,163.73813086837978
1764046911.1642861,0,158.2646374117585
1764046911.1642861,1,163.38326863627233
1764046912.1643128,0,141.49557833758533
1764046912.1643128,1,140.43450731693525
1764046913.1644664,0,140.79584532646965
1764046913.1644664,1,147.55345613029442
1764046914.1642265,0,151.97170865214767
1764046914.1642265,1,153.53157954913678
1764046915.1642895,0,167.31894662138612
1764046915.1642895,1,154.38214576083746
1764046916.1642923,0,140.8440985933117
1764046916.1642923,1,132.37439880205272
1764046917.1643543,0,147.63765831864094
1764046917.1643543,1,137.3758675820636
1764046918.1642895,0,169.33623878949618
1764046918.1642895,1,160.08616540385202
1764046919.1642911,0,160.1214166534466
1764046919.1642911,1,164.22367818487194
1764046920.1643584,0,140.06804679581182
1764046920.1643584,1,136.96768165165653
1764046921.1642911,0,141.86344266812716
1764046921.1642911,1,146.08146974780942
1764046922.1642985,0,163.70821187180246
1764046922.1642985,1,163.4137815807193
1764046923.1642966,0,166.6030281451242
1764046923.1642966,1,157.64033321821975
1764046924.164324,0,141.5088442665335
1764046924.164324,1,140.4035658924672
1764046925.1642933,0,141.2834162468351
1764046925.1642933,1,136.30182881250974
1764046926.1643453,0,160.29339644113318
1764046926.1643453,1,159.5217872648879
1764046927.1642928,0,158.89707691435976
1764046927.1642928,1,169.05211846485759
1764046928.1642945,0,137.76006319907788
1764046928.1642945,1,144.57296385794606
1764046929.1642945,0,140.8167414154874
1764046929.1642945,1,135.4271628265264
1764046930.1642914,0,164.72484618635048
1764046930.1642914,1,165.5811652711381
1764046931.1645594,0,154.54247680399936
1764046931.1645594,1,162.1685364000997
1764046932.1642895,0,143.02338821358373
1764046932.1642895,1,143.2872606369018
1764046933.1642864,0,142.06071734218693
1764046933.1642864,1,149.9018203260362
1764046934.164305,0,162.55723307349865
1764046934.164305,1,150.9197939382416
1764046935.1643016,0,156.24620724421104
1764046935.1643016,1,154.1141429221543
1764046936.1643305,0,137.5215438315745
1764046936.1643305,1,139.69584359070592
1764046937.1643093,0,144.4957080076715
1764046937.1643093,1,141.1296719820676
1764046938.1642888,0,146.44535944216943
1764046938.1642888,1,163.24378541087944
1764046939.1650589,0,163.4345716123706
1764046939.1650589,1,159.23589841766653
1764046940.1642203,0,145.7501694185839
1764046940.1642203,1,148.0878201619031
1764046941.1642334,0,140.7297921575358
1764046941.1642334,1,135.7526676113713
1764046942.1642966,0,153.8555447382351
1764046942.1642966,1,168.09608131237195
1764046943.1643622,0,161.81279920648961
1764046943.1643622,1,156.2902057486772
1764046944.1642902,0,148.37128002132312
1764046944.1642902,1,146.12689597802267
