time,actuator,value
1764942604.6579359,Actuator(ptr=c_void_p(177941616)),165.0
1764942606.6658044,Actuator(ptr=c_void_p(177941616)),78.0
1764942608.6620345,Actuator(ptr=c_void_p(177941616)),83.0
1764942610.66052,Actuator(ptr=c_void_p(177941616)),83.0
1764942612.6607206,Actuator(ptr=c_void_p(177941616)),83.0
1764942614.660847,Actuator(ptr=c_void_p(177941616)),83.0
1764942616.664138,Actuator(ptr=c_void_p(177941616)),83.0
1764942618.6632304,Actuator(ptr=c_void_p(177941616)),83.0
1764942620.6601257,Actuator(ptr=c_void_p(177941616)),83.0
1764942622.6621366,Actuator(ptr=c_void_p(177941616)),83.0
1764942624.6664305,Actuator(ptr=c_void_p(177941616)),83.0
1764942626.6590242,Actuator(ptr=c_void_p(177941616)),83.0
1764942628.6589017,Actuator(ptr=c_void_p(177941616)),83.0
1764942630.6591034,Actuator(ptr=c_void_p(177941616)),83.0
1764942632.6606064,Actuator(ptr=c_void_p(177941616)),83.0
1764942634.6606164,Actuator(ptr=c_void_p(177941616)),83.0
1764942636.6591673,Actuator(ptr=c_void_p(177941616)),83.0
1764942638.6593316,Actuator(ptr=c_void_p(177941616)),83.0
1764942640.66069,Actuator(ptr=c_void_p(177941616)),83.0
1764942642.6595001,Actuator(ptr=c_void_p(177941616)),83.0
1764942644.659557,Actuator(ptr=c_void_p(177941616)),83.0
1764942646.6595328,Actuator(ptr=c_void_p(177941616)),83.0
1764942648.6635385,Actuator(ptr=c_void_p(177941616)),83.0
1764942650.6596744,Actuator(ptr=c_void_p(177941616)),83.0
1764942652.659357,Actuator(ptr=c_void_p(177941616)),83.0
1764942654.6596463,Actuator(ptr=c_void_p(177941616)),83.0
1764942656.6594727,Actuator(ptr=c_void_p(177941616)),83.0
1764942658.659375,Actuator(ptr=c_void_p(177941616)),83.0
1764942660.659707,Actuator(ptr=c_void_p(177941616)),83.0
1764942662.6603203,Actuator(ptr=c_void_p(177941616)),83.0
1764942664.6595783,Actuator(ptr=c_void_p(177941616)),83.0
1764942666.659038,Actuator(ptr=c_void_p(177941616)),83.0
1764942668.659007,Actuator(ptr=c_void_p(177941616)),83.0
1764942670.661987,Actuator(ptr=c_void_p(177941616)),83.0
1764942672.6590693,Actuator(ptr=c_void_p(177941616)),83.0
1764942674.6609244,Actuator(ptr=c_void_p(177941616)),83.0
1764942676.660191,Actuator(ptr=c_void_p(177941616)),83.0
1764942678.662486,Actuator(ptr=c_void_p(177941616)),83.0
1764942680.6592107,Actuator(ptr=c_void_p(177941616)),83.0
1764942682.6633458,Actuator(ptr=c_void_p(177941616)),83.0
1764942684.6601512,Actuator(ptr=c_void_p(177941616)),83.0
1764942686.6601593,Actuator(ptr=c_void_p(177941616)),83.0
1764942688.6608243,Actuator(ptr=c_void_p(177941616)),83.0
1764942690.6602352,Actuator(ptr=c_void_p(177941616)),83.0
1764942692.6599002,Actuator(ptr=c_void_p(177941616)),83.0
1764942694.6595943,Actuator(ptr=c_void_p(177941616)),83.0
1764942696.6595001,Actuator(ptr=c_void_p(177941616)),83.0
1764942698.6598697,Actuator(ptr=c_void_p(177941616)),83.0
1764942700.6596909,Actuator(ptr=c_void_p(177941616)),83.0
1764942702.6596556,Actuator(ptr=c_void_p(177941616)),83.0
1764942704.6616626,Actuator(ptr=c_void_p(177941616)),83.0
1764942706.6604896,Actuator(ptr=c_void_p(177941616)),83.0
1764942708.659568,Actuator(ptr=c_void_p(177941616)),83.0
1764942710.6603436,Actuator(ptr=c_void_p(177941616)),83.0
1764942712.6604698,Actuator(ptr=c_void_p(177941616)),83.0
1764942714.6593869,Actuator(ptr=c_void_p(177941616)),83.0
1764942716.659465,Actuator(ptr=c_void_p(177941616)),83.0
1764942718.665096,Actuator(ptr=c_void_p(177941616)),83.0
1764942720.6603837,Actuator(ptr=c_void_p(177941616)),83.0
1764942722.6654038,Actuator(ptr=c_void_p(177941616)),83.0
1764942724.6606069,Actuator(ptr=c_void_p(177941616)),83.0
1764942726.6638472,Actuator(ptr=c_void_p(177941616)),83.0
1764942728.6595118,Actuator(ptr=c_void_p(177941616)),83.0
1764942730.6603758,Actuator(ptr=c_void_p(177941616)),83.0
1764942732.6595957,Actuator(ptr=c_void_p(177941616)),83.0
1764942734.6626785,Actuator(ptr=c_void_p(177941616)),83.0
1764942736.660087,Actuator(ptr=c_void_p(177941616)),83.0
1764942738.659914,Actuator(ptr=c_void_p(177941616)),83.0
1764942740.6604548,Actuator(ptr=c_void_p(177941616)),83.0
1764942742.6602232,Actuator(ptr=c_void_p(177941616)),83.0
1764942744.6594098,Actuator(ptr=c_void_p(177941616)),83.0
1764942746.6643958,Actuator(ptr=c_void_p(177941616)),83.0
1764942748.6603613,Actuator(ptr=c_void_p(177941616)),83.0
1764942750.6620758,Actuator(ptr=c_void_p(177941616)),83.0
1764942752.6591322,Actuator(ptr=c_void_p(177941616)),83.0
1764942754.6641433,Actuator(ptr=c_void_p(177941616)),83.0
1764942756.661136,Actuator(ptr=c_void_p(177941616)),83.0
1764942758.6602073,Actuator(ptr=c_void_p(177941616)),83.0
1764942760.667462,Actuator(ptr=c_void_p(177941616)),83.0
1764942762.659902,Actuator(ptr=c_void_p(177941616)),83.0
1764942764.6628866,Actuator(ptr=c_void_p(177941616)),83.0
1764942766.6598673,Actuator(ptr=c_void_p(177941616)),83.0
1764942768.6593974,Actuator(ptr=c_void_p(177941616)),83.0
1764942770.6594703,Actuator(ptr=c_void_p(177941616)),83.0
1764942772.6602554,Actuator(ptr=c_void_p(177941616)),83.0
1764942774.6602323,Actuator(ptr=c_void_p(177941616)),83.0
1764942776.6601973,Actuator(ptr=c_void_p(177941616)),83.0
1764942778.659667,Actuator(ptr=c_void_p(177941616)),83.0
1764942780.660598,Actuator(ptr=c_void_p(177941616)),83.0
1764942782.6599772,Actuator(ptr=c_void_p(177941616)),83.0
1764942784.6609182,Actuator(ptr=c_void_p(177941616)),83.0
1764942786.6655302,Actuator(ptr=c_void_p(177941616)),83.0
1764942788.6597643,Actuator(ptr=c_void_p(177941616)),83.0
1764942790.6606777,Actuator(ptr=c_void_p(177941616)),83.0
1764942792.6596234,Actuator(ptr=c_void_p(177941616)),83.0
1764942794.6660824,Actuator(ptr=c_void_p(177941616)),83.0
1764942796.6627584,Actuator(ptr=c_void_p(177941616)),83.0
1764942798.661771,Actuator(ptr=c_void_p(177941616)),83.0
1764942800.6591637,Actuator(ptr=c_void_p(177941616)),83.0
1764942802.6616175,Actuator(ptr=c_void_p(177941616)),83.0
1764942804.659823,Actuator(ptr=c_void_p(177941616)),83.0
1764942806.659401,Actuator(ptr=c_void_p(177941616)),83.0
1764942808.6597383,Actuator(ptr=c_void_p(177941616)),83.0
1764942810.6593425,Actuator(ptr=c_void_p(177941616)),83.0
1764942812.65968,Actuator(ptr=c_void_p(177941616)),83.0
1764942814.6595929,Actuator(ptr=c_void_p(177941616)),83.0
1764942816.6592782,Actuator(ptr=c_void_p(177941616)),83.0
1764942818.659083,Actuator(ptr=c_void_p(177941616)),83.0
1764942820.6595206,Actuator(ptr=c_void_p(177941616)),83.0
1764942822.6595192,Actuator(ptr=c_void_p(177941616)),83.0
