time,scope,value
1771236065.728338,0,45087389.87628174
1771236065.728338,1,45087389.87628174
1771236066.7283535,0,45087498.19848633
1771236066.7283535,1,45087498.19848633
1771236067.7291586,0,45087575.87365723
1771236067.7291586,1,45087575.94708252
1771236068.728758,0,45087653.69580078
1771236068.728758,1,45087653.79547119
1771236069.7283535,0,45087731.558532715
1771236069.7283535,1,45087731.558532715
1771236070.7283535,0,45087809.2722168
1771236070.7283535,1,45087809.2722168
1771236071.7283528,0,45087887.0010376
1771236071.7283528,1,45087887.27215576
1771236072.728352,0,45087964.8369751
1771236072.728352,1,45087964.8369751
1771236073.728484,0,45088042.472351074
1771236073.728484,1,45088042.55377197
1771236074.7283728,0,45088120.38208008
1771236074.7283728,1,45088120.46008301
1771236075.7293792,0,45088198.18634033
1771236075.7293792,1,45088198.18634033
1771236076.7284286,0,45088275.8760376
1771236076.7284286,1,45088275.8760376
1771236077.7287195,0,45088353.6227417
1771236077.7287195,1,45088353.6227417
1771236078.7283533,0,45088431.44012451
1771236078.7283533,1,45088431.44012451
1771236079.72834,0,45088509.1887207
1771236079.72834,1,45088509.1887207
1771236080.7283316,0,45088586.72521973
1771236080.7283316,1,45088586.785095215
1771236081.728387,0,45088664.78259277
1771236081.728387,1,45088664.78259277
1771236082.7292259,0,45088742.56384277
1771236082.7292259,1,45088742.617614746
1771236083.7283628,0,45088820.259887695
1771236083.7283628,1,45088820.259887695
1771236084.7292206,0,45088898.02685547
1771236084.7292206,1,45088898.02685547
1771236085.7294118,0,45088975.81304932
1771236085.7294118,1,45088975.81304932
1771236086.7283554,0,45089053.66717529
1771236086.7283554,1,45089053.66717529
1771236087.7283537,0,45089131.40100098
1771236087.7283537,1,45089131.40100098
1771236088.728408,0,45089209.176086426
1771236088.728408,1,45089209.176086426
1771236089.7283397,0,45089286.58178711
1771236089.7283397,1,45089286.58178711
1771236090.7283287,0,45089364.625427246
1771236090.7283287,1,45089364.70263672
1771236091.7283518,0,45089442.554504395
1771236091.7283518,1,45089442.554504395
1771236092.728357,0,45089520.22973633
1771236092.728357,1,45089520.22973633
1771236093.7283492,0,45089597.84637451
1771236093.7283492,1,45089598.103393555
1771236094.7284436,0,45089675.75628662
1771236094.7284436,1,45089675.82836914
1771236095.728353,0,45089753.53656006
1771236095.728353,1,45089753.53656006
1771236096.7293468,0,45089831.3994751
1771236096.7293468,1,45089831.48376465
1771236097.7283657,0,45089909.046447754
1771236097.7283657,1,45089909.046447754
1771236098.7283492,0,45089986.903930664
1771236098.7283492,1,45089986.903930664
1771236099.7283645,0,45090064.61968994
1771236099.7283645,1,45090064.61968994
1771236100.7285755,0,45090142.42480469
1771236100.7285755,1,45090142.51989746
1771236101.7293644,0,45090220.250305176
1771236101.7293644,1,45090220.250305176
1771236102.7287219,0,45090297.916503906
1771236102.7287219,1,45090297.916503906
1771236103.7283614,0,45090375.761291504
1771236103.7283614,1,45090375.761291504
1771236104.7288482,0,45090453.568725586
1771236104.7288482,1,45090453.568725586
1771236105.7283294,0,45090531.08459473
1771236105.7283294,1,45090531.08459473
1771236106.7287865,0,45090609.034729004
1771236106.7287865,1,45090609.034729004
1771236107.7283363,0,45090686.73547363
1771236107.7283363,1,45090686.73547363
1771236108.7287524,0,45090764.34454346
1771236108.7287524,1,45090764.34454346
1771236109.7283642,0,45090842.36376953
1771236109.7283642,1,45090842.36376953
1771236110.7285354,0,45090920.01824951
1771236110.7285354,1,45090920.090148926
1771236111.7283535,0,45090997.89276123
1771236111.7283535,1,45090997.89276123
1771236112.7284513,0,45091075.67919922
1771236112.7284513,1,45091076.025024414
1771236113.7283504,0,45091153.45996094
1771236113.7283504,1,45091153.78070068
1771236114.7283533,0,45091231.214660645
1771236114.7283533,1,45091231.296447754
1771236115.728408,0,45091308.99456787
1771236115.728408,1,45091308.99456787
1771236116.7283614,0,45091386.7756958
1771236116.7283614,1,45091386.7756958
1771236117.72835,0,45091464.55480957
1771236117.72835,1,45091464.55480957
1771236118.7288888,0,45091542.46417236
1771236118.7288888,1,45091542.46417236
1771236119.728374,0,45091620.14581299
1771236119.728374,1,45091620.22546387
1771236120.7283325,0,45091697.804504395
1771236120.7283325,1,45091697.804504395
1771236121.7285519,0,45091775.41455078
1771236121.7285519,1,45091775.41455078
1771236122.7284198,0,45091853.22515869
1771236122.7284198,1,45091853.33319092
1771236123.728349,0,45091931.1048584
1771236123.728349,1,45091931.18664551
1771236124.7283387,0,45092008.881103516
1771236124.7283387,1,45092008.881103516
1771236125.7283819,0,45092086.70983887
1771236125.7283819,1,45092086.70983887
1771236126.7283442,0,45092164.42956543
1771236126.7283442,1,45092164.53503418
1771236127.7287164,0,45092242.07751465
1771236127.7287164,1,45092242.07751465
1771236128.7289119,0,45092319.94799805
1771236128.7289119,1,45092319.94799805
1771236129.7283614,0,45092397.87780762
1771236129.7283614,1,45092397.87780762
1771236130.7283492,0,45092475.47583008
1771236130.7283492,1,45092475.47583008
1771236131.728352,0,45092553.32373047
1771236131.728352,1,45092553.40460205
1771236132.728365,0,45092631.09698486
1771236132.728365,1,45092631.35668945
1771236133.728342,0,45092708.78979492
1771236133.728342,1,45092708.78979492
1771236134.728353,0,45092786.63153076
1771236134.728353,1,45092786.63153076
1771236135.7284064,0,45092864.39855957
1771236135.7284064,1,45092864.39855957
1771236136.7290876,0,45092942.16540527
1771236136.7290876,1,45092942.16540527
1771236137.7283642,0,45093020.01916504
1771236137.7283642,1,45093020.377319336
1771236138.7283669,0,45093097.70288086
1771236138.7283669,1,45093097.70288086
1771236139.728732,0,45093175.517944336
1771236139.728732,1,45093175.517944336
1771236140.7283485,0,45093253.25524902
1771236140.7283485,1,45093253.334472656
1771236141.7283688,0,45093331.057006836
1771236141.7283688,1,45093331.14337158
1771236142.72836,0,45093408.84906006
1771236142.72836,1,45093408.84906006
1771236143.728487,0,45093486.24127197
1771236143.728487,1,45093486.24127197
1771236144.7283676,0,45093564.32574463
1771236144.7283676,1,45093564.32574463
1771236145.728347,0,45093642.12652588
1771236145.728347,1,45093642.12652588
1771236146.7283516,0,45093719.947631836
1771236146.7283516,1,45093720.203186035
1771236147.72835,0,45093797.70855713
1771236147.72835,1,45093797.70855713
1771236148.7284706,0,45093875.48168945
1771236148.7284706,1,45093875.48168945
1771236149.7283447,0,45093953.173583984
1771236149.7283447,1,45093953.173583984
1771236150.728359,0,45094031.04608154
1771236150.728359,1,45094031.04608154
1771236151.7283587,0,45094108.785583496
1771236151.7283587,1,45094108.785583496
1771236152.728393,0,45094186.50512695
1771236152.728393,1,45094186.50512695
1771236153.7289188,0,45094264.28692627
1771236153.7289188,1,45094264.28692627
1771236154.728356,0,45094342.070251465
1771236154.728356,1,45094342.14691162
1771236155.728348,0,45094419.8493042
1771236155.728348,1,45094419.8493042
1771236156.7283452,0,45094497.45123291
1771236156.7283452,1,45094497.45123291
1771236157.7287626,0,45094575.36828613
1771236157.7287626,1,45094575.36828613
1771236158.7283607,0,45094653.15563965
1771236158.7283607,1,45094653.15563965
1771236159.728408,0,45094730.95635986
1771236159.728408,1,45094730.95635986
1771236160.7323499,0,45094809.06561279
1771236160.7323499,1,45094809.06561279
1771236161.7284887,0,45094886.439819336
1771236161.7284887,1,45094886.51599121
1771236162.7284784,0,45094964.15148926
1771236162.7284784,1,45094964.21960449
