time,value
1771240648.9068453,1.0
1771240649.0616274,1.0
1771240649.2167466,1.0
1771240649.3697503,1.0
1771240649.5239182,1.0
1771240649.6772738,1.0
1771240649.898326,1.0
1771240650.1343107,1.0
1771240650.3652174,1.0
1771240650.595377,1.0
1771240650.8582623,1.0
1771240651.0873132,1.0
1771240651.3189034,1.0
1771240651.5558782,1.0
1771240651.75497,1.0
1771240651.953686,1.0
1771240652.152071,1.0
1771240652.353023,1.0
1771240652.5653074,1.0
1771240652.7629538,1.0
1771240652.9620025,1.0
1771240653.1955817,1.0
1771240653.3938038,1.0
1771240653.59138,1.0
1771240653.7900324,1.0
1771240654.0057795,1.0
1771240654.2050655,1.0
1771240654.4429991,1.0
1771240654.6709943,1.0
1771240654.9079196,1.0
1771240655.1419594,1.0
1771240655.3769708,1.0
1771240655.5989325,1.0
1771240655.8081968,1.0
1771240656.003596,1.0
1771240656.2108986,1.0
1771240656.4330206,1.0
1771240656.6599796,1.0
1771240656.8836727,1.0
1771240657.1043842,1.0
1771240657.3167288,1.0
1771240657.5231118,1.0
1771240657.7645192,1.0
1771240657.998349,1.0
1771240658.2432377,1.0
1771240658.4852428,1.0
1771240658.6987019,1.0
1771240658.9005191,1.0
1771240659.1090262,1.0
1771240659.3069117,1.0
1771240659.5295165,1.0
1771240659.7659786,1.0
1771240660.0145514,1.0
1771240660.2189474,1.0
1771240660.418023,1.0
1771240660.6339247,1.0
1771240660.828344,1.0
1771240661.0265033,1.0
1771240661.2540343,1.0
1771240661.496981,1.0
1771240661.7221167,1.0
1771240661.9259548,1.0
1771240662.1275806,1.0
1771240662.3258123,1.0
1771240662.5371063,1.0
1771240662.750392,1.0
1771240662.9452722,1.0
1771240663.14792,1.0
1771240663.3638406,1.0
1771240663.5605357,1.0
1771240663.7659998,1.0
1771240663.992676,1.0
1771240664.1889348,1.0
1771240664.401174,1.0
1771240664.5990012,1.0
1771240664.8299768,1.0
1771240665.042999,1.0
1771240665.2509835,1.0
1771240665.4899373,1.0
1771240665.69661,1.0
1771240665.8940816,1.0
1771240666.1011393,1.0
1771240666.301874,1.0
1771240666.4969826,1.0
1771240666.699255,1.0
1771240666.907694,1.0
1771240667.104012,1.0
1771240667.3254347,1.0
1771240667.5323017,1.0
1771240667.7399192,1.0
1771240667.9679286,1.0
1771240668.1660125,1.0
1771240668.3980546,1.0
1771240668.6318038,1.0
1771240668.828022,1.0
1771240669.05169,1.0
1771240669.2647555,1.0
1771240669.4649467,1.0
1771240669.6760678,1.0
1771240669.8815227,1.0
1771240670.0761533,1.0
1771240670.2834976,1.0
1771240670.4786859,1.0
1771240670.6737318,1.0
1771240670.8829367,1.0
1771240671.0876443,1.0
1771240671.2875042,1.0
1771240671.495323,1.0
1771240671.7020352,1.0
1771240671.942981,1.0
1771240672.1799448,1.0
1771240672.4199634,1.0
1771240672.6488283,1.0
1771240672.8579025,1.0
1771240673.0669978,1.0
1771240673.287102,1.0
1771240673.4870186,1.0
1771240673.6921198,1.0
1771240673.886047,1.0
1771240674.0830228,1.0
1771240674.2909873,1.0
1771240674.5339744,1.0
1771240674.7580652,1.0
1771240674.9538617,1.0
1771240675.157473,1.0
1771240675.3669438,1.0
1771240675.5639894,1.0
1771240675.781427,1.0
1771240675.9918878,1.0
1771240676.1949873,1.0
1771240676.4167678,1.0
1771240676.627683,1.0
1771240676.8274603,1.0
1771240677.0234199,1.0
1771240677.2247252,1.0
1771240677.439757,1.0
1771240677.6376116,1.0
1771240677.8382277,1.0
1771240678.0329602,1.0
1771240678.2283363,1.0
1771240678.4245756,1.0
1771240678.6213472,1.0
1771240678.817313,1.0
1771240679.0199637,1.0
1771240679.2579107,1.0
1771240679.4859865,1.0
1771240679.6910048,1.0
1771240679.8939471,1.0
1771240680.097932,1.0
1771240680.3239362,1.0
1771240680.5189683,1.0
1771240680.7589173,1.0
1771240680.991137,1.0
1771240681.1951165,1.0
1771240681.390087,1.0
1771240681.5929885,1.0
1771240681.8306682,1.0
1771240682.0594926,1.0
1771240682.2545545,1.0
1771240682.4528415,1.0
1771240682.6578908,1.0
1771240682.8826268,1.0
1771240683.0799744,1.0
1771240683.3119483,1.0
1771240683.535983,1.0
1771240683.7709382,1.0
1771240683.995979,1.0
1771240684.2230318,1.0
1771240684.4671094,1.0
1771240684.664014,1.0
1771240684.872899,1.0
1771240685.0700347,1.0
1771240685.2926998,1.0
1771240685.4880855,1.0
1771240685.6851118,1.0
1771240685.912224,1.0
1771240686.1529336,1.0
1771240686.3663626,1.0
1771240686.575277,1.0
1771240686.7715096,1.0
1771240686.9652069,1.0
1771240687.1641588,1.0
1771240687.369017,1.0
1771240687.6149378,1.0
1771240687.8108752,1.0
1771240688.0163205,1.0
1771240688.2149737,1.0
1771240688.4114788,1.0
1771240688.6090252,1.0
1771240688.8360226,1.0
1771240689.0415475,1.0
1771240689.2355504,1.0
1771240689.4396942,1.0
1771240689.637017,1.0
1771240689.8439596,1.0
1771240690.0386796,1.0
1771240690.2408621,1.0
1771240690.436976,1.0
1771240690.674893,1.0
1771240690.9073687,1.0
1771240691.112056,1.0
1771240691.3144932,1.0
1771240691.5141919,1.0
1771240691.719978,1.0
1771240691.92198,1.0
1771240692.122015,1.0
1771240692.3409228,1.0
1771240692.5559785,1.0
1771240692.7727947,1.0
1771240692.996016,1.0
1771240693.2272217,1.0
1771240693.4682536,1.0
1771240693.691063,1.0
1771240693.9216585,1.0
1771240694.134456,1.0
1771240694.3439384,1.0
1771240694.5443497,1.0
1771240694.7477562,1.0
1771240694.9499156,1.0
1771240695.1929476,1.0
1771240695.405875,1.0
1771240695.6008325,1.0
1771240695.7956908,1.0
1771240696.0208938,1.0
1771240696.218896,1.0
1771240696.4229882,1.0
1771240696.637129,1.0
1771240696.8373246,1.0
1771240697.0414312,1.0
1771240697.2462776,1.0
1771240697.4546416,1.0
1771240697.6667652,1.0
1771240697.8698668,1.0
1771240698.0630412,1.0
1771240698.2562885,1.0
1771240698.4500926,1.0
1771240698.6438065,1.0
1771240698.83892,1.0
1771240699.0310113,1.0
1771240699.2239366,1.0
1771240699.431909,1.0
1771240699.6243174,1.0
1771240699.8299837,1.0
1771240700.02898,1.0
1771240700.2538576,1.0
1771240700.472967,1.0
1771240700.706547,1.0
1771240700.9149406,1.0
1771240701.1492596,1.0
1771240701.3540008,1.0
1771240701.57215,1.0
1771240701.7669728,1.0
1771240701.9722776,1.0
1771240702.1689184,1.0
1771240702.3909192,1.0
1771240702.6178646,1.0
1771240702.8330865,1.0
1771240703.03059,1.0
1771240703.2394164,1.0
1771240703.4332669,1.0
1771240703.6418693,1.0
1771240703.8638914,1.0
1771240704.076457,1.0
1771240704.2712016,1.0
1771240704.4757276,1.0
1771240704.6714373,1.0
1771240704.8667464,1.0
1771240705.0739088,1.0
1771240705.2830184,1.0
1771240705.486137,1.0
1771240705.7019508,1.0
1771240705.9118242,1.0
1771240706.1069467,1.0
1771240706.3379729,1.0
1771240706.5425322,1.0
1771240706.7419975,1.0
1771240706.943907,1.0
1771240707.149716,1.0
1771240707.3524907,1.0
1771240707.5469246,1.0
1771240707.7539558,1.0
1771240707.9488857,1.0
1771240708.1609087,1.0
1771240708.3846688,1.0
1771240708.5780756,1.0
1771240708.7906187,1.0
1771240708.9826748,1.0
1771240709.177864,1.0
1771240709.3712094,1.0
1771240709.5728781,1.0
1771240709.7659228,1.0
1771240709.9638326,1.0
1771240710.183157,1.0
1771240710.3947525,1.0
1771240710.5920398,1.0
1771240710.8087866,1.0
1771240711.002754,1.0
1771240711.1970677,1.0
1771240711.3919442,1.0
1771240711.5866072,1.0
1771240711.7869282,1.0
1771240712.0048459,1.0
1771240712.225494,1.0
1771240712.4240427,1.0
1771240712.6178713,1.0
1771240712.8338678,1.0
1771240713.053874,1.0
1771240713.2638986,1.0
1771240713.4838552,1.0
1771240713.7048953,1.0
1771240713.9169421,1.0
1771240714.1259995,1.0
1771240714.3326387,1.0
1771240714.5463862,1.0
1771240714.7515237,1.0
1771240714.9461603,1.0
1771240715.140949,1.0
1771240715.3393178,1.0
1771240715.5428886,1.0
1771240715.7530189,1.0
1771240715.9678953,1.0
1771240716.1792262,1.0
1771240716.3878717,1.0
1771240716.6075706,1.0
1771240716.8268688,1.0
1771240717.042858,1.0
1771240717.2572947,1.0
1771240717.4579206,1.0
1771240717.6799202,1.0
1771240717.88087,1.0
1771240718.1018512,1.0
1771240718.320959,1.0
1771240718.5322154,1.0
1771240718.7278206,1.0
1771240718.925597,1.0
1771240719.145495,1.0
1771240719.3682072,1.0
1771240719.5634074,1.0
1771240719.7638664,1.0
1771240719.9674323,1.0
1771240720.1639993,1.0
1771240720.3650093,1.0
1771240720.5886927,1.0
1771240720.7974246,1.0
1771240721.0000103,1.0
1771240721.193901,1.0
1771240721.3889306,1.0
1771240721.608455,1.0
1771240721.808585,1.0
1771240722.0014904,1.0
1771240722.2025983,1.0
1771240722.403932,1.0
1771240722.6031125,1.0
1771240722.7967563,1.0
1771240722.9908724,1.0
1771240723.1998327,1.0
1771240723.397309,1.0
1771240723.5896497,1.0
1771240723.794014,1.0
1771240724.000576,1.0
1771240724.2169771,1.0
1771240724.4429598,1.0
1771240724.651809,1.0
1771240724.8464155,1.0
1771240725.0418386,1.0
1771240725.2625022,1.0
1771240725.4654124,1.0
1771240725.6639132,1.0
1771240725.882963,1.0
1771240726.1039367,1.0
1771240726.3049114,1.0
1771240726.5150778,1.0
1771240726.7190092,1.0
1771240726.922073,1.0
1771240727.135426,1.0
1771240727.33298,1.0
1771240727.5489085,1.0
1771240727.7450178,1.0
1771240727.9408727,1.0
1771240728.1545134,1.0
1771240728.3499007,1.0
1771240728.5427272,1.0
1771240728.7454464,1.0
1771240728.9398777,1.0
1771240729.1439037,1.0
1771240729.3416638,1.0
1771240729.5498614,1.0
1771240729.763444,1.0
1771240729.957755,1.0
1771240730.1521819,1.0
1771240730.3465831,1.0
1771240730.5500176,1.0
1771240730.7748535,1.0
