time,scope,value
1771241487.5564353,nrm.extra.perf.PAPI_L3_TCA.352205,722548931.0
1771241487.5564353,nrm.extra.perf.PAPI_TOT_INS.352205,237568843102.0
1771241487.5564353,nrm.extra.perf.PAPI_TOT_CYC.352205,273792554672.0
1771241487.5564353,nrm.extra.perf.PAPI_RES_STL.352205,108128711040.0
1771241487.5564353,nrm.extra.perf.PAPI_L3_TCM.352205,640288281.0
1771241488.555568,nrm.extra.perf.PAPI_L3_TCA.352205,1162167353.0
1771241488.555568,nrm.extra.perf.PAPI_TOT_INS.352205,402747535204.0
1771241488.555568,nrm.extra.perf.PAPI_TOT_CYC.352205,432224906437.0
1771241488.555568,nrm.extra.perf.PAPI_RES_STL.352205,155993587048.0
1771241488.555568,nrm.extra.perf.PAPI_L3_TCM.352205,1027987851.0
1771241489.5663996,nrm.extra.perf.PAPI_L3_TCA.352205,1610994710.0
1771241489.5663996,nrm.extra.perf.PAPI_TOT_INS.352205,558172457800.0
1771241489.5663996,nrm.extra.perf.PAPI_TOT_CYC.352205,576815305984.0
1771241489.5663996,nrm.extra.perf.PAPI_RES_STL.352205,197330738028.0
1771241489.5663996,nrm.extra.perf.PAPI_L3_TCM.352205,1432975548.0
1771241490.5559304,nrm.extra.perf.PAPI_L3_TCA.352205,2109567002.0
1771241490.5559304,nrm.extra.perf.PAPI_TOT_INS.352205,733067017125.0
1771241490.5559304,nrm.extra.perf.PAPI_TOT_CYC.352205,743933538299.0
1771241490.5559304,nrm.extra.perf.PAPI_RES_STL.352205,245221845745.0
1771241490.5559304,nrm.extra.perf.PAPI_L3_TCM.352205,1852197726.0
1771241491.5598881,nrm.extra.perf.PAPI_L3_TCA.352205,2633678878.0
1771241491.5598881,nrm.extra.perf.PAPI_TOT_INS.352205,912094174926.0
1771241491.5598881,nrm.extra.perf.PAPI_TOT_CYC.352205,913201266980.0
1771241491.5598881,nrm.extra.perf.PAPI_RES_STL.352205,295634043644.0
1771241491.5598881,nrm.extra.perf.PAPI_L3_TCM.352205,2308278951.0
1771241492.5558848,nrm.extra.perf.PAPI_L3_TCA.352205,3155946848.0
1771241492.5558848,nrm.extra.perf.PAPI_TOT_INS.352205,1088263699366.0
1771241492.5558848,nrm.extra.perf.PAPI_TOT_CYC.352205,1081461354480.0
1771241492.5558848,nrm.extra.perf.PAPI_RES_STL.352205,345170596789.0
1771241492.5558848,nrm.extra.perf.PAPI_L3_TCM.352205,2763216048.0
1771241493.5559058,nrm.extra.perf.PAPI_L3_TCA.352205,3672056523.0
1771241493.5559058,nrm.extra.perf.PAPI_TOT_INS.352205,1257547323367.0
1771241493.5559058,nrm.extra.perf.PAPI_TOT_CYC.352205,1252729497700.0
1771241493.5559058,nrm.extra.perf.PAPI_RES_STL.352205,393791324753.0
1771241493.5559058,nrm.extra.perf.PAPI_L3_TCM.352205,3213257550.0
1771241494.5558503,nrm.extra.perf.PAPI_L3_TCA.352205,4187913803.0
1771241494.5558503,nrm.extra.perf.PAPI_TOT_INS.352205,1425160699487.0
1771241494.5558503,nrm.extra.perf.PAPI_TOT_CYC.352205,1416202113718.0
1771241494.5558503,nrm.extra.perf.PAPI_RES_STL.352205,440807557969.0
1771241494.5558503,nrm.extra.perf.PAPI_L3_TCM.352205,3662714820.0
1771241495.5578063,nrm.extra.perf.PAPI_L3_TCA.352205,4646483360.0
1771241495.5578063,nrm.extra.perf.PAPI_TOT_INS.352205,1601802784267.0
1771241495.5578063,nrm.extra.perf.PAPI_TOT_CYC.352205,1582463395974.0
1771241495.5578063,nrm.extra.perf.PAPI_RES_STL.352205,485234816207.0
1771241495.5578063,nrm.extra.perf.PAPI_L3_TCM.352205,4068873802.0
1771241496.555491,nrm.extra.perf.PAPI_L3_TCA.352205,5137292706.0
1771241496.555491,nrm.extra.perf.PAPI_TOT_INS.352205,1760640472935.0
1771241496.555491,nrm.extra.perf.PAPI_TOT_CYC.352205,1754591109191.0
1771241496.555491,nrm.extra.perf.PAPI_RES_STL.352205,528929843781.0
1771241496.555491,nrm.extra.perf.PAPI_L3_TCM.352205,4488293971.0
1771241497.556035,nrm.extra.perf.PAPI_L3_TCA.352205,5658746679.0
1771241497.556035,nrm.extra.perf.PAPI_TOT_INS.352205,1936514064469.0
1771241497.556035,nrm.extra.perf.PAPI_TOT_CYC.352205,1919909808071.0
1771241497.556035,nrm.extra.perf.PAPI_RES_STL.352205,577123972632.0
1771241497.556035,nrm.extra.perf.PAPI_L3_TCM.352205,4935862055.0
1771241498.5574539,nrm.extra.perf.PAPI_L3_TCA.352205,6155382861.0
1771241498.5574539,nrm.extra.perf.PAPI_TOT_INS.352205,2110801513236.0
1771241498.5574539,nrm.extra.perf.PAPI_TOT_CYC.352205,2086941869831.0
1771241498.5574539,nrm.extra.perf.PAPI_RES_STL.352205,624211963618.0
1771241498.5574539,nrm.extra.perf.PAPI_L3_TCM.352205,5367144005.0
1771241499.5551872,nrm.extra.perf.PAPI_L3_TCA.352205,6621930868.0
1771241499.5551872,nrm.extra.perf.PAPI_TOT_INS.352205,2287301256181.0
1771241499.5551872,nrm.extra.perf.PAPI_TOT_CYC.352205,2246111936688.0
1771241499.5551872,nrm.extra.perf.PAPI_RES_STL.352205,665060405819.0
1771241499.5551872,nrm.extra.perf.PAPI_L3_TCM.352205,5763539729.0
1771241500.5564384,nrm.extra.perf.PAPI_L3_TCA.352205,7138395407.0
1771241500.5564384,nrm.extra.perf.PAPI_TOT_INS.352205,2457541530687.0
1771241500.5564384,nrm.extra.perf.PAPI_TOT_CYC.352205,2416318425873.0
1771241500.5564384,nrm.extra.perf.PAPI_RES_STL.352205,708551889671.0
1771241500.5564384,nrm.extra.perf.PAPI_L3_TCM.352205,6210969051.0
1771241501.555915,nrm.extra.perf.PAPI_L3_TCA.352205,7659856220.0
1771241501.555915,nrm.extra.perf.PAPI_TOT_INS.352205,2634789617928.0
1771241501.555915,nrm.extra.perf.PAPI_TOT_CYC.352205,2583851543666.0
1771241501.555915,nrm.extra.perf.PAPI_RES_STL.352205,752390761264.0
1771241501.555915,nrm.extra.perf.PAPI_L3_TCM.352205,6661285578.0
1771241502.5569098,nrm.extra.perf.PAPI_L3_TCA.352205,8180679204.0
1771241502.5569098,nrm.extra.perf.PAPI_TOT_INS.352205,2811190164662.0
1771241502.5569098,nrm.extra.perf.PAPI_TOT_CYC.352205,2751583774919.0
1771241502.5569098,nrm.extra.perf.PAPI_RES_STL.352205,796053387221.0
1771241502.5569098,nrm.extra.perf.PAPI_L3_TCM.352205,7111110408.0
1771241503.55703,nrm.extra.perf.PAPI_L3_TCA.352205,8704863163.0
1771241503.55703,nrm.extra.perf.PAPI_TOT_INS.352205,2991116429214.0
1771241503.55703,nrm.extra.perf.PAPI_TOT_CYC.352205,2916551629968.0
1771241503.55703,nrm.extra.perf.PAPI_RES_STL.352205,839498335959.0
1771241503.55703,nrm.extra.perf.PAPI_L3_TCM.352205,7562023937.0
1771241504.5562122,nrm.extra.perf.PAPI_L3_TCA.352205,9225188485.0
1771241504.5562122,nrm.extra.perf.PAPI_TOT_INS.352205,3167287526201.0
1771241504.5562122,nrm.extra.perf.PAPI_TOT_CYC.352205,3087470228338.0
1771241504.5562122,nrm.extra.perf.PAPI_RES_STL.352205,883035563617.0
1771241504.5562122,nrm.extra.perf.PAPI_L3_TCM.352205,8010665636.0
1771241505.555767,nrm.extra.perf.PAPI_L3_TCA.352205,9741201956.0
1771241505.555767,nrm.extra.perf.PAPI_TOT_INS.352205,3339350150161.0
