time,actuator,value
1751489539.1670663,Actuator(ptr=c_void_p(93946577069728)),165.0
1751489541.1718016,Actuator(ptr=c_void_p(93946577069728)),78.0
1751489543.1762576,Actuator(ptr=c_void_p(93946577069728)),153.0
1751489545.180612,Actuator(ptr=c_void_p(93946577069728)),153.0
1751489547.1849742,Actuator(ptr=c_void_p(93946577069728)),153.0
1751489549.1892982,Actuator(ptr=c_void_p(93946577069728)),153.0
1751489551.193598,Actuator(ptr=c_void_p(93946577069728)),153.0
1751489553.1980953,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489555.2059927,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489557.2118878,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489559.2173233,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489561.222752,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489563.2286267,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489565.2344518,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489567.2404609,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489569.2458801,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489571.2519283,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489573.257793,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489575.2640562,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489577.2694983,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489579.2753468,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489581.2812889,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489583.2885187,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489585.2964714,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489587.3019435,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489589.3080196,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489591.3140306,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489593.3192072,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489595.3243911,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489597.3300211,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489599.335421,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489601.3405206,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489603.346322,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489605.3522215,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489607.3580403,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489609.3633592,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489611.3691816,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489613.3749464,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489615.3807824,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489617.3862622,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489619.391767,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489621.397416,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489623.4032662,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489625.4089086,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489627.4143574,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489629.4196067,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489631.425492,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489633.4313505,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489635.4364552,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489637.442001,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489639.4471793,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489641.4526742,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489643.4582088,Actuator(ptr=c_void_p(93946577069728)),124.0
1751489645.464119,Actuator(ptr=c_void_p(93946577069728)),124.0
