time,scope,value
1763965824.3111122,nrm.extra.perf.PAPI_L3_TCA.224756,6547628.0
1763965824.3111122,nrm.extra.perf.PAPI_TOT_INS.224756,4395293755.0
1763965824.3111122,nrm.extra.perf.PAPI_TOT_CYC.224756,4397934308.0
1763965824.3111122,nrm.extra.perf.PAPI_RES_STL.224756,848064507.0
1763965824.3111122,nrm.extra.perf.PAPI_L3_TCM.224756,4231879.0
1763965825.311318,nrm.extra.perf.PAPI_L3_TCA.224756,17790296.0
1763965825.311318,nrm.extra.perf.PAPI_TOT_INS.224756,11707812277.0
1763965825.311318,nrm.extra.perf.PAPI_TOT_CYC.224756,7582627855.0
1763965825.311318,nrm.extra.perf.PAPI_RES_STL.224756,1373367157.0
1763965825.311318,nrm.extra.perf.PAPI_L3_TCM.224756,12767026.0
1763965826.3104308,nrm.extra.perf.PAPI_L3_TCA.224756,29486787.0
1763965826.3104308,nrm.extra.perf.PAPI_TOT_INS.224756,19033541410.0
1763965826.3104308,nrm.extra.perf.PAPI_TOT_CYC.224756,10752771825.0
1763965826.3104308,nrm.extra.perf.PAPI_RES_STL.224756,1910038430.0
1763965826.3104308,nrm.extra.perf.PAPI_L3_TCM.224756,21995797.0
1763965827.3105395,nrm.extra.perf.PAPI_L3_TCA.224756,40843995.0
1763965827.3105395,nrm.extra.perf.PAPI_TOT_INS.224756,25776219707.0
1763965827.3105395,nrm.extra.perf.PAPI_TOT_CYC.224756,13718193578.0
1763965827.3105395,nrm.extra.perf.PAPI_RES_STL.224756,2413490344.0
1763965827.3105395,nrm.extra.perf.PAPI_L3_TCM.224756,31268824.0
1763965828.3106232,nrm.extra.perf.PAPI_L3_TCA.224756,53197170.0
1763965828.3106232,nrm.extra.perf.PAPI_TOT_INS.224756,32856180606.0
1763965828.3106232,nrm.extra.perf.PAPI_TOT_CYC.224756,16768313683.0
1763965828.3106232,nrm.extra.perf.PAPI_RES_STL.224756,2932875513.0
1763965828.3106232,nrm.extra.perf.PAPI_L3_TCM.224756,41556457.0
1763965829.3107262,nrm.extra.perf.PAPI_L3_TCA.224756,65993385.0
1763965829.3107262,nrm.extra.perf.PAPI_TOT_INS.224756,40020067539.0
1763965829.3107262,nrm.extra.perf.PAPI_TOT_CYC.224756,19823877504.0
1763965829.3107262,nrm.extra.perf.PAPI_RES_STL.224756,3449516099.0
1763965829.3107262,nrm.extra.perf.PAPI_L3_TCM.224756,52374802.0
1763965830.3108222,nrm.extra.perf.PAPI_L3_TCA.224756,79119652.0
1763965830.3108222,nrm.extra.perf.PAPI_TOT_INS.224756,47267007821.0
1763965830.3108222,nrm.extra.perf.PAPI_TOT_CYC.224756,22879505063.0
1763965830.3108222,nrm.extra.perf.PAPI_RES_STL.224756,3959255931.0
1763965830.3108222,nrm.extra.perf.PAPI_L3_TCM.224756,63582554.0
1763965831.310927,nrm.extra.perf.PAPI_L3_TCA.224756,92569038.0
1763965831.310927,nrm.extra.perf.PAPI_TOT_INS.224756,54612881001.0
1763965831.310927,nrm.extra.perf.PAPI_TOT_CYC.224756,25945966925.0
1763965831.310927,nrm.extra.perf.PAPI_RES_STL.224756,4464886203.0
1763965831.310927,nrm.extra.perf.PAPI_L3_TCM.224756,75164548.0
1763965832.3110073,nrm.extra.perf.PAPI_L3_TCA.224756,106939531.0
1763965832.3110073,nrm.extra.perf.PAPI_TOT_INS.224756,62392203515.0
1763965832.3110073,nrm.extra.perf.PAPI_TOT_CYC.224756,29120318969.0
1763965832.3110073,nrm.extra.perf.PAPI_RES_STL.224756,4979603763.0
1763965832.3110073,nrm.extra.perf.PAPI_L3_TCM.224756,87610279.0
1763965833.3111095,nrm.extra.perf.PAPI_L3_TCA.224756,120772232.0
1763965833.3111095,nrm.extra.perf.PAPI_TOT_INS.224756,69859906005.0
1763965833.3111095,nrm.extra.perf.PAPI_TOT_CYC.224756,32176721840.0
1763965833.3111095,nrm.extra.perf.PAPI_RES_STL.224756,5459935650.0
1763965833.3111095,nrm.extra.perf.PAPI_L3_TCM.224756,99656910.0
1763965834.3112006,nrm.extra.perf.PAPI_L3_TCA.224756,134992068.0
