time,scope,value
1764988324.6443224,0,160.65083499623682
1764988324.6443224,1,163.4646544888856
1764988325.6442826,0,178.16819073921738
1764988325.6442826,1,184.0152048024305
1764988326.644303,0,161.68403195537562
1764988326.644303,1,164.8772390918885
1764988327.6447337,0,161.71651003922906
1764988327.6447337,1,161.1421838241078
1764988328.6443071,0,166.85131036644867
1764988328.6443071,1,161.79563698615934
1764988329.6443005,0,162.43716304886087
1764988329.6443005,1,165.5551471733997
1764988330.6443102,0,162.46025577210156
1764988330.6443102,1,165.6370050594459
1764988331.6443174,0,166.9444213371276
1764988331.6443174,1,161.59127161126102
1764988332.6443062,0,167.65317821004436
1764988332.6443062,1,164.72728107026654
1764988333.6443226,0,167.1160374087526
1764988333.6443226,1,166.7140670752738
1764988334.644312,0,164.6253368107243
1764988334.644312,1,167.69719179819361
1764988335.6443024,0,165.14524334105778
1764988335.6443024,1,166.41398019681216
1764988336.6443071,0,161.7052232472233
1764988336.6443071,1,164.85945228664835
1764988337.6443205,0,167.57154724184568
1764988337.6443205,1,161.6963786627038
1764988338.6442761,0,163.75235881657696
1764988338.6442761,1,166.71259151569444
1764988339.6443193,0,162.06136609870143
1764988339.6443193,1,163.7431835545859
1764988340.6443067,0,166.733606467932
1764988340.6443067,1,161.26592593305762
1764988341.6443217,0,168.59638816062704
1764988341.6443217,1,166.45725587718084
1764988342.6443167,0,163.4732243533791
1764988342.6443167,1,164.92327087783394
1764988343.6443152,0,162.34488732252484
1764988343.6443152,1,166.7493082794179
1764988344.6443098,0,164.37616177496523
1764988344.6443098,1,161.5819407087999
1764988345.644316,0,166.69966185209822
1764988345.644316,1,162.75289135875425
1764988346.6443067,0,166.86118030061505
1764988346.6443067,1,166.63227216331703
1764988347.6443172,0,160.99822351482433
1764988347.6443172,1,164.83238027866653
1764988348.6443193,0,162.12677350433054
1764988348.6443193,1,164.76659373063868
1764988349.6443164,0,164.63623088666836
1764988349.6443164,1,164.74715160022163
1764988350.6443226,0,166.39995464497375
1764988350.6443226,1,161.63299239665193
1764988351.6443145,0,164.63201693269187
1764988351.6443145,1,161.27445702907016
1764988352.6443186,0,164.13206230891646
1764988352.6443186,1,161.92408087272344
1764988353.644304,0,167.274393805316
1764988353.644304,1,161.96083968841737
1764988354.6443162,0,167.94282053733258
1764988354.6443162,1,164.49682571307292
1764988355.6443174,0,163.76778375347658
1764988355.6443174,1,164.38444633253877
1764988356.6443093,0,161.10579137211414
1764988356.6443093,1,161.65104134356704
1764988357.644312,0,161.74875145296642
1764988357.644312,1,164.6241218394464
1764988358.6443152,0,166.15188499746483
1764988358.6443152,1,162.13562962813685
1764988359.6443162,0,168.12614201740757
1764988359.6443162,1,162.0228997220373
1764988360.6443095,0,161.85557776347704
1764988360.6443095,1,167.4987346758121
1764988361.6443152,0,164.4531854492097
1764988361.6443152,1,162.28855093359107
1764988362.6443093,0,161.70465738120646
1764988362.6443093,1,161.63204639097617
1764988363.6443272,0,165.96340787431348
1764988363.6443272,1,162.72515635828194
1764988364.6443174,0,167.89867169133746
1764988364.6443174,1,164.3428386677883
1764988365.6443098,0,167.25195086336305
1764988365.6443098,1,163.0722567254809
1764988366.644311,0,162.13422134781155
1764988366.644311,1,168.30464694084017
1764988367.6443195,0,164.35110740152402
1764988367.6443195,1,165.27685960435107
1764988368.6443105,0,165.1166131754796
1764988368.6443105,1,168.09328985920465
1764988369.6443143,0,164.46107538592378
1764988369.6443143,1,167.12579478306594
1764988370.6443193,0,162.98851440013206
1764988370.6443193,1,166.8678763664347
1764988371.6443162,0,164.19242425631043
1764988371.6443162,1,161.74225414019313
1764988372.6443121,0,162.121088643391
1764988372.6443121,1,165.31468915043254
1764988373.6443105,0,168.2810086490558
1764988373.6443105,1,161.68312980425833
1764988374.6443105,0,167.6382656076123
1764988374.6443105,1,162.97803908552999
1764988375.644317,0,167.87893965300898
1764988375.644317,1,161.7779306581408
1764988376.6442962,0,164.4064813048207
1764988376.6442962,1,163.92405492135435
1764988377.6443079,0,166.18041952028275
1764988377.6443079,1,161.57022189079484
1764988378.6443162,0,167.36860134658608
1764988378.6443162,1,164.4081058786418
1764988379.6443129,0,164.80144631137236
1764988379.6443129,1,167.02695274377115
1764988380.6443217,0,164.79849956578053
1764988380.6443217,1,167.60920035695761
1764988381.6443071,0,165.03458313644276
1764988381.6443071,1,167.95243385744917
1764988382.644314,0,164.3043987661377
1764988382.644314,1,167.33593053085383
1764988383.6443188,0,161.7850574493243
1764988383.6443188,1,165.5983853671966
1764988384.6443152,0,165.6552686070407
1764988384.6443152,1,161.615614740726
1764988385.6443152,0,166.28215996562662
1764988385.6443152,1,166.4077161249725
1764988386.6443124,0,164.8829230634479
1764988386.6443124,1,168.3819634709572
1764988387.6443148,0,162.49695846762796
1764988387.6443148,1,168.184527279752
1764988388.6443174,0,165.62578431254386
1764988388.6443174,1,167.1099087135198
1764988389.6443152,0,162.49974708315713
1764988389.6443152,1,167.22484969875913
1764988390.6443145,0,160.88293104496879
1764988390.6443145,1,164.57348084517005
1764988391.6442993,0,165.0432573303627
1764988391.6442993,1,161.4064333875667
1764988392.6443102,0,167.20055282940965
1764988392.6443102,1,161.53004539978937
1764988393.644305,0,166.7764092647722
1764988393.644305,1,166.30541561345694
1764988394.644328,0,164.60482754086362
1764988394.644328,1,167.05611788316688
1764988395.644313,0,162.50360940500718
1764988395.644313,1,167.3110759465924
1764988396.6443198,0,162.8924283011621
1764988396.6443198,1,165.42015551542852
1764988397.644312,0,163.9351016603153
1764988397.644312,1,161.87407450911613
1764988398.6443033,0,166.03003538909303
1764988398.6443033,1,161.97364053373437
1764988399.644342,0,167.3258247940904
1764988399.644342,1,164.21690877289723
1764988400.6443152,0,166.86369452113055
1764988400.6443152,1,167.26814058939786
1764988401.644305,0,161.81565057015217
1764988401.644305,1,167.94415856668377
1764988402.6443062,0,164.24163709584346
1764988402.6443062,1,166.135507674114
1764988403.6443048,0,167.37277689476713
1764988403.6443048,1,167.3520076732071
1764988404.644318,0,164.7898775658436
1764988404.644318,1,166.98956616773478
1764988405.6443057,0,162.58282380978474
1764988405.6443057,1,166.18062871327135
1764988406.6443057,0,162.53790901471842
1764988406.6443057,1,166.6944092489691
1764988407.644316,0,161.43858154507197
1764988407.644316,1,164.5521717290268
1764988408.6443121,0,161.0793204744511
1764988408.6443121,1,164.21654773847226
1764988409.6443064,0,164.4185445062866
1764988409.6443064,1,162.17304717053523
