time,scope,value
1771557876.4113226,0,1364775.1712646484
1771557876.4113226,1,1364775.1712646484
1771557877.4112356,0,1364881.174621582
1771557877.4112356,1,1364881.174621582
1771557878.4113173,0,1364958.9169921875
1771557878.4113173,1,1364958.9169921875
1771557879.411333,0,1365036.7205810547
1771557879.411333,1,1365036.7205810547
1771557880.411337,0,1365114.4411010742
1771557880.411337,1,1365114.5201416016
1771557881.412235,0,1365192.3416748047
1771557881.412235,1,1365192.3416748047
1771557882.4121523,0,1365270.0847167969
1771557882.4121523,1,1365270.0847167969
1771557883.4113278,0,1365347.7477416992
1771557883.4113278,1,1365347.8262939453
1771557884.4116454,0,1365425.5524902344
1771557884.4116454,1,1365425.5524902344
1771557885.4115157,0,1365503.3502197266
1771557885.4115157,1,1365503.3502197266
1771557886.4113245,0,1365581.0950317383
1771557886.4113245,1,1365581.0950317383
1771557887.411416,0,1365658.8275146484
1771557887.411416,1,1365658.91015625
1771557888.4113092,0,1365736.6550292969
1771557888.4113092,1,1365736.6550292969
1771557889.4113672,0,1365814.3779907227
1771557889.4113672,1,1365814.4625854492
1771557890.4113822,0,1365892.1958007812
1771557890.4113822,1,1365892.1958007812
1771557891.4114077,0,1365969.9260864258
1771557891.4114077,1,1365969.9998779297
1771557892.411309,0,1366047.7326660156
1771557892.411309,1,1366047.7326660156
1771557893.4113085,0,1366125.491027832
1771557893.4113085,1,1366125.491027832
1771557894.4122288,0,1366203.3658447266
1771557894.4122288,1,1366203.3658447266
1771557895.4115047,0,1366281.0244140625
1771557895.4115047,1,1366281.0244140625
1771557896.4113307,0,1366358.8372192383
1771557896.4113307,1,1366358.8372192383
1771557897.411329,0,1366436.571105957
1771557897.411329,1,1366436.571105957
1771557898.4113295,0,1366514.3217773438
1771557898.4113295,1,1366514.3217773438
1771557899.4114094,0,1366592.1094360352
1771557899.4114094,1,1366592.1094360352
1771557900.4133146,0,1366670.0012207031
1771557900.4133146,1,1366670.0012207031
1771557901.411339,0,1366747.6610107422
1771557901.411339,1,1366747.6610107422
1771557902.4113302,0,1366825.419921875
1771557902.4113302,1,1366825.419921875
1771557903.411555,0,1366903.2221069336
1771557903.411555,1,1366903.2221069336
1771557904.4113276,0,1366980.9650878906
1771557904.4113276,1,1366980.9650878906
1771557905.4113147,0,1367058.7725219727
1771557905.4113147,1,1367058.7725219727
1771557906.4113271,0,1367136.5341796875
1771557906.4113271,1,1367136.5341796875
1771557907.411346,0,1367214.246459961
1771557907.411346,1,1367214.246459961
1771557908.4113472,0,1367292.0510864258
1771557908.4113472,1,1367292.0510864258
1771557909.4113176,0,1367369.7849731445
1771557909.4113176,1,1367369.7849731445
1771557910.4112506,0,1367447.5982055664
1771557910.4112506,1,1367447.5982055664
1771557911.412181,0,1367525.4008789062
