time,actuator,value
1771559660.7124426,Actuator(ptr=c_void_p(409045504)),165.0
1771559662.7126117,Actuator(ptr=c_void_p(409045504)),165.0
1771559664.7126284,Actuator(ptr=c_void_p(409045504)),165.0
1771559666.7126513,Actuator(ptr=c_void_p(409045504)),165.0
1771559668.712648,Actuator(ptr=c_void_p(409045504)),165.0
1771559670.7125566,Actuator(ptr=c_void_p(409045504)),165.0
1771559672.7197874,Actuator(ptr=c_void_p(409045504)),78.0
1771559674.7160504,Actuator(ptr=c_void_p(409045504)),83.0
1771559676.7144797,Actuator(ptr=c_void_p(409045504)),78.0
1771559678.7158818,Actuator(ptr=c_void_p(409045504)),83.0
1771559680.7147238,Actuator(ptr=c_void_p(409045504)),78.0
1771559682.7145038,Actuator(ptr=c_void_p(409045504)),83.0
1771559684.7154691,Actuator(ptr=c_void_p(409045504)),78.0
1771559686.7147784,Actuator(ptr=c_void_p(409045504)),95.0
1771559688.7147565,Actuator(ptr=c_void_p(409045504)),78.0
1771559690.7151024,Actuator(ptr=c_void_p(409045504)),83.0
1771559692.715051,Actuator(ptr=c_void_p(409045504)),78.0
1771559694.714684,Actuator(ptr=c_void_p(409045504)),83.0
1771559696.714461,Actuator(ptr=c_void_p(409045504)),78.0
1771559698.7150223,Actuator(ptr=c_void_p(409045504)),83.0
1771559700.714992,Actuator(ptr=c_void_p(409045504)),95.0
1771559702.7147563,Actuator(ptr=c_void_p(409045504)),95.0
1771559704.7146413,Actuator(ptr=c_void_p(409045504)),95.0
1771559706.7146277,Actuator(ptr=c_void_p(409045504)),95.0
1771559708.7145262,Actuator(ptr=c_void_p(409045504)),95.0
1771559710.7144144,Actuator(ptr=c_void_p(409045504)),95.0
1771559712.7145047,Actuator(ptr=c_void_p(409045504)),95.0
1771559714.7145574,Actuator(ptr=c_void_p(409045504)),95.0
1771559716.7154667,Actuator(ptr=c_void_p(409045504)),95.0
1771559718.7154393,Actuator(ptr=c_void_p(409045504)),95.0
1771559720.7154715,Actuator(ptr=c_void_p(409045504)),95.0
1771559722.7152832,Actuator(ptr=c_void_p(409045504)),95.0
1771559724.7149143,Actuator(ptr=c_void_p(409045504)),95.0
1771559726.7147686,Actuator(ptr=c_void_p(409045504)),95.0
1771559728.7147014,Actuator(ptr=c_void_p(409045504)),95.0
1771559730.7145903,Actuator(ptr=c_void_p(409045504)),95.0
1771559732.7146485,Actuator(ptr=c_void_p(409045504)),95.0
1771559734.714629,Actuator(ptr=c_void_p(409045504)),95.0
1771559736.7149029,Actuator(ptr=c_void_p(409045504)),95.0
1771559738.7145214,Actuator(ptr=c_void_p(409045504)),95.0
1771559740.7149074,Actuator(ptr=c_void_p(409045504)),95.0
1771559742.7147598,Actuator(ptr=c_void_p(409045504)),95.0
1771559744.7150443,Actuator(ptr=c_void_p(409045504)),95.0
1771559746.7146046,Actuator(ptr=c_void_p(409045504)),95.0
1771559748.714477,Actuator(ptr=c_void_p(409045504)),95.0
1771559750.7146754,Actuator(ptr=c_void_p(409045504)),95.0
1771559752.7149117,Actuator(ptr=c_void_p(409045504)),95.0
1771559754.7148912,Actuator(ptr=c_void_p(409045504)),95.0
1771559756.7148983,Actuator(ptr=c_void_p(409045504)),95.0
1771559758.7142212,Actuator(ptr=c_void_p(409045504)),95.0
1771559760.7155635,Actuator(ptr=c_void_p(409045504)),95.0
1771559762.7154567,Actuator(ptr=c_void_p(409045504)),95.0
1771559764.715336,Actuator(ptr=c_void_p(409045504)),95.0
1771559766.715327,Actuator(ptr=c_void_p(409045504)),95.0
1771559768.7146616,Actuator(ptr=c_void_p(409045504)),95.0
1771559770.7159638,Actuator(ptr=c_void_p(409045504)),95.0
1771559772.714749,Actuator(ptr=c_void_p(409045504)),95.0
1771559774.7144248,Actuator(ptr=c_void_p(409045504)),95.0
1771559776.7147584,Actuator(ptr=c_void_p(409045504)),95.0
1771559778.714565,Actuator(ptr=c_void_p(409045504)),95.0
1771559780.714559,Actuator(ptr=c_void_p(409045504)),95.0
