time,value
1771562666.475033,1.0
1771562666.6286192,3.0
1771562666.781395,3.0
1771562666.9354477,3.0
1771562667.0876675,3.0
1771562667.2401206,3.0
1771562667.4190383,3.0
1771562667.5897825,3.0
1771562667.767345,3.0
1771562667.945147,3.0
1771562668.1364605,3.0
1771562668.316008,3.0
1771562668.4943562,3.0
1771562668.6719794,3.0
1771562668.8428226,3.0
1771562668.9934535,3.0
1771562669.143371,3.0
1771562669.293865,3.0
1771562669.4439483,3.0
1771562669.5938888,3.0
1771562669.7430532,3.0
1771562669.8928528,3.0
1771562670.0423841,3.0
1771562670.1974,3.0
1771562670.3693192,3.0
1771562670.5574303,3.0
1771562670.7299814,3.0
1771562670.880534,3.0
1771562671.0298183,3.0
1771562671.1793873,3.0
1771562671.3320663,3.0
1771562671.4844298,3.0
1771562671.636953,3.0
1771562671.7892435,3.0
1771562671.9413757,3.0
1771562672.0935228,3.0
1771562672.2454827,3.0
1771562672.3974423,3.0
1771562672.54948,3.0
1771562672.7015781,3.0
1771562672.853545,3.0
1771562673.0058682,3.0
1771562673.1577413,3.0
1771562673.3098207,3.0
1771562673.4618676,3.0
1771562673.6140997,3.0
1771562673.7661977,3.0
1771562673.91838,3.0
1771562674.0704293,3.0
1771562674.2223577,3.0
1771562674.3743443,3.0
1771562674.526783,3.0
1771562674.678686,3.0
1771562674.8306236,3.0
1771562674.9825642,3.0
1771562675.1348436,3.0
1771562675.287003,3.0
1771562675.4390986,3.0
1771562675.591176,3.0
1771562675.7432246,3.0
1771562675.8953242,3.0
1771562676.0472264,3.0
1771562676.1992557,3.0
1771562676.3513324,3.0
1771562676.5036056,3.0
1771562676.6555443,3.0
1771562676.8075314,3.0
1771562676.9596353,3.0
1771562677.1121283,3.0
1771562677.264174,3.0
1771562677.416211,3.0
1771562677.5681815,3.0
1771562677.7202964,3.0
1771562677.8722668,3.0
1771562678.0243044,3.0
1771562678.1765237,3.0
1771562678.3286192,3.0
1771562678.4808047,3.0
1771562678.6330438,3.0
1771562678.7852094,3.0
1771562678.9374223,3.0
1771562679.089476,3.0
1771562679.2420359,3.0
1771562679.3941832,3.0
1771562679.5464177,3.0
1771562679.6986058,3.0
1771562679.8507187,3.0
1771562680.002742,3.0
1771562680.1547623,3.0
1771562680.3068466,3.0
1771562680.4591868,3.0
1771562680.6112757,3.0
1771562680.7634375,3.0
1771562680.915715,3.0
1771562681.0677774,3.0
1771562681.2174518,3.0
1771562681.3664384,3.0
1771562681.5164723,3.0
1771562681.6656005,3.0
1771562681.8147643,3.0
1771562681.9639273,3.0
1771562682.1129303,3.0
1771562682.2622144,3.0
1771562682.4155536,3.0
1771562682.566803,3.0
1771562682.7158926,3.0
1771562682.865223,3.0
1771562683.014247,3.0
1771562683.163387,3.0
1771562683.3123624,3.0
1771562683.4632804,3.0
1771562683.6163416,3.0
1771562683.7691948,3.0
1771562683.9219558,3.0
1771562684.0832715,3.0
1771562684.0961497,1.0
1771562684.4097736,2.0
1771562684.5633848,3.0
1771562684.716196,3.0
1771562684.8672185,3.0
1771562685.0167856,3.0
1771562685.1668339,3.0
1771562685.3171103,3.0
1771562685.4669607,3.0
1771562685.6167586,3.0
1771562685.7663765,3.0
1771562685.9161055,3.0
1771562686.065673,3.0
1771562686.2211401,3.0
1771562686.3227599,3.0
1771562686.4225368,3.0
1771562686.5217469,3.0
1771562686.620794,3.0
1771562686.7196255,3.0
1771562686.8181622,3.0
1771562686.9173326,3.0
1771562687.0156791,3.0
1771562687.1139963,3.0
1771562687.2124367,3.0
1771562687.3108926,3.0
1771562687.4089823,3.0
1771562687.5072548,3.0
1771562687.605515,3.0
1771562687.7037773,3.0
1771562687.8016276,3.0
1771562687.899721,3.0
1771562687.9978366,3.0
1771562688.0960312,3.0
1771562688.1948671,3.0
1771562688.3068802,3.0
1771562688.3928583,3.0
1771562688.4784558,3.0
1771562688.5639305,3.0
1771562688.6492698,3.0
1771562688.734485,3.0
1771562688.819787,3.0
1771562688.904994,3.0
1771562688.9901803,3.0
1771562689.075329,3.0
1771562689.1603522,3.0
1771562689.245478,3.0
1771562689.330656,3.0
1771562689.4159477,3.0
1771562689.5010762,3.0
1771562689.5861492,3.0
1771562689.671094,3.0
1771562689.756116,3.0
1771562689.8411398,3.0
1771562689.9261746,3.0
1771562690.0111482,3.0
1771562690.096179,3.0
1771562690.181317,3.0
1771562690.266324,3.0
1771562690.3512864,3.0
1771562690.4362688,3.0
1771562690.5211892,3.0
1771562690.6061976,3.0
1771562690.691227,3.0
1771562690.7761624,3.0
1771562690.8612168,3.0
1771562690.9462988,3.0
1771562691.0313606,3.0
1771562691.1163976,3.0
1771562691.201471,3.0
1771562691.2865796,3.0
1771562691.3714907,3.0
1771562691.456783,3.0
1771562691.541879,3.0
1771562691.626798,3.0
1771562691.7118044,3.0
1771562691.7967782,3.0
1771562691.8817558,3.0
1771562691.9667542,3.0
1771562692.0516052,3.0
1771562692.1364956,3.0
1771562692.2215984,3.0
1771562692.306607,3.0
1771562692.3914897,3.0
1771562692.476704,3.0
1771562692.561635,3.0
1771562692.6465836,3.0
1771562692.7314665,3.0
1771562692.8164856,3.0
1771562692.901521,3.0
1771562692.9864757,3.0
1771562693.0714145,3.0
1771562693.1564918,3.0
1771562693.2417078,3.0
1771562693.326772,3.0
1771562693.4117548,3.0
1771562693.496655,3.0
1771562693.5816123,3.0
1771562693.6665113,3.0
1771562693.7514584,3.0
1771562693.836417,3.0
1771562693.9215167,3.0
1771562694.0064788,3.0
1771562694.0915134,3.0
