time,scope,value
1750312478.6077745,nrm.extra.perf.PAPI_L3_TCA.38623,445112665.0
1750312478.6077745,nrm.extra.perf.PAPI_TOT_INS.38623,150569136109.0
1750312478.6077745,nrm.extra.perf.PAPI_TOT_CYC.38623,270488068170.0
1750312478.6077745,nrm.extra.perf.PAPI_RES_STL.38623,133045446309.0
1750312478.6077745,nrm.extra.perf.PAPI_L3_TCM.38623,55655453.0
1750312479.6078851,nrm.extra.perf.PAPI_L3_TCA.38623,937635173.0
1750312479.6078851,nrm.extra.perf.PAPI_TOT_INS.38623,316212211889.0
1750312479.6078851,nrm.extra.perf.PAPI_TOT_CYC.38623,556928219872.0
1750312479.6078851,nrm.extra.perf.PAPI_RES_STL.38623,277686128475.0
1750312479.6078851,nrm.extra.perf.PAPI_L3_TCM.38623,114980383.0
1750312480.6081147,nrm.extra.perf.PAPI_L3_TCA.38623,1326297038.0
1750312480.6081147,nrm.extra.perf.PAPI_TOT_INS.38623,447899493138.0
1750312480.6081147,nrm.extra.perf.PAPI_TOT_CYC.38623,782920571785.0
1750312480.6081147,nrm.extra.perf.PAPI_RES_STL.38623,389798075123.0
1750312480.6081147,nrm.extra.perf.PAPI_L3_TCM.38623,163749996.0
1750312481.6072571,nrm.extra.perf.PAPI_L3_TCA.38623,1684877463.0
1750312481.6072571,nrm.extra.perf.PAPI_TOT_INS.38623,568502126117.0
1750312481.6072571,nrm.extra.perf.PAPI_TOT_CYC.38623,990291019512.0
1750312481.6072571,nrm.extra.perf.PAPI_RES_STL.38623,491988267112.0
1750312481.6072571,nrm.extra.perf.PAPI_L3_TCM.38623,211864144.0
1750312482.6074638,nrm.extra.perf.PAPI_L3_TCA.38623,2182997149.0
1750312482.6074638,nrm.extra.perf.PAPI_TOT_INS.38623,735735143700.0
1750312482.6074638,nrm.extra.perf.PAPI_TOT_CYC.38623,1276083214825.0
1750312482.6074638,nrm.extra.perf.PAPI_RES_STL.38623,634959696786.0
1750312482.6074638,nrm.extra.perf.PAPI_L3_TCM.38623,275706673.0
1750312483.6076689,nrm.extra.perf.PAPI_L3_TCA.38623,2684258721.0
1750312483.6076689,nrm.extra.perf.PAPI_TOT_INS.38623,903881076328.0
1750312483.6076689,nrm.extra.perf.PAPI_TOT_CYC.38623,1562031637845.0
1750312483.6076689,nrm.extra.perf.PAPI_RES_STL.38623,778751168714.0
1750312483.6076689,nrm.extra.perf.PAPI_L3_TCM.38623,338341056.0
1750312484.6078646,nrm.extra.perf.PAPI_L3_TCA.38623,3177983927.0
1750312484.6078646,nrm.extra.perf.PAPI_TOT_INS.38623,1070108676867.0
1750312484.6078646,nrm.extra.perf.PAPI_TOT_CYC.38623,1848798176727.0
1750312484.6078646,nrm.extra.perf.PAPI_RES_STL.38623,920346000517.0
1750312484.6078646,nrm.extra.perf.PAPI_L3_TCM.38623,401430236.0
1750312485.6080039,nrm.extra.perf.PAPI_L3_TCA.38623,3679673805.0
1750312485.6080039,nrm.extra.perf.PAPI_TOT_INS.38623,1238337071737.0
1750312485.6080039,nrm.extra.perf.PAPI_TOT_CYC.38623,2135379889754.0
1750312485.6080039,nrm.extra.perf.PAPI_RES_STL.38623,1064132254472.0
1750312485.6080039,nrm.extra.perf.PAPI_L3_TCM.38623,462984482.0
1750312486.60816,nrm.extra.perf.PAPI_L3_TCA.38623,4177983425.0
1750312486.60816,nrm.extra.perf.PAPI_TOT_INS.38623,1405891092680.0
1750312486.60816,nrm.extra.perf.PAPI_TOT_CYC.38623,2422182127799.0
1750312486.60816,nrm.extra.perf.PAPI_RES_STL.38623,1207157741603.0
1750312486.60816,nrm.extra.perf.PAPI_L3_TCM.38623,527215804.0
1750312487.607458,nrm.extra.perf.PAPI_L3_TCA.38623,4680258424.0
1750312487.607458,nrm.extra.perf.PAPI_TOT_INS.38623,1574298909958.0
1750312487.607458,nrm.extra.perf.PAPI_TOT_CYC.38623,2708510560055.0
1750312487.607458,nrm.extra.perf.PAPI_RES_STL.38623,1351169490965.0
1750312487.607458,nrm.extra.perf.PAPI_L3_TCM.38623,591769691.0
1750312488.6075246,nrm.extra.perf.PAPI_L3_TCA.38623,5178930594.0
1750312488.6075246,nrm.extra.perf.PAPI_TOT_INS.38623,1741741782541.0
1750312488.6075246,nrm.extra.perf.PAPI_TOT_CYC.38623,2994673273636.0
1750312488.6075246,nrm.extra.perf.PAPI_RES_STL.38623,1494198841364.0
1750312488.6075246,nrm.extra.perf.PAPI_L3_TCM.38623,654650203.0
1750312489.607677,nrm.extra.perf.PAPI_L3_TCA.38623,5679413602.0
1750312489.607677,nrm.extra.perf.PAPI_TOT_INS.38623,1909920595503.0
1750312489.607677,nrm.extra.perf.PAPI_TOT_CYC.38623,3281273983871.0
1750312489.607677,nrm.extra.perf.PAPI_RES_STL.38623,1637973063362.0
1750312489.607677,nrm.extra.perf.PAPI_L3_TCM.38623,719382577.0
1750312490.6078742,nrm.extra.perf.PAPI_L3_TCA.38623,6180445573.0
1750312490.6078742,nrm.extra.perf.PAPI_TOT_INS.38623,2078087840892.0
1750312490.6078742,nrm.extra.perf.PAPI_TOT_CYC.38623,3568043122365.0
1750312490.6078742,nrm.extra.perf.PAPI_RES_STL.38623,1781850798312.0
1750312490.6078742,nrm.extra.perf.PAPI_L3_TCM.38623,783951354.0
1750312491.6080382,nrm.extra.perf.PAPI_L3_TCA.38623,6681397718.0
1750312491.6080382,nrm.extra.perf.PAPI_TOT_INS.38623,2246282732182.0
1750312491.6080382,nrm.extra.perf.PAPI_TOT_CYC.38623,3854796515855.0
1750312491.6080382,nrm.extra.perf.PAPI_RES_STL.38623,1925638437516.0
1750312491.6080382,nrm.extra.perf.PAPI_L3_TCM.38623,848576134.0
1750312492.6072152,nrm.extra.perf.PAPI_L3_TCA.38623,7183505140.0
1750312492.6072152,nrm.extra.perf.PAPI_TOT_INS.38623,2414959062558.0
1750312492.6072152,nrm.extra.perf.PAPI_TOT_CYC.38623,4141637129640.0
1750312492.6072152,nrm.extra.perf.PAPI_RES_STL.38623,2069671397014.0
1750312492.6072152,nrm.extra.perf.PAPI_L3_TCM.38623,912112533.0
1750312493.6073673,nrm.extra.perf.PAPI_L3_TCA.38623,7687388135.0
1750312493.6073673,nrm.extra.perf.PAPI_TOT_INS.38623,2584013110876.0
1750312493.6073673,nrm.extra.perf.PAPI_TOT_CYC.38623,4428418337570.0
1750312493.6073673,nrm.extra.perf.PAPI_RES_STL.38623,2214410600255.0
1750312493.6073673,nrm.extra.perf.PAPI_L3_TCM.38623,977277330.0
1750312494.6075914,nrm.extra.perf.PAPI_L3_TCA.38623,8190293344.0
1750312494.6075914,nrm.extra.perf.PAPI_TOT_INS.38623,2752947569376.0
1750312494.6075914,nrm.extra.perf.PAPI_TOT_CYC.38623,4715352436241.0
1750312494.6075914,nrm.extra.perf.PAPI_RES_STL.38623,2358667830378.0
1750312494.6075914,nrm.extra.perf.PAPI_L3_TCM.38623,1042215512.0
1750312495.6077962,nrm.extra.perf.PAPI_L3_TCA.38623,8692634024.0
1750312495.6077962,nrm.extra.perf.PAPI_TOT_INS.38623,2921489602899.0
1750312495.6077962,nrm.extra.perf.PAPI_TOT_CYC.38623,5002109541425.0
1750312495.6077962,nrm.extra.perf.PAPI_RES_STL.38623,2503235724030.0
1750312495.6077962,nrm.extra.perf.PAPI_L3_TCM.38623,1107260687.0
1750312496.6078122,nrm.extra.perf.PAPI_L3_TCA.38623,9194377806.0
1750312496.6078122,nrm.extra.perf.PAPI_TOT_INS.38623,3090252133047.0
1750312496.6078122,nrm.extra.perf.PAPI_TOT_CYC.38623,5288635124368.0
1750312496.6078122,nrm.extra.perf.PAPI_RES_STL.38623,2647057760100.0
1750312496.6078122,nrm.extra.perf.PAPI_L3_TCM.38623,1170504100.0
1750312497.6079326,nrm.extra.perf.PAPI_L3_TCA.38623,9688885774.0
1750312497.6079326,nrm.extra.perf.PAPI_TOT_INS.38623,3256635529093.0
1750312497.6079326,nrm.extra.perf.PAPI_TOT_CYC.38623,5575529779216.0
1750312497.6079326,nrm.extra.perf.PAPI_RES_STL.38623,2789180803796.0
1750312497.6079326,nrm.extra.perf.PAPI_L3_TCM.38623,1234517356.0
1750312498.6080651,nrm.extra.perf.PAPI_L3_TCA.38623,10190697799.0
1750312498.6080651,nrm.extra.perf.PAPI_TOT_INS.38623,3424928082523.0
1750312498.6080651,nrm.extra.perf.PAPI_TOT_CYC.38623,5861997834432.0
1750312498.6080651,nrm.extra.perf.PAPI_RES_STL.38623,2933328584921.0
1750312498.6080651,nrm.extra.perf.PAPI_L3_TCM.38623,1298893886.0
1750312499.6072445,nrm.extra.perf.PAPI_L3_TCA.38623,10691416117.0
1750312499.6072445,nrm.extra.perf.PAPI_TOT_INS.38623,3592960656617.0
1750312499.6072445,nrm.extra.perf.PAPI_TOT_CYC.38623,6146948649880.0
1750312499.6072445,nrm.extra.perf.PAPI_RES_STL.38623,3076756293862.0
1750312499.6072445,nrm.extra.perf.PAPI_L3_TCM.38623,1361896778.0
1750312500.6074772,nrm.extra.perf.PAPI_L3_TCA.38623,11196141732.0
1750312500.6074772,nrm.extra.perf.PAPI_TOT_INS.38623,3762083071868.0
1750312500.6074772,nrm.extra.perf.PAPI_TOT_CYC.38623,6433684824912.0
1750312500.6074772,nrm.extra.perf.PAPI_RES_STL.38623,3221515592159.0
1750312500.6074772,nrm.extra.perf.PAPI_L3_TCM.38623,1426531046.0
1750312501.6076813,nrm.extra.perf.PAPI_L3_TCA.38623,11700443274.0
1750312501.6076813,nrm.extra.perf.PAPI_TOT_INS.38623,3931058951315.0
1750312501.6076813,nrm.extra.perf.PAPI_TOT_CYC.38623,6720370668491.0
1750312501.6076813,nrm.extra.perf.PAPI_RES_STL.38623,3366097744655.0
1750312501.6076813,nrm.extra.perf.PAPI_L3_TCM.38623,1491192186.0
1750312502.6079419,nrm.extra.perf.PAPI_L3_TCA.38623,12180183685.0
1750312502.6079419,nrm.extra.perf.PAPI_TOT_INS.38623,4093137946785.0
1750312502.6079419,nrm.extra.perf.PAPI_TOT_CYC.38623,7001086744894.0
1750312502.6079419,nrm.extra.perf.PAPI_RES_STL.38623,3503931459684.0
1750312502.6079419,nrm.extra.perf.PAPI_L3_TCM.38623,1552145406.0
1750312503.608143,nrm.extra.perf.PAPI_L3_TCA.38623,12676093992.0
1750312503.608143,nrm.extra.perf.PAPI_TOT_INS.38623,4259974751636.0
1750312503.608143,nrm.extra.perf.PAPI_TOT_CYC.38623,7287269652812.0
1750312503.608143,nrm.extra.perf.PAPI_RES_STL.38623,3646524352393.0
1750312503.608143,nrm.extra.perf.PAPI_L3_TCM.38623,1616191414.0
1750312504.6071918,nrm.extra.perf.PAPI_L3_TCA.38623,13178564600.0
1750312504.6071918,nrm.extra.perf.PAPI_TOT_INS.38623,4428814169304.0
1750312504.6071918,nrm.extra.perf.PAPI_TOT_CYC.38623,7573899344184.0
1750312504.6071918,nrm.extra.perf.PAPI_RES_STL.38623,3790656948669.0
1750312504.6071918,nrm.extra.perf.PAPI_L3_TCM.38623,1679224946.0
1750312505.6072493,nrm.extra.perf.PAPI_L3_TCA.38623,13657055869.0
1750312505.6072493,nrm.extra.perf.PAPI_TOT_INS.38623,4590296064843.0
1750312505.6072493,nrm.extra.perf.PAPI_TOT_CYC.38623,7854374428568.0
1750312505.6072493,nrm.extra.perf.PAPI_RES_STL.38623,3928456415452.0
1750312505.6072493,nrm.extra.perf.PAPI_L3_TCM.38623,1741220156.0
1750312506.6074915,nrm.extra.perf.PAPI_L3_TCA.38623,14153999558.0
1750312506.6074915,nrm.extra.perf.PAPI_TOT_INS.38623,4757697883828.0
1750312506.6074915,nrm.extra.perf.PAPI_TOT_CYC.38623,8140768072782.0
1750312506.6074915,nrm.extra.perf.PAPI_RES_STL.38623,4071132259945.0
1750312506.6074915,nrm.extra.perf.PAPI_L3_TCM.38623,1804339995.0
1750312507.6077297,nrm.extra.perf.PAPI_L3_TCA.38623,14656027057.0
1750312507.6077297,nrm.extra.perf.PAPI_TOT_INS.38623,4926135341251.0
1750312507.6077297,nrm.extra.perf.PAPI_TOT_CYC.38623,8427444923064.0
1750312507.6077297,nrm.extra.perf.PAPI_RES_STL.38623,4215175873264.0
1750312507.6077297,nrm.extra.perf.PAPI_L3_TCM.38623,1868555339.0
1750312508.607927,nrm.extra.perf.PAPI_L3_TCA.38623,15157502057.0
1750312508.607927,nrm.extra.perf.PAPI_TOT_INS.38623,5094378256281.0
1750312508.607927,nrm.extra.perf.PAPI_TOT_CYC.38623,8713860603557.0
1750312508.607927,nrm.extra.perf.PAPI_RES_STL.38623,4359141633297.0
1750312508.607927,nrm.extra.perf.PAPI_L3_TCM.38623,1932623275.0
1750312509.6080947,nrm.extra.perf.PAPI_L3_TCA.38623,15657041059.0
1750312509.6080947,nrm.extra.perf.PAPI_TOT_INS.38623,5262031581578.0
1750312509.6080947,nrm.extra.perf.PAPI_TOT_CYC.38623,8998737827408.0
1750312509.6080947,nrm.extra.perf.PAPI_RES_STL.38623,4502522283939.0
1750312509.6080947,nrm.extra.perf.PAPI_L3_TCM.38623,1995307256.0
1750312510.607293,nrm.extra.perf.PAPI_L3_TCA.38623,16157986476.0
1750312510.607293,nrm.extra.perf.PAPI_TOT_INS.38623,5430121155830.0
1750312510.607293,nrm.extra.perf.PAPI_TOT_CYC.38623,9284898706099.0
1750312510.607293,nrm.extra.perf.PAPI_RES_STL.38623,4646260262106.0
1750312510.607293,nrm.extra.perf.PAPI_L3_TCM.38623,2059493738.0
1750312511.607534,nrm.extra.perf.PAPI_L3_TCA.38623,16659590741.0
1750312511.607534,nrm.extra.perf.PAPI_TOT_INS.38623,5598412474798.0
