time,actuator,value
1764797866.50663,Actuator(ptr=c_void_p(450473456)),165.0
1764797868.5081415,Actuator(ptr=c_void_p(450473456)),78.0
1764797870.5089805,Actuator(ptr=c_void_p(450473456)),83.0
1764797872.5079937,Actuator(ptr=c_void_p(450473456)),83.0
1764797874.508708,Actuator(ptr=c_void_p(450473456)),83.0
1764797876.5075119,Actuator(ptr=c_void_p(450473456)),83.0
1764797878.5078194,Actuator(ptr=c_void_p(450473456)),83.0
1764797880.5078218,Actuator(ptr=c_void_p(450473456)),83.0
1764797882.5081985,Actuator(ptr=c_void_p(450473456)),83.0
1764797884.5079195,Actuator(ptr=c_void_p(450473456)),83.0
1764797886.5080955,Actuator(ptr=c_void_p(450473456)),83.0
1764797888.5076137,Actuator(ptr=c_void_p(450473456)),83.0
1764797890.5078177,Actuator(ptr=c_void_p(450473456)),83.0
1764797892.508033,Actuator(ptr=c_void_p(450473456)),83.0
1764797894.5077438,Actuator(ptr=c_void_p(450473456)),83.0
1764797896.507639,Actuator(ptr=c_void_p(450473456)),83.0
1764797898.5077605,Actuator(ptr=c_void_p(450473456)),83.0
1764797900.5078044,Actuator(ptr=c_void_p(450473456)),83.0
1764797902.5076606,Actuator(ptr=c_void_p(450473456)),83.0
1764797904.5077748,Actuator(ptr=c_void_p(450473456)),83.0
1764797906.507748,Actuator(ptr=c_void_p(450473456)),83.0
1764797908.5079315,Actuator(ptr=c_void_p(450473456)),83.0
1764797910.507788,Actuator(ptr=c_void_p(450473456)),83.0
1764797912.5076802,Actuator(ptr=c_void_p(450473456)),83.0
1764797914.5076768,Actuator(ptr=c_void_p(450473456)),83.0
1764797916.5078108,Actuator(ptr=c_void_p(450473456)),83.0
1764797918.5078611,Actuator(ptr=c_void_p(450473456)),83.0
1764797920.5076404,Actuator(ptr=c_void_p(450473456)),83.0
1764797922.5078082,Actuator(ptr=c_void_p(450473456)),83.0
1764797924.5079813,Actuator(ptr=c_void_p(450473456)),83.0
1764797926.5078082,Actuator(ptr=c_void_p(450473456)),83.0
1764797928.5079417,Actuator(ptr=c_void_p(450473456)),83.0
1764797930.5078473,Actuator(ptr=c_void_p(450473456)),83.0
1764797932.5086515,Actuator(ptr=c_void_p(450473456)),83.0
1764797934.5083654,Actuator(ptr=c_void_p(450473456)),83.0
1764797936.5078204,Actuator(ptr=c_void_p(450473456)),83.0
1764797938.5086794,Actuator(ptr=c_void_p(450473456)),83.0
1764797940.507878,Actuator(ptr=c_void_p(450473456)),83.0
1764797942.5080583,Actuator(ptr=c_void_p(450473456)),83.0
1764797944.5081415,Actuator(ptr=c_void_p(450473456)),83.0
1764797946.5086145,Actuator(ptr=c_void_p(450473456)),83.0
1764797948.5080907,Actuator(ptr=c_void_p(450473456)),83.0
1764797950.5078986,Actuator(ptr=c_void_p(450473456)),83.0
1764797952.507935,Actuator(ptr=c_void_p(450473456)),83.0
1764797954.5082552,Actuator(ptr=c_void_p(450473456)),83.0
