time,value
1764822646.0842423,1.0
1764822646.150792,1.0
1764822646.2171316,1.0
1764822646.284414,1.0
1764822646.3513062,1.0
1764822646.4176707,1.0
1764822646.484714,1.0
1764822646.5513237,1.0
1764822646.6184123,1.0
1764822646.6854002,1.0
1764822646.7522447,1.0
1764822646.819218,1.0
1764822646.8867168,1.0
1764822646.9560485,1.0
1764822647.0228705,1.0
1764822647.089218,1.0
1764822647.1555195,1.0
1764822647.2223132,1.0
1764822647.2891936,1.0
1764822647.3555865,1.0
1764822647.4224007,1.0
1764822647.489847,1.0
1764822647.5564363,1.0
1764822647.6233828,1.0
1764822647.6896925,1.0
1764822647.7564383,1.0
1764822647.8234663,1.0
1764822647.8907776,1.0
1764822647.957531,1.0
1764822648.026923,1.0
1764822648.093862,1.0
1764822648.1601655,1.0
1764822648.2349415,1.0
1764822648.3320737,1.0
1764822648.4271119,1.0
1764822648.5210392,1.0
1764822648.6143656,1.0
1764822648.7076664,1.0
1764822648.8004808,1.0
1764822648.893501,1.0
1764822648.9918015,1.0
1764822649.084773,1.0
1764822649.1779149,1.0
1764822649.2721136,1.0
1764822649.3658764,1.0
1764822649.4598663,1.0
1764822649.5528297,1.0
1764822649.6458278,1.0
1764822649.7394493,1.0
1764822649.832655,1.0
1764822649.9231243,1.0
1764822650.0145986,1.0
1764822650.1026604,1.0
1764822650.1900797,1.0
1764822650.2775881,1.0
1764822650.3652518,1.0
1764822650.4527247,1.0
1764822650.540333,1.0
1764822650.627716,1.0
1764822650.7158568,1.0
1764822650.803386,1.0
1764822650.890964,1.0
1764822650.9822397,1.0
1764822651.0700405,1.0
1764822651.1576962,1.0
1764822651.2452285,1.0
1764822651.3329062,1.0
1764822651.4203172,1.0
1764822651.5079122,1.0
1764822651.5953705,1.0
1764822651.6830816,1.0
1764822651.770359,1.0
1764822651.8577685,1.0
1764822651.9455311,1.0
1764822652.03629,1.0
1764822652.124002,1.0
1764822652.2113726,1.0
1764822652.298814,1.0
1764822652.3861256,1.0
1764822652.4736948,1.0
1764822652.561065,1.0
1764822652.6484447,1.0
1764822652.7359848,1.0
1764822652.823387,1.0
1764822652.9110823,1.0
1764822652.9986212,1.0
1764822653.0871599,1.0
1764822653.1744518,1.0
1764822653.2618756,1.0
1764822653.349284,1.0
1764822653.4365792,1.0
1764822653.5241523,1.0
1764822653.6134913,1.0
1764822653.702564,1.0
1764822653.7908735,1.0
1764822653.879303,1.0
1764822653.9669993,1.0
1764822654.0583534,1.0
1764822654.145653,1.0
1764822654.2335398,1.0
1764822654.3211937,1.0
1764822654.4113007,1.0
1764822654.498529,1.0
1764822654.586075,1.0
1764822654.673635,1.0
1764822654.7636063,1.0
1764822654.8513496,1.0
1764822654.939558,1.0
1764822655.0268877,1.0
1764822655.1143131,1.0
1764822655.2015347,1.0
1764822655.288981,1.0
1764822655.3762987,1.0
1764822655.463783,1.0
1764822655.5513344,1.0
1764822655.6384346,1.0
1764822655.7259886,1.0
1764822655.8134181,1.0
1764822655.9010344,1.0
1764822655.988676,1.0
1764822656.08033,1.0
1764822656.1687856,1.0
1764822656.2566943,1.0
1764822656.3446047,1.0
1764822656.4326222,1.0
1764822656.5242717,1.0
1764822656.6116362,1.0
1764822656.7005897,1.0
1764822656.7888424,1.0
1764822656.876727,1.0
1764822656.9646583,1.0
1764822657.0526438,1.0
1764822657.14052,1.0
1764822657.2283292,1.0
1764822657.3161256,1.0
1764822657.4041483,1.0
1764822657.4921148,1.0
1764822657.5801861,1.0
1764822657.6684177,1.0
1764822657.756689,1.0
1764822657.844134,1.0
1764822657.9320557,1.0
1764822658.019805,1.0
1764822658.107904,1.0
1764822658.1958933,1.0
1764822658.283682,1.0
1764822658.3715568,1.0
1764822658.459421,1.0
1764822658.5472043,1.0
1764822658.6349237,1.0
1764822658.7227302,1.0
1764822658.8104482,1.0
1764822658.8996632,1.0
1764822658.9873743,1.0
1764822659.0750728,1.0
1764822659.162988,1.0
1764822659.2509296,1.0
1764822659.3386018,1.0
1764822659.4262545,1.0
1764822659.5139248,1.0
1764822659.6017947,1.0
1764822659.6898696,1.0
1764822659.7777665,1.0
1764822659.8656216,1.0
1764822659.9534545,1.0
1764822660.0412989,1.0
1764822660.129153,1.0
1764822660.2170696,1.0
1764822660.3048692,1.0
1764822660.3931854,1.0
1764822660.481084,1.0
1764822660.5688417,1.0
1764822660.6568067,1.0
1764822660.744638,1.0
1764822660.8324277,1.0
1764822660.9201214,1.0
1764822661.007935,1.0
1764822661.0958009,1.0
1764822661.1838028,1.0
1764822661.271885,1.0
1764822661.359729,1.0
1764822661.4472966,1.0
1764822661.5351408,1.0
1764822661.622944,1.0
1764822661.7107513,1.0
1764822661.7984757,1.0
1764822661.886268,1.0
1764822661.9743078,1.0
1764822662.0619874,1.0
1764822662.1501017,1.0
1764822662.2377918,1.0
1764822662.3257296,1.0
1764822662.413485,1.0
1764822662.5011654,1.0
1764822662.5889854,1.0
1764822662.6768053,1.0
1764822662.7647412,1.0
1764822662.8525584,1.0
1764822662.940625,1.0
1764822663.0283697,1.0
1764822663.1160753,1.0
1764822663.2037668,1.0
1764822663.291559,1.0
1764822663.3792684,1.0
1764822663.467021,1.0
1764822663.5548875,1.0
1764822663.642657,1.0
1764822663.730537,1.0
1764822663.8181486,1.0
1764822663.9055521,1.0
1764822663.993228,1.0
1764822664.0809743,1.0
1764822664.168787,1.0
1764822664.2564793,1.0
1764822664.344256,1.0
1764822664.4321034,1.0
1764822664.5197155,1.0
1764822664.6071787,1.0
1764822664.694919,1.0
1764822664.7827652,1.0
1764822664.8703563,1.0
1764822664.9584208,1.0
1764822665.0462167,1.0
1764822665.1339755,1.0
1764822665.2216175,1.0
1764822665.3096066,1.0
1764822665.3971307,1.0
1764822665.4846377,1.0
1764822665.5722866,1.0
1764822665.6600482,1.0
1764822665.7477584,1.0
1764822665.8355145,1.0
1764822665.9233146,1.0
1764822666.011221,1.0
1764822666.0990279,1.0
1764822666.1868534,1.0
1764822666.2746258,1.0
1764822666.3622284,1.0
1764822666.450136,1.0
1764822666.5382104,1.0
1764822666.6260374,1.0
1764822666.7136924,1.0
1764822666.8014,1.0
1764822666.889397,1.0
1764822666.9773724,1.0
1764822667.0649798,1.0
1764822667.1526725,1.0
1764822667.240484,1.0
1764822667.3281882,1.0
1764822667.4160714,1.0
1764822667.5038269,1.0
1764822667.5916898,1.0
1764822667.6793935,1.0
1764822667.7671542,1.0
