time,scope,value
1771181807.7283406,0,41157922.72399902
1771181807.7283406,1,41157922.72399902
1771181808.728339,0,41158064.37463379
1771181808.728339,1,41158064.37463379
1771181809.728353,0,41158185.675476074
1771181809.728353,1,41158185.675476074
1771181810.7283463,0,41158263.32495117
1771181810.7283463,1,41158263.408325195
1771181811.728336,0,41158386.55645752
1771181811.728336,1,41158386.55645752
1771181812.7283382,0,41158527.38519287
1771181812.7283382,1,41158527.38519287
1771181813.7283347,0,41158668.09057617
1771181813.7283347,1,41158668.20465088
1771181814.728335,0,41158808.95489502
1771181814.728335,1,41158808.95489502
1771181815.7283385,0,41158949.36114502
1771181815.7283385,1,41158949.51348877
1771181816.7283347,0,41159090.85296631
1771181816.7283347,1,41159090.85296631
1771181817.7283351,0,41159231.91015625
1771181817.7283351,1,41159231.91015625
1771181818.728333,0,41159372.58404541
1771181818.728333,1,41159372.58404541
1771181819.7283344,0,41159513.17767334
1771181819.7283344,1,41159513.296691895
1771181820.7283385,0,41159654.335632324
1771181820.7283385,1,41159654.335632324
1771181821.728333,0,41159795.17468262
1771181821.728333,1,41159795.17468262
1771181822.7283359,0,41159936.48474121
1771181822.7283359,1,41159936.48474121
1771181823.7283387,0,41160077.50872803
1771181823.7283387,1,41160077.50872803
1771181824.7283347,0,41160218.62036133
1771181824.7283347,1,41160218.62036133
1771181825.7283382,0,41160359.4553833
1771181825.7283382,1,41160359.59454346
1771181826.728335,0,41160500.565979004
1771181826.728335,1,41160500.71350098
1771181827.7283366,0,41160641.583984375
1771181827.7283366,1,41160641.583984375
1771181828.7283392,0,41160782.354003906
1771181828.7283392,1,41160782.354003906
1771181829.7283342,0,41160923.21826172
1771181829.7283342,1,41160923.21826172
1771181830.7283366,0,41161064.0791626
1771181830.7283366,1,41161064.0791626
1771181831.7283387,0,41161205.65222168
1771181831.7283387,1,41161205.65222168
1771181832.7283366,0,41161346.80480957
1771181832.7283366,1,41161346.80480957
1771181833.7283387,0,41161488.09729004
1771181833.7283387,1,41161488.09729004
1771181834.7283316,0,41161629.15155029
1771181834.7283316,1,41161629.15155029
1771181835.728333,0,41161770.15112305
1771181835.728333,1,41161770.15112305
1771181836.7283337,0,41161911.00091553
1771181836.7283337,1,41161911.00091553
1771181837.7283297,0,41162052.05670166
1771181837.7283297,1,41162052.05670166
1771181838.7283323,0,41162193.199035645
1771181838.7283323,1,41162193.199035645
1771181839.7283356,0,41162334.12390137
1771181839.7283356,1,41162334.12390137
1771181840.7283309,0,41162475.36810303
1771181840.7283309,1,41162475.36810303
1771181841.728335,0,41162616.6071167
1771181841.728335,1,41162616.6071167
1771181842.728335,0,41162757.898376465
1771181842.728335,1,41162757.898376465
1771181843.7283328,0,41162899.388305664
1771181843.7283328,1,41162899.388305664
1771181844.7283354,0,41163040.86584473
1771181844.7283354,1,41163040.86584473
1771181845.7283328,0,41163182.06726074
1771181845.7283328,1,41163182.06726074
1771181846.728331,0,41163323.07092285
1771181846.728331,1,41163323.23773193
1771181847.7283347,0,41163464.4151001
1771181847.7283347,1,41163464.4151001
1771181848.7283342,0,41163605.629089355
1771181848.7283342,1,41163605.629089355
1771181849.7283354,0,41163746.61065674
1771181849.7283354,1,41163746.61065674
1771181850.728336,0,41163887.42681885
1771181850.728336,1,41163887.42681885
1771181851.7283366,0,41164027.94067383
1771181851.7283366,1,41164027.94067383
1771181852.7283325,0,41164169.1237793
1771181852.7283325,1,41164169.1237793
1771181853.728332,0,41164310.34631348
1771181853.728332,1,41164310.34631348
1771181854.7283359,0,41164451.66278076
1771181854.7283359,1,41164451.66278076
1771181855.7283366,0,41164592.59674072
1771181855.7283366,1,41164592.59674072
1771181856.7283342,0,41164733.767700195
1771181856.7283342,1,41164733.767700195
1771181857.728336,0,41164874.68511963
1771181857.728336,1,41164874.68511963
1771181858.7283332,0,41165015.50164795
1771181858.7283332,1,41165015.50164795
1771181859.728332,0,41165156.33477783
1771181859.728332,1,41165156.33477783
1771181860.7283337,0,41165297.44250488
1771181860.7283337,1,41165297.44250488
1771181861.7283328,0,41165438.748291016
1771181861.7283328,1,41165438.83905029
1771181862.7283351,0,41165579.63671875
1771181862.7283351,1,41165579.63671875
1771181863.7283328,0,41165720.73376465
1771181863.7283328,1,41165720.73376465
1771181864.7283418,0,41165861.73730469
1771181864.7283418,1,41165861.73730469
1771181865.728333,0,41166002.741882324
1771181865.728333,1,41166002.741882324
1771181866.7283394,0,41166144.02624512
1771181866.7283394,1,41166144.02624512
1771181867.7283363,0,41166284.81530762
1771181867.7283363,1,41166284.81530762
1771181868.7283342,0,41166426.208984375
1771181868.7283342,1,41166426.208984375
1771181869.7283325,0,41166567.24859619
1771181869.7283325,1,41166567.24859619
1771181870.728333,0,41166708.19445801
1771181870.728333,1,41166708.19445801
1771181871.7283366,0,41166848.89227295
1771181871.7283366,1,41166849.1081543
1771181872.7283378,0,41166989.869506836
1771181872.7283378,1,41166989.98693848
1771181873.7283342,0,41167129.68280029
1771181873.7283342,1,41167129.68280029
1771181874.7283378,0,41167268.71862793
1771181874.7283378,1,41167268.71862793
