time,scope,value
1771182021.3504808,nrm.extra.perf.PAPI_L3_TCA.312487,460040800.0
1771182021.3504808,nrm.extra.perf.PAPI_TOT_INS.312487,149303952309.0
1771182021.3504808,nrm.extra.perf.PAPI_TOT_CYC.312487,257160905568.0
1771182021.3504808,nrm.extra.perf.PAPI_RES_STL.312487,126714475982.0
1771182021.3504808,nrm.extra.perf.PAPI_L3_TCM.312487,37844143.0
1771182022.3484058,nrm.extra.perf.PAPI_L3_TCA.312487,963251674.0
1771182022.3484058,nrm.extra.perf.PAPI_TOT_INS.312487,311419288157.0
1771182022.3484058,nrm.extra.perf.PAPI_TOT_CYC.312487,528344767956.0
1771182022.3484058,nrm.extra.perf.PAPI_RES_STL.312487,264910817155.0
1771182022.3484058,nrm.extra.perf.PAPI_L3_TCM.312487,80395418.0
1771182023.348662,nrm.extra.perf.PAPI_L3_TCA.312487,1367736107.0
1771182023.348662,nrm.extra.perf.PAPI_TOT_INS.312487,442360082527.0
1771182023.348662,nrm.extra.perf.PAPI_TOT_CYC.312487,746976605203.0
1771182023.348662,nrm.extra.perf.PAPI_RES_STL.312487,375641377183.0
1771182023.348662,nrm.extra.perf.PAPI_L3_TCM.312487,114610443.0
1771182024.3489623,nrm.extra.perf.PAPI_L3_TCA.312487,1728402000.0
1771182024.3489623,nrm.extra.perf.PAPI_TOT_INS.312487,558987932356.0
1771182024.3489623,nrm.extra.perf.PAPI_TOT_CYC.312487,943021458232.0
1771182024.3489623,nrm.extra.perf.PAPI_RES_STL.312487,474317131070.0
1771182024.3489623,nrm.extra.perf.PAPI_L3_TCM.312487,145892877.0
1771182025.3504107,nrm.extra.perf.PAPI_L3_TCA.312487,2233423383.0
1771182025.3504107,nrm.extra.perf.PAPI_TOT_INS.312487,721945807827.0
1771182025.3504107,nrm.extra.perf.PAPI_TOT_CYC.312487,1215204872243.0
1771182025.3504107,nrm.extra.perf.PAPI_RES_STL.312487,612832625043.0
1771182025.3504107,nrm.extra.perf.PAPI_L3_TCM.312487,189344756.0
1771182026.3484395,nrm.extra.perf.PAPI_L3_TCA.312487,2738985007.0
1771182026.3484395,nrm.extra.perf.PAPI_TOT_INS.312487,885019193452.0
1771182026.3484395,nrm.extra.perf.PAPI_TOT_CYC.312487,1486574617921.0
1771182026.3484395,nrm.extra.perf.PAPI_RES_STL.312487,751115631258.0
1771182026.3484395,nrm.extra.perf.PAPI_L3_TCM.312487,232776238.0
1771182027.3486626,nrm.extra.perf.PAPI_L3_TCA.312487,3245595747.0
1771182027.3486626,nrm.extra.perf.PAPI_TOT_INS.312487,1048548797877.0
1771182027.3486626,nrm.extra.perf.PAPI_TOT_CYC.312487,1758274558647.0
1771182027.3486626,nrm.extra.perf.PAPI_RES_STL.312487,890121722578.0
1771182027.3486626,nrm.extra.perf.PAPI_L3_TCM.312487,275850031.0
1771182028.3488922,nrm.extra.perf.PAPI_L3_TCA.312487,3752438925.0
1771182028.3488922,nrm.extra.perf.PAPI_TOT_INS.312487,1211924554860.0
1771182028.3488922,nrm.extra.perf.PAPI_TOT_CYC.312487,2029934867006.0
1771182028.3488922,nrm.extra.perf.PAPI_RES_STL.312487,1029055568895.0
1771182028.3488922,nrm.extra.perf.PAPI_L3_TCM.312487,319456181.0
1771182029.3492074,nrm.extra.perf.PAPI_L3_TCA.312487,4260362036.0
1771182029.3492074,nrm.extra.perf.PAPI_TOT_INS.312487,1375700285673.0
1771182029.3492074,nrm.extra.perf.PAPI_TOT_CYC.312487,2301567576581.0
1771182029.3492074,nrm.extra.perf.PAPI_RES_STL.312487,1167911298555.0
1771182029.3492074,nrm.extra.perf.PAPI_L3_TCM.312487,362907102.0
1771182030.348425,nrm.extra.perf.PAPI_L3_TCA.312487,4765355134.0
1771182030.348425,nrm.extra.perf.PAPI_TOT_INS.312487,1538486301806.0
1771182030.348425,nrm.extra.perf.PAPI_TOT_CYC.312487,2572863180515.0
1771182030.348425,nrm.extra.perf.PAPI_RES_STL.312487,1306402101076.0
1771182030.348425,nrm.extra.perf.PAPI_L3_TCM.312487,406264825.0
1771182031.3486836,nrm.extra.perf.PAPI_L3_TCA.312487,5272078942.0
1771182031.3486836,nrm.extra.perf.PAPI_TOT_INS.312487,1701847888132.0
1771182031.3486836,nrm.extra.perf.PAPI_TOT_CYC.312487,2844292820050.0
1771182031.3486836,nrm.extra.perf.PAPI_RES_STL.312487,1445108910819.0
1771182031.3486836,nrm.extra.perf.PAPI_L3_TCM.312487,449691585.0
1771182032.3484354,nrm.extra.perf.PAPI_L3_TCA.312487,5779049574.0
1771182032.3484354,nrm.extra.perf.PAPI_TOT_INS.312487,1865296671014.0
1771182032.3484354,nrm.extra.perf.PAPI_TOT_CYC.312487,3115717531662.0
1771182032.3484354,nrm.extra.perf.PAPI_RES_STL.312487,1583839898731.0
1771182032.3484354,nrm.extra.perf.PAPI_L3_TCM.312487,493059279.0
1771182033.3486345,nrm.extra.perf.PAPI_L3_TCA.312487,6285850987.0
1771182033.3486345,nrm.extra.perf.PAPI_TOT_INS.312487,2028827508227.0
1771182033.3486345,nrm.extra.perf.PAPI_TOT_CYC.312487,3387004475102.0
1771182033.3486345,nrm.extra.perf.PAPI_RES_STL.312487,1722810880748.0
1771182033.3486345,nrm.extra.perf.PAPI_L3_TCM.312487,536102376.0
1771182034.348827,nrm.extra.perf.PAPI_L3_TCA.312487,6792796656.0
1771182034.348827,nrm.extra.perf.PAPI_TOT_INS.312487,2192228687607.0
1771182034.348827,nrm.extra.perf.PAPI_TOT_CYC.312487,3658627306975.0
1771182034.348827,nrm.extra.perf.PAPI_RES_STL.312487,1861862341771.0
1771182034.348827,nrm.extra.perf.PAPI_L3_TCM.312487,579473276.0
1771182035.3484318,nrm.extra.perf.PAPI_L3_TCA.312487,7299480877.0
1771182035.3484318,nrm.extra.perf.PAPI_TOT_INS.312487,2355574533767.0
1771182035.3484318,nrm.extra.perf.PAPI_TOT_CYC.312487,3930045839322.0
