time,value
1764968716.032942,1.0
1764968716.0831027,1.0
1764968716.1331475,1.0
1764968716.1834505,1.0
1764968716.2332268,1.0
1764968716.2835152,1.0
1764968716.333924,1.0
1764968716.3848317,1.0
1764968716.4348817,1.0
1764968716.485145,1.0
1764968716.5352995,1.0
1764968716.5853739,1.0
1764968716.6358893,1.0
1764968716.6871502,1.0
1764968716.7383318,1.0
1764968716.7886207,1.0
1764968716.8392224,1.0
1764968716.8901234,1.0
1764968716.9401705,1.0
1764968716.990316,1.0
1764968717.0404365,1.0
1764968717.0918763,1.0
1764968717.1428099,1.0
1764968717.1939309,1.0
1764968717.2455466,1.0
1764968717.2962532,1.0
1764968717.3477707,1.0
1764968717.3988347,1.0
1764968717.450192,1.0
1764968717.5018306,1.0
1764968717.5537913,1.0
1764968717.605055,1.0
1764968717.6562283,1.0
1764968717.7074986,1.0
1764968717.7584052,1.0
1764968717.8398776,1.0
1764968717.9294055,1.0
1764968718.0166543,1.0
1764968718.1018748,1.0
1764968718.1871884,1.0
1764968718.2720163,1.0
1764968718.3572702,1.0
1764968718.4416738,1.0
1764968718.5268834,1.0
1764968718.613254,1.0
1764968718.6978035,1.0
1764968718.782615,1.0
1764968718.8677075,1.0
1764968718.9522228,1.0
1764968719.0366614,1.0
1764968719.1212144,1.0
1764968719.2052102,1.0
1764968719.2895918,1.0
1764968719.3736634,1.0
1764968719.458137,1.0
1764968719.5431693,1.0
1764968719.6281388,1.0
1764968719.7127435,1.0
1764968719.7929008,1.0
1764968719.846228,1.0
1764968719.9002016,1.0
1764968719.9532595,1.0
1764968720.0064628,1.0
1764968720.0595746,1.0
1764968720.1129498,1.0
1764968720.166214,1.0
1764968720.2195463,1.0
1764968720.2731504,1.0
1764968720.3265731,1.0
1764968720.380122,1.0
1764968720.4334772,1.0
1764968720.4875464,1.0
1764968720.541713,1.0
1764968720.5952291,1.0
1764968720.6490343,1.0
1764968720.7028587,1.0
1764968720.7746258,1.0
1764968720.8268898,1.0
1764968720.8804832,1.0
1764968720.9336784,1.0
1764968720.9872105,1.0
1764968721.0408566,1.0
1764968721.0941658,1.0
1764968721.1480322,1.0
1764968721.2012944,1.0
1764968721.2545543,1.0
1764968721.3078973,1.0
1764968721.3611946,1.0
1764968721.4147942,1.0
1764968721.4676108,1.0
1764968721.5208714,1.0
1764968721.5743458,1.0
1764968721.6279001,1.0
1764968721.681592,1.0
1764968721.734924,1.0
1764968721.8023648,1.0
1764968721.8604803,1.0
1764968721.9144835,1.0
1764968721.9758265,1.0
1764968722.0355256,1.0
1764968722.0890017,1.0
1764968722.148565,1.0
1764968722.2074707,1.0
1764968722.260981,1.0
1764968722.3146286,1.0
1764968722.3678174,1.0
1764968722.4208758,1.0
1764968722.4741998,1.0
1764968722.5271597,1.0
1764968722.5807965,1.0
1764968722.634037,1.0
1764968722.6876369,1.0
1764968722.7411158,1.0
1764968722.7943237,1.0
1764968722.847392,1.0
1764968722.9003534,1.0
1764968722.9532688,1.0
1764968723.0067387,1.0
1764968723.0599961,1.0
1764968723.1128864,1.0
1764968723.1665368,1.0
1764968723.2199144,1.0
1764968723.2731197,1.0
1764968723.326656,1.0
1764968723.3796966,1.0
1764968723.43289,1.0
1764968723.486221,1.0
1764968723.5394502,1.0
1764968723.5926807,1.0
1764968723.6461742,1.0
1764968723.6993368,1.0
1764968723.752571,1.0
1764968723.8059454,1.0
1764968723.8594398,1.0
1764968723.9129364,1.0
1764968723.9660943,1.0
1764968724.019525,1.0
1764968724.0722122,1.0
1764968724.1252127,1.0
1764968724.1786342,1.0
1764968724.2322202,1.0
1764968724.28731,1.0
1764968724.3407211,1.0
1764968724.393979,1.0
1764968724.447295,1.0
1764968724.5005841,1.0
1764968724.5543385,1.0
1764968724.607381,1.0
1764968724.6605372,1.0
1764968724.7136922,1.0
1764968724.766858,1.0
1764968724.82034,1.0
1764968724.8752089,1.0
1764968724.9280314,1.0
1764968724.9815443,1.0
1764968725.0349867,1.0
1764968725.0981443,1.0
1764968725.1606,1.0
1764968725.2131789,1.0
1764968725.2658038,1.0
1764968725.3182447,1.0
1764968725.3977227,1.0
1764968725.45208,1.0
1764968725.5065837,1.0
1764968725.5611267,1.0
1764968725.6233354,1.0
1764968725.6826787,1.0
1764968725.7369359,1.0
1764968725.791172,1.0
1764968725.8544,1.0
1764968725.911975,1.0
1764968725.9659564,1.0
1764968726.020519,1.0
1764968726.0815403,1.0
1764968726.1388144,1.0
1764968726.1937296,1.0
1764968726.2479277,1.0
1764968726.3022718,1.0
1764968726.3565435,1.0
1764968726.411057,1.0
1764968726.480489,1.0
1764968726.5330596,1.0
1764968726.5874553,1.0
1764968726.6420054,1.0
1764968726.6963043,1.0
1764968726.7644775,1.0
1764968726.828498,1.0
1764968726.880638,1.0
1764968726.933815,1.0
1764968726.9865787,1.0
1764968727.0391073,1.0
1764968727.0914335,1.0
1764968727.1439607,1.0
1764968727.1966183,1.0
1764968727.2496972,1.0
1764968727.302606,1.0
1764968727.3550053,1.0
1764968727.4074023,1.0
1764968727.460215,1.0
1764968727.5129697,1.0
1764968727.5656013,1.0
1764968727.618346,1.0
1764968727.6706672,1.0
1764968727.723211,1.0
1764968727.775955,1.0
1764968727.8288617,1.0
1764968727.8817062,1.0
1764968727.934392,1.0
1764968727.9873898,1.0
1764968728.040043,1.0
1764968728.0926342,1.0
1764968728.1450176,1.0
1764968728.1977472,1.0
1764968728.2502737,1.0
1764968728.3032744,1.0
1764968728.3554945,1.0
1764968728.4084747,1.0
1764968728.464632,1.0
1764968728.5224197,1.0
1764968728.5751538,1.0
1764968728.6274312,1.0
1764968728.679875,1.0
1764968728.7324364,1.0
1764968728.7847333,1.0
1764968728.837395,1.0
1764968728.8902154,1.0
1764968728.9425035,1.0
1764968728.9947135,1.0
1764968729.0473769,1.0
1764968729.1000168,1.0
1764968729.1532295,1.0
1764968729.2069254,1.0
1764968729.2608507,1.0
1764968729.315011,1.0
1764968729.3692536,1.0
1764968729.422526,1.0
1764968729.4756837,1.0
1764968729.5288572,1.0
1764968729.582027,1.0
1764968729.6349878,1.0
1764968729.6881602,1.0
1764968729.7422023,1.0
1764968729.795902,1.0
1764968729.8492413,1.0
1764968729.9030976,1.0
1764968729.9568288,1.0
1764968730.0105603,1.0
1764968730.0644429,1.0
1764968730.117964,1.0
1764968730.1740556,1.0
1764968730.2341113,1.0
1764968730.2879734,1.0
1764968730.3418217,1.0
1764968730.3956635,1.0
1764968730.4492815,1.0
1764968730.502988,1.0
1764968730.5563102,1.0
1764968730.6100342,1.0
1764968730.6634996,1.0
1764968730.717396,1.0
1764968730.770941,1.0
1764968730.8247554,1.0
1764968730.8784187,1.0
1764968730.9325407,1.0
1764968730.9864671,1.0
1764968731.040652,1.0
1764968731.094887,1.0
1764968731.1487792,1.0
1764968731.2025604,1.0
1764968731.256917,1.0
1764968731.31135,1.0
1764968731.365522,1.0
1764968731.4198349,1.0
1764968731.4742014,1.0
1764968731.5283267,1.0
1764968731.5824182,1.0
1764968731.6369514,1.0
1764968731.691566,1.0
1764968731.746748,1.0
1764968731.802127,1.0
1764968731.8655007,1.0
1764968731.9261966,1.0
1764968731.9837558,1.0
1764968732.0416195,1.0
1764968732.0996804,1.0
1764968732.15837,1.0
1764968732.2175643,1.0
1764968732.2769847,1.0
1764968732.3387218,1.0
1764968732.399194,1.0
1764968732.4598546,1.0
1764968732.520185,1.0
1764968732.5808606,1.0
1764968732.6417813,1.0
1764968732.7022204,1.0
1764968732.762273,1.0
1764968732.82244,1.0
1764968732.882829,1.0
1764968732.942952,1.0
1764968733.0036023,1.0
1764968733.064012,1.0
1764968733.1238751,1.0
1764968733.183758,1.0
1764968733.2439857,1.0
1764968733.3047273,1.0
1764968733.365158,1.0
1764968733.4257617,1.0
1764968733.48599,1.0
1764968733.5464523,1.0
1764968733.6065607,1.0
1764968733.6663437,1.0
1764968733.726555,1.0
1764968733.786305,1.0
1764968733.8458912,1.0
1764968733.9058802,1.0
1764968733.965878,1.0
1764968734.025952,1.0
1764968734.0858862,1.0
1764968734.1456087,1.0
1764968734.2057006,1.0
1764968734.2653315,1.0
1764968734.324961,1.0
1764968734.3852425,1.0
1764968734.4451993,1.0
1764968734.5054762,1.0
1764968734.5652304,1.0
1764968734.6255264,1.0
1764968734.6856103,1.0
1764968734.745475,1.0
1764968734.8051705,1.0
1764968734.8651657,1.0
1764968734.925692,1.0
1764968734.985409,1.0
1764968735.046012,1.0
1764968735.106343,1.0
1764968735.1664128,1.0
1764968735.2263525,1.0
1764968735.2865753,1.0
1764968735.3467088,1.0
1764968735.4073844,1.0
1764968735.467251,1.0
1764968735.5284142,1.0
1764968735.5894632,1.0
1764968735.6498199,1.0
1764968735.7103593,1.0
1764968735.7703617,1.0
1764968735.8332746,1.0
1764968735.8933356,1.0
1764968735.9533048,1.0
1764968736.0132725,1.0
1764968736.0737154,1.0
1764968736.133514,1.0
1764968736.193177,1.0
1764968736.253403,1.0
1764968736.312783,1.0
1764968736.3724582,1.0
1764968736.4329064,1.0
1764968736.4924533,1.0
1764968736.5518806,1.0
1764968736.611411,1.0
1764968736.6708543,1.0
1764968736.7302516,1.0
1764968736.7899559,1.0
1764968736.8495114,1.0
1764968736.9092941,1.0
1764968736.969146,1.0
1764968737.0286558,1.0
1764968737.0876422,1.0
1764968737.146987,1.0
1764968737.206358,1.0
1764968737.265786,1.0
1764968737.3248127,1.0
1764968737.3841634,1.0
1764968737.4434335,1.0
1764968737.5028377,1.0
1764968737.5629084,1.0
1764968737.622172,1.0
1764968737.6814353,1.0
1764968737.7409925,1.0
1764968737.8005457,1.0
1764968737.8600624,1.0
1764968737.9191604,1.0
1764968737.9784243,1.0
1764968738.0379796,1.0
1764968738.0969188,1.0
1764968738.1564019,1.0
1764968738.2156172,1.0
1764968738.2750137,1.0
1764968738.3339684,1.0
1764968738.3930163,1.0
1764968738.4540858,1.0
1764968738.5132904,1.0
1764968738.5728831,1.0
1764968738.6327467,1.0
1764968738.6930554,1.0
1764968738.7523553,1.0
1764968738.8117297,1.0
1764968738.8715289,1.0
1764968738.9312563,1.0
1764968738.9911065,1.0
1764968739.0507488,1.0
1764968739.1099198,1.0
1764968739.1687496,1.0
1764968739.2278626,1.0
1764968739.2866218,1.0
1764968739.3458483,1.0
1764968739.404495,1.0
1764968739.4639387,1.0
1764968739.5229802,1.0
1764968739.5818744,1.0
1764968739.6403239,1.0
1764968739.6995065,1.0
1764968739.7580328,1.0
1764968739.8167229,1.0
1764968739.8754635,1.0
1764968739.934357,1.0
1764968739.9932792,1.0
1764968740.0523689,1.0
1764968740.1110446,1.0
1764968740.169805,1.0
1764968740.228721,1.0
1764968740.2870562,1.0
1764968740.3457832,1.0
1764968740.4046226,1.0
1764968740.463296,1.0
1764968740.521565,1.0
1764968740.5801837,1.0
1764968740.6389494,1.0
1764968740.6973197,1.0
1764968740.755995,1.0
1764968740.8144536,1.0
1764968740.8728704,1.0
1764968740.931621,1.0
1764968740.990792,1.0
1764968741.0497549,1.0
1764968741.1084514,1.0
1764968741.1669934,1.0
1764968741.2257106,1.0
1764968741.2839391,1.0
1764968741.3427699,1.0
1764968741.4015534,1.0
1764968741.4606311,1.0
1764968741.518729,1.0
1764968741.5775836,1.0
1764968741.636033,1.0
1764968741.6949427,1.0
1764968741.7532952,1.0
1764968741.811533,1.0
1764968741.8706918,1.0
1764968741.928867,1.0
1764968741.987544,1.0
1764968742.045616,1.0
1764968742.1048093,1.0
1764968742.163783,1.0
1764968742.2220824,1.0
1764968742.2800686,1.0
1764968742.3380327,1.0
1764968742.3969557,1.0
1764968742.4552846,1.0
1764968742.5138714,1.0
1764968742.5719705,1.0
1764968742.630322,1.0
1764968742.6889102,1.0
1764968742.7473848,1.0
1764968742.8053672,1.0
1764968742.8635762,1.0
1764968742.9220643,1.0
1764968742.980616,1.0
1764968743.03946,1.0
1764968743.0973437,1.0
1764968743.1556208,1.0
1764968743.2143118,1.0
1764968743.2726758,1.0
1764968743.3314486,1.0
1764968743.3893788,1.0
1764968743.4478683,1.0
1764968743.506223,1.0
1764968743.5644019,1.0
1764968743.6228895,1.0
1764968743.6811333,1.0
1764968743.7392335,1.0
1764968743.7977347,1.0
1764968743.856311,1.0
1764968743.9143066,1.0
1764968743.9721587,1.0
1764968744.0310204,1.0
1764968744.0898097,1.0
1764968744.148196,1.0
1764968744.2065656,1.0
1764968744.2648609,1.0
1764968744.323287,1.0
1764968744.3813057,1.0
1764968744.439349,1.0
1764968744.4970455,1.0
1764968744.5552824,1.0
1764968744.6135938,1.0
1764968744.6719499,1.0
1764968744.730496,1.0
1764968744.788234,1.0
1764968744.8465052,1.0
1764968744.8465505,0.0
