time,scope,value
1771207584.72837,0,43263127.92706299
1771207584.72837,1,43263128.29058838
1771207585.7283485,0,43263296.08453369
1771207585.7283485,1,43263296.08453369
1771207586.7284029,0,43263417.69219971
1771207586.7284029,1,43263417.69219971
1771207587.728405,0,43263495.656433105
1771207587.728405,1,43263495.656433105
1771207588.728384,0,43263573.369384766
1771207588.728384,1,43263573.369384766
1771207589.7283769,0,43263650.965270996
1771207589.7283769,1,43263650.965270996
1771207590.7285013,0,43263728.80023193
1771207590.7285013,1,43263728.87384033
1771207591.7283971,0,43263806.65789795
1771207591.7283971,1,43263806.74481201
1771207592.7283993,0,43263884.42468262
1771207592.7283993,1,43263884.57659912
1771207593.7283778,0,43263962.27496338
1771207593.7283778,1,43263962.27496338
1771207594.7283957,0,43264039.976135254
1771207594.7283957,1,43264039.976135254
1771207595.7283907,0,43264117.71044922
1771207595.7283907,1,43264117.88360596
1771207596.7283328,0,43264195.28778076
1771207596.7283328,1,43264195.28778076
1771207597.728392,0,43264273.27746582
1771207597.728392,1,43264273.37536621
1771207598.728365,0,43264351.08300781
1771207598.728365,1,43264351.08300781
1771207599.7283943,0,43264428.91656494
1771207599.7283943,1,43264428.91656494
1771207600.7283604,0,43264506.61401367
1771207600.7283604,1,43264506.61401367
1771207601.7283623,0,43264584.200805664
1771207601.7283623,1,43264584.32891846
1771207602.7283394,0,43264662.00701904
1771207602.7283394,1,43264662.00701904
1771207603.728385,0,43264739.96826172
1771207603.728385,1,43264739.96826172
1771207604.7283719,0,43264817.70288086
1771207604.7283719,1,43264817.94012451
1771207605.728377,0,43264895.41595459
1771207605.728377,1,43264895.50152588
1771207606.7283704,0,43264973.237854004
1771207606.7283704,1,43264973.237854004
1771207607.7283533,0,43265050.92364502
1771207607.7283533,1,43265050.92364502
1771207608.7282917,0,43265128.792907715
1771207608.7282917,1,43265128.792907715
1771207609.72836,0,43265206.557128906
1771207609.72836,1,43265206.557128906
1771207610.7283769,0,43265284.20703125
1771207610.7283769,1,43265284.338134766
1771207611.7285228,0,43265362.060424805
1771207611.7285228,1,43265362.131347656
1771207612.7283802,0,43265439.81921387
1771207612.7283802,1,43265439.91516113
1771207613.7283604,0,43265517.57727051
1771207613.7283604,1,43265517.57727051
1771207614.7283738,0,43265595.336364746
1771207614.7283738,1,43265595.336364746
1771207615.7283752,0,43265673.168395996
1771207615.7283752,1,43265673.168395996
1771207616.7285779,0,43265750.93597412
1771207616.7285779,1,43265750.93597412
1771207617.7284827,0,43265828.63934326
1771207617.7284827,1,43265828.713378906
1771207618.7283669,0,43265906.472473145
1771207618.7283669,1,43265906.472473145
1771207619.7283585,0,43265984.19934082
1771207619.7283585,1,43265984.19934082
1771207620.728414,0,43266061.943847656
1771207620.728414,1,43266061.943847656
1771207621.7283642,0,43266139.82165527
1771207621.7283642,1,43266139.82165527
1771207622.728364,0,43266217.60876465
1771207622.728364,1,43266217.60876465
1771207623.728426,0,43266295.209228516
1771207623.728426,1,43266295.3092041
1771207624.7283766,0,43266373.123291016
1771207624.7283766,1,43266373.123291016
1771207625.728384,0,43266450.87609863
1771207625.728384,1,43266450.87609863
1771207626.728513,0,43266528.590270996
1771207626.728513,1,43266528.66296387
1771207627.7284873,0,43266606.40942383
1771207627.7284873,1,43266606.40942383
