time,scope,value
1771209880.225754,nrm.extra.perf.PAPI_L3_TCA.333614,1971899533.0
1771209880.225754,nrm.extra.perf.PAPI_TOT_INS.333614,223985065852.0
1771209880.225754,nrm.extra.perf.PAPI_TOT_CYC.333614,245233426090.0
1771209880.225754,nrm.extra.perf.PAPI_RES_STL.333614,101230123524.0
1771209880.225754,nrm.extra.perf.PAPI_L3_TCM.333614,797009159.0
1771209881.226347,nrm.extra.perf.PAPI_L3_TCA.333614,4112997683.0
1771209881.226347,nrm.extra.perf.PAPI_TOT_INS.333614,475555661509.0
1771209881.226347,nrm.extra.perf.PAPI_TOT_CYC.333614,506896404407.0
1771209881.226347,nrm.extra.perf.PAPI_RES_STL.333614,206629058858.0
1771209881.226347,nrm.extra.perf.PAPI_L3_TCM.333614,1700039801.0
1771209882.225242,nrm.extra.perf.PAPI_L3_TCA.333614,5539890944.0
1771209882.225242,nrm.extra.perf.PAPI_TOT_INS.333614,628297920959.0
1771209882.225242,nrm.extra.perf.PAPI_TOT_CYC.333614,655144926742.0
1771209882.225242,nrm.extra.perf.PAPI_RES_STL.333614,261481037767.0
1771209882.225242,nrm.extra.perf.PAPI_L3_TCM.333614,2267098669.0
1771209883.2282677,nrm.extra.perf.PAPI_L3_TCA.333614,6978931203.0
1771209883.2282677,nrm.extra.perf.PAPI_TOT_INS.333614,784411907542.0
1771209883.2282677,nrm.extra.perf.PAPI_TOT_CYC.333614,804825855159.0
1771209883.2282677,nrm.extra.perf.PAPI_RES_STL.333614,316912673566.0
1771209883.2282677,nrm.extra.perf.PAPI_L3_TCM.333614,2841540178.0
1771209884.2263753,nrm.extra.perf.PAPI_L3_TCA.333614,8367882844.0
1771209884.2263753,nrm.extra.perf.PAPI_TOT_INS.333614,936664687380.0
1771209884.2263753,nrm.extra.perf.PAPI_TOT_CYC.333614,952033582429.0
1771209884.2263753,nrm.extra.perf.PAPI_RES_STL.333614,370375425182.0
1771209884.2263753,nrm.extra.perf.PAPI_L3_TCM.333614,3403893999.0
1771209885.2282789,nrm.extra.perf.PAPI_L3_TCA.333614,9735586919.0
1771209885.2282789,nrm.extra.perf.PAPI_TOT_INS.333614,1085924117555.0
1771209885.2282789,nrm.extra.perf.PAPI_TOT_CYC.333614,1094676534018.0
1771209885.2282789,nrm.extra.perf.PAPI_RES_STL.333614,419831660052.0
1771209885.2282789,nrm.extra.perf.PAPI_L3_TCM.333614,3937919288.0
1771209886.225536,nrm.extra.perf.PAPI_L3_TCA.333614,11176520589.0
1771209886.225536,nrm.extra.perf.PAPI_TOT_INS.333614,1237233789219.0
1771209886.225536,nrm.extra.perf.PAPI_TOT_CYC.333614,1240846325604.0
1771209886.225536,nrm.extra.perf.PAPI_RES_STL.333614,473384131820.0
1771209886.225536,nrm.extra.perf.PAPI_L3_TCM.333614,4499905768.0
1771209887.22675,nrm.extra.perf.PAPI_L3_TCA.333614,12631718693.0
1771209887.22675,nrm.extra.perf.PAPI_TOT_INS.333614,1392042769791.0
1771209887.22675,nrm.extra.perf.PAPI_TOT_CYC.333614,1389763805312.0
1771209887.22675,nrm.extra.perf.PAPI_RES_STL.333614,528599035026.0
1771209887.22675,nrm.extra.perf.PAPI_L3_TCM.333614,5069796069.0
