time,scope,value
1750313437.466509,0,180254.40283203125
1750313437.466509,1,180254.50170898438
1750313438.4667559,0,180401.93212890625
1750313438.4667559,1,180402.04724121094
1750313439.4664967,0,180562.81744384766
1750313439.4664967,1,180562.96026611328
1750313440.4663079,0,180658.7319946289
1750313440.4663079,1,180658.8754272461
1750313441.466922,0,180736.6219482422
1750313441.466922,1,180736.78063964844
1750313442.4666128,0,180866.9132080078
1750313442.4666128,1,180867.0242919922
1750313443.46658,0,181002.5834350586
1750313443.46658,1,181002.70776367188
1750313444.4668384,0,181138.24407958984
1750313444.4668384,1,181138.54754638672
1750313445.4662845,0,181273.68688964844
1750313445.4662845,1,181273.93505859375
1750313446.4662173,0,181409.5274658203
1750313446.4662173,1,181409.65783691406
1750313447.4666958,0,181545.0864868164
1750313447.4666958,1,181545.1805419922
1750313448.4661653,0,181680.73046875
1750313448.4661653,1,181681.03576660156
1750313449.466104,0,181816.21948242188
1750313449.466104,1,181816.33758544922
1750313450.466539,0,181951.8676147461
1750313450.466539,1,181952.30474853516
1750313451.466326,0,182087.46087646484
1750313451.466326,1,182087.60467529297
1750313452.4665086,0,182223.0923461914
1750313452.4665086,1,182223.21166992188
1750313453.4670856,0,182358.88604736328
1750313453.4670856,1,182359.0562133789
1750313454.4669116,0,182494.30877685547
1750313454.4669116,1,182494.60369873047
1750313455.4671001,0,182630.16668701172
1750313455.4671001,1,182630.47314453125
1750313456.4664207,0,182765.4256591797
1750313456.4664207,1,182765.55682373047
1750313457.4664135,0,182901.10760498047
1750313457.4664135,1,182901.2339477539
1750313458.4668257,0,183036.76824951172
1750313458.4668257,1,183037.0020751953
1750313459.4667366,0,183172.3505859375
1750313459.4667366,1,183172.5692138672
1750313460.4670534,0,183307.98651123047
1750313460.4670534,1,183308.16986083984
1750313461.4664848,0,183443.53436279297
1750313461.4664848,1,183443.6430053711
1750313462.4668355,0,183579.24688720703
1750313462.4668355,1,183579.5626220703
1750313463.4662194,0,183714.9535522461
1750313463.4662194,1,183715.2504272461
1750313464.4670968,0,183850.43658447266
1750313464.4670968,1,183850.55889892578
1750313465.4666402,0,183986.0111694336
1750313465.4666402,1,183986.1610107422
1750313466.4666874,0,184121.56817626953
1750313466.4666874,1,184121.81524658203
1750313467.466143,0,184257.1065673828
1750313467.466143,1,184257.35223388672
1750313468.466575,0,184393.00189208984
1750313468.466575,1,184393.13159179688
1750313469.466372,0,184528.4697265625
1750313469.466372,1,184528.55053710938
1750313470.4670453,0,184663.95672607422
1750313470.4670453,1,184664.1719970703
1750313471.4670675,0,184799.62280273438
1750313471.4670675,1,184799.7198486328
1750313472.4666915,0,184935.2847290039
1750313472.4666915,1,184935.42510986328
1750313473.4669082,0,185070.87481689453
1750313473.4669082,1,185070.98028564453
1750313474.4670193,0,185206.6019897461
1750313474.4670193,1,185206.88525390625
1750313475.4661198,0,185341.9341430664
1750313475.4661198,1,185342.38122558594
1750313476.466593,0,185477.6553955078
1750313476.466593,1,185477.77587890625
1750313477.466379,0,185613.1849975586
1750313477.466379,1,185613.43145751953
1750313478.4670298,0,185748.9331665039
1750313478.4670298,1,185749.04370117188
1750313479.46692,0,185884.49774169922
1750313479.46692,1,185884.62744140625
1750313480.4664834,0,186020.17504882812
1750313480.4664834,1,186020.29791259766
1750313481.4665976,0,186155.72680664062
1750313481.4665976,1,186155.95825195312
1750313482.466448,0,186291.29296875
1750313482.466448,1,186291.5467529297
1750313483.4665108,0,186426.9033203125
1750313483.4665108,1,186427.1514892578
1750313484.466291,0,186562.51239013672
1750313484.466291,1,186562.6390991211
1750313485.4663548,0,186698.2518310547
1750313485.4663548,1,186698.43145751953
1750313486.4664576,0,186833.82568359375
1750313486.4664576,1,186833.94207763672
1750313487.4666848,0,186969.26037597656
1750313487.4666848,1,186969.5164794922
1750313488.4665744,0,187104.8930053711
1750313488.4665744,1,187105.02740478516
1750313489.4670095,0,187240.54125976562
1750313489.4670095,1,187240.66583251953
1750313490.4670336,0,187376.3406982422
1750313490.4670336,1,187376.55859375
1750313491.4661098,0,187511.73858642578
1750313491.4661098,1,187511.86407470703
1750313492.4661534,0,187647.25360107422
1750313492.4661534,1,187647.3724975586
1750313493.4669085,0,187782.9379272461
1750313493.4669085,1,187783.05102539062
1750313494.466138,0,187918.55352783203
1750313494.466138,1,187918.78515625
1750313495.4668918,0,188054.20904541016
1750313495.4668918,1,188054.33459472656
1750313496.466543,0,188189.99157714844
1750313496.466543,1,188190.15533447266
1750313497.4666014,0,188325.48919677734
1750313497.4666014,1,188325.59143066406
1750313498.466782,0,188461.07580566406
1750313498.466782,1,188461.22943115234
1750313499.4661286,0,188596.64947509766
1750313499.4661286,1,188596.75427246094
1750313500.4668694,0,188732.25219726562
1750313500.4668694,1,188732.52075195312
1750313501.4669409,0,188867.91967773438
1750313501.4669409,1,188868.0479736328
1750313502.4666083,0,189003.58819580078
1750313502.4666083,1,189003.88739013672
1750313503.4661686,0,189139.01501464844
1750313503.4661686,1,189139.11584472656
1750313504.4662862,0,189274.61889648438
1750313504.4662862,1,189274.71661376953
1750313505.466194,0,189410.17279052734
1750313505.466194,1,189410.43853759766
1750313506.4667346,0,189545.93157958984
1750313506.4667346,1,189546.05560302734
1750313507.4668143,0,189681.55926513672
1750313507.4668143,1,189681.67407226562
1750313508.4661765,0,189817.04974365234
1750313508.4661765,1,189817.16766357422
1750313509.4670405,0,189952.73614501953
1750313509.4670405,1,189952.97357177734
1750313510.4662611,0,190088.27349853516
1750313510.4662611,1,190088.39697265625
1750313511.466836,0,190223.95336914062
1750313511.466836,1,190224.06323242188
1750313512.4669077,0,190359.6580810547
1750313512.4669077,1,190359.8009033203
1750313513.4664395,0,190495.16326904297
1750313513.4664395,1,190495.2875366211
1750313514.4670796,0,190630.84008789062
1750313514.4670796,1,190630.9696044922
1750313515.466504,0,190766.51318359375
1750313515.466504,1,190766.8057861328
1750313516.4666266,0,190902.09448242188
1750313516.4666266,1,190902.1947631836
1750313517.4668684,0,191037.66442871094
1750313517.4668684,1,191037.79846191406
1750313518.4664125,0,191173.21264648438
1750313518.4664125,1,191173.51293945312
1750313519.4664295,0,191308.79278564453
1750313519.4664295,1,191308.91192626953
1750313520.4671307,0,191444.7586669922
1750313520.4671307,1,191444.94262695312
1750313521.4663894,0,191579.98767089844
1750313521.4663894,1,191580.11462402344
1750313522.466509,0,191715.5986328125
1750313522.466509,1,191715.80743408203
1750313523.466658,0,191851.2514038086
1750313523.466658,1,191851.55047607422
1750313524.4667242,0,191986.85284423828
1750313524.4667242,1,191986.9884033203
1750313525.4664435,0,192122.40631103516
1750313525.4664435,1,192122.54461669922
1750313526.4665225,0,192258.17315673828
1750313526.4665225,1,192258.27734375
1750313527.4668453,0,192393.7660522461
1750313527.4668453,1,192394.07849121094
1750313528.4667494,0,192529.42962646484
1750313528.4667494,1,192529.67749023438
1750313529.467058,0,192664.98852539062
1750313529.467058,1,192665.21771240234
1750313530.4662333,0,192800.3848876953
1750313530.4662333,1,192800.6517944336
1750313531.4661343,0,192936.01733398438
1750313531.4661343,1,192936.14611816406
1750313532.4666436,0,193071.87646484375
1750313532.4666436,1,193072.16400146484
1750313533.4668524,0,193207.36181640625
1750313533.4668524,1,193207.5913696289
1750313534.4668128,0,193342.90844726562
1750313534.4668128,1,193343.1622314453
1750313535.4663255,0,193478.60760498047
1750313535.4663255,1,193478.92218017578
1750313536.4665291,0,193614.1635131836
1750313536.4665291,1,193614.27801513672
1750313537.4669926,0,193749.84057617188
1750313537.4669926,1,193750.16497802734
1750313538.4663832,0,193885.34063720703
1750313538.4663832,1,193885.7783203125
1750313539.4667912,0,194021.05041503906
1750313539.4667912,1,194021.1533203125
1750313540.4664936,0,194156.6264038086
1750313540.4664936,1,194156.7349243164
1750313541.4670107,0,194292.2548828125
1750313541.4670107,1,194292.48901367188
1750313542.466573,0,194427.88189697266
1750313542.466573,1,194428.1854248047
1750313543.4665837,0,194563.49560546875
1750313543.4665837,1,194563.59246826172
1750313544.4666657,0,194699.15600585938
1750313544.4666657,1,194699.26849365234
1750313545.4661975,0,194834.66961669922
1750313545.4661975,1,194834.78131103516
1750313546.4661171,0,194970.119140625
1750313546.4661171,1,194970.37628173828
1750313547.4669633,0,195105.92254638672
1750313547.4669633,1,195106.23321533203
1750313548.466816,0,195241.4721069336
1750313548.466816,1,195241.6142578125
1750313549.4667282,0,195377.13342285156
1750313549.4667282,1,195377.2362060547
1750313550.4661744,0,195512.6317138672
1750313550.4661744,1,195512.75360107422
1750313551.4663439,0,195648.1690673828
1750313551.4663439,1,195648.42529296875
1750313552.4667425,0,195783.94592285156
1750313552.4667425,1,195784.06506347656
1750313553.466775,0,195919.63482666016
1750313553.466775,1,195919.9080810547
1750313554.4662256,0,196055.30352783203
1750313554.4662256,1,196055.61322021484
1750313555.4661114,0,196190.55541992188
1750313555.4661114,1,196191.00329589844
1750313556.4665656,0,196326.26782226562
1750313556.4665656,1,196326.53106689453
1750313557.4664533,0,196461.8724975586
1750313557.4664533,1,196462.0294189453
1750313558.466495,0,196597.44207763672
1750313558.466495,1,196597.72595214844
1750313559.466499,0,196733.16302490234
1750313559.466499,1,196733.28784179688
1750313560.466422,0,196868.7957763672
1750313560.466422,1,196868.9580078125
1750313561.466256,0,197000.2103881836
1750313561.466256,1,197000.2738647461
