time,actuator,value
1764039173.7665377,Actuator(ptr=c_void_p(1141614912)),165.0
1764039175.767994,Actuator(ptr=c_void_p(1141614912)),78.0
1764039177.769054,Actuator(ptr=c_void_p(1141614912)),136.0
1764039179.7679582,Actuator(ptr=c_void_p(1141614912)),136.0
1764039181.7679918,Actuator(ptr=c_void_p(1141614912)),136.0
1764039183.7679749,Actuator(ptr=c_void_p(1141614912)),136.0
1764039185.7678676,Actuator(ptr=c_void_p(1141614912)),136.0
1764039187.7678976,Actuator(ptr=c_void_p(1141614912)),136.0
1764039189.7679682,Actuator(ptr=c_void_p(1141614912)),136.0
1764039191.7693605,Actuator(ptr=c_void_p(1141614912)),136.0
1764039193.76862,Actuator(ptr=c_void_p(1141614912)),136.0
1764039195.7679956,Actuator(ptr=c_void_p(1141614912)),136.0
1764039197.7679403,Actuator(ptr=c_void_p(1141614912)),136.0
1764039199.769065,Actuator(ptr=c_void_p(1141614912)),136.0
1764039201.7679553,Actuator(ptr=c_void_p(1141614912)),136.0
1764039203.7679226,Actuator(ptr=c_void_p(1141614912)),136.0
1764039205.767928,Actuator(ptr=c_void_p(1141614912)),136.0
1764039207.768953,Actuator(ptr=c_void_p(1141614912)),136.0
1764039209.7684538,Actuator(ptr=c_void_p(1141614912)),136.0
1764039211.7679138,Actuator(ptr=c_void_p(1141614912)),136.0
1764039213.767929,Actuator(ptr=c_void_p(1141614912)),136.0
1764039215.7693708,Actuator(ptr=c_void_p(1141614912)),136.0
1764039217.7682893,Actuator(ptr=c_void_p(1141614912)),136.0
1764039219.7676754,Actuator(ptr=c_void_p(1141614912)),136.0
1764039221.7679372,Actuator(ptr=c_void_p(1141614912)),136.0
1764039223.7691336,Actuator(ptr=c_void_p(1141614912)),136.0
1764039225.7679822,Actuator(ptr=c_void_p(1141614912)),136.0
1764039227.7681365,Actuator(ptr=c_void_p(1141614912)),136.0
1764039229.7685285,Actuator(ptr=c_void_p(1141614912)),136.0
1764039231.7680032,Actuator(ptr=c_void_p(1141614912)),136.0
1764039233.7679727,Actuator(ptr=c_void_p(1141614912)),136.0
1764039235.7685719,Actuator(ptr=c_void_p(1141614912)),136.0
1764039237.7679732,Actuator(ptr=c_void_p(1141614912)),136.0
1764039239.7678883,Actuator(ptr=c_void_p(1141614912)),136.0
1764039241.7694383,Actuator(ptr=c_void_p(1141614912)),136.0
1764039243.7681234,Actuator(ptr=c_void_p(1141614912)),136.0
1764039245.7681243,Actuator(ptr=c_void_p(1141614912)),136.0
1764039247.7690587,Actuator(ptr=c_void_p(1141614912)),136.0
1764039249.7679956,Actuator(ptr=c_void_p(1141614912)),136.0
1764039251.768532,Actuator(ptr=c_void_p(1141614912)),136.0
1764039253.7691958,Actuator(ptr=c_void_p(1141614912)),136.0
1764039255.7680285,Actuator(ptr=c_void_p(1141614912)),136.0
1764039257.768154,Actuator(ptr=c_void_p(1141614912)),136.0
1764039259.7688782,Actuator(ptr=c_void_p(1141614912)),136.0
1764039261.7681413,Actuator(ptr=c_void_p(1141614912)),136.0
1764039263.768423,Actuator(ptr=c_void_p(1141614912)),136.0
1764039265.7680926,Actuator(ptr=c_void_p(1141614912)),136.0
1764039267.7681713,Actuator(ptr=c_void_p(1141614912)),136.0
1764039269.768327,Actuator(ptr=c_void_p(1141614912)),136.0
1764039271.7684288,Actuator(ptr=c_void_p(1141614912)),136.0
1764039273.7686105,Actuator(ptr=c_void_p(1141614912)),136.0
1764039275.7689214,Actuator(ptr=c_void_p(1141614912)),136.0
1764039277.768557,Actuator(ptr=c_void_p(1141614912)),136.0
1764039279.7680354,Actuator(ptr=c_void_p(1141614912)),136.0
1764039281.768146,Actuator(ptr=c_void_p(1141614912)),136.0
1764039283.7685819,Actuator(ptr=c_void_p(1141614912)),136.0
1764039285.768006,Actuator(ptr=c_void_p(1141614912)),136.0
1764039287.7681272,Actuator(ptr=c_void_p(1141614912)),136.0
1764039289.7681332,Actuator(ptr=c_void_p(1141614912)),136.0
1764039291.7684836,Actuator(ptr=c_void_p(1141614912)),136.0
1764039293.768128,Actuator(ptr=c_void_p(1141614912)),136.0
1764039295.7690597,Actuator(ptr=c_void_p(1141614912)),136.0
1764039297.768126,Actuator(ptr=c_void_p(1141614912)),136.0
1764039299.7692854,Actuator(ptr=c_void_p(1141614912)),136.0
1764039301.7686937,Actuator(ptr=c_void_p(1141614912)),136.0
1764039303.7681339,Actuator(ptr=c_void_p(1141614912)),136.0
