time,scope,value
1764824638.539672,nrm.extra.perf.PAPI_L3_TCA.454454,1312066311.0
1764824638.539672,nrm.extra.perf.PAPI_TOT_INS.454454,136172043275.0
1764824638.539672,nrm.extra.perf.PAPI_TOT_CYC.454454,278720369755.0
1764824638.539672,nrm.extra.perf.PAPI_RES_STL.454454,178152248083.0
1764824638.539672,nrm.extra.perf.PAPI_L3_TCM.454454,1133122154.0
1764824639.5386794,nrm.extra.perf.PAPI_L3_TCA.454454,2744934858.0
1764824639.5386794,nrm.extra.perf.PAPI_TOT_INS.454454,269420707587.0
1764824639.5386794,nrm.extra.perf.PAPI_TOT_CYC.454454,553191456813.0
1764824639.5386794,nrm.extra.perf.PAPI_RES_STL.454454,358895131288.0
1764824639.5386794,nrm.extra.perf.PAPI_L3_TCM.454454,2369105170.0
1764824640.5392632,nrm.extra.perf.PAPI_L3_TCA.454454,3841674422.0
1764824640.5392632,nrm.extra.perf.PAPI_TOT_INS.454454,371286723730.0
1764824640.5392632,nrm.extra.perf.PAPI_TOT_CYC.454454,727473063522.0
1764824640.5392632,nrm.extra.perf.PAPI_RES_STL.454454,460620051623.0
1764824640.5392632,nrm.extra.perf.PAPI_L3_TCM.454454,3314375693.0
1764824641.5401292,nrm.extra.perf.PAPI_L3_TCA.454454,4939748299.0
1764824641.5401292,nrm.extra.perf.PAPI_TOT_INS.454454,472956570800.0
1764824641.5401292,nrm.extra.perf.PAPI_TOT_CYC.454454,896924859908.0
1764824641.5401292,nrm.extra.perf.PAPI_RES_STL.454454,559618197710.0
1764824641.5401292,nrm.extra.perf.PAPI_L3_TCM.454454,4260938287.0
1764824642.5382142,nrm.extra.perf.PAPI_L3_TCA.454454,6092747793.0
1764824642.5382142,nrm.extra.perf.PAPI_TOT_INS.454454,579772966852.0
1764824642.5382142,nrm.extra.perf.PAPI_TOT_CYC.454454,1078493278020.0
1764824642.5382142,nrm.extra.perf.PAPI_RES_STL.454454,666480581264.0
1764824642.5382142,nrm.extra.perf.PAPI_L3_TCM.454454,5255625860.0
1764824643.5372941,nrm.extra.perf.PAPI_L3_TCA.454454,7241579837.0
1764824643.5372941,nrm.extra.perf.PAPI_TOT_INS.454454,686333241297.0
1764824643.5372941,nrm.extra.perf.PAPI_TOT_CYC.454454,1260099555670.0
1764824643.5372941,nrm.extra.perf.PAPI_RES_STL.454454,773238347802.0
1764824643.5372941,nrm.extra.perf.PAPI_L3_TCM.454454,6244790689.0
1764824644.53852,nrm.extra.perf.PAPI_L3_TCA.454454,8359081201.0
1764824644.53852,nrm.extra.perf.PAPI_TOT_INS.454454,789957398688.0
1764824644.53852,nrm.extra.perf.PAPI_TOT_CYC.454454,1434550476920.0
1764824644.53852,nrm.extra.perf.PAPI_RES_STL.454454,875147856577.0
1764824644.53852,nrm.extra.perf.PAPI_L3_TCM.454454,7209390653.0
1764824645.5400927,nrm.extra.perf.PAPI_L3_TCA.454454,9502360721.0
1764824645.5400927,nrm.extra.perf.PAPI_TOT_INS.454454,896094897677.0
1764824645.5400927,nrm.extra.perf.PAPI_TOT_CYC.454454,1614361119910.0
1764824645.5400927,nrm.extra.perf.PAPI_RES_STL.454454,979512924980.0
1764824645.5400927,nrm.extra.perf.PAPI_L3_TCM.454454,8195078593.0
1764824646.5373645,nrm.extra.perf.PAPI_L3_TCA.454454,10659140930.0
1764824646.5373645,nrm.extra.perf.PAPI_TOT_INS.454454,1003409236582.0
1764824646.5373645,nrm.extra.perf.PAPI_TOT_CYC.454454,1794703898851.0
1764824646.5373645,nrm.extra.perf.PAPI_RES_STL.454454,1084703266492.0
1764824646.5373645,nrm.extra.perf.PAPI_L3_TCM.454454,9192295104.0
1764824647.5378356,nrm.extra.perf.PAPI_L3_TCA.454454,11824784980.0
1764824647.5378356,nrm.extra.perf.PAPI_TOT_INS.454454,1111396906197.0
1764824647.5378356,nrm.extra.perf.PAPI_TOT_CYC.454454,1976028432604.0
1764824647.5378356,nrm.extra.perf.PAPI_RES_STL.454454,1191511461807.0
1764824647.5378356,nrm.extra.perf.PAPI_L3_TCM.454454,10198038803.0
1764824648.538186,nrm.extra.perf.PAPI_L3_TCA.454454,12994643060.0
1764824648.538186,nrm.extra.perf.PAPI_TOT_INS.454454,1219736865277.0
1764824648.538186,nrm.extra.perf.PAPI_TOT_CYC.454454,2157507936713.0
1764824648.538186,nrm.extra.perf.PAPI_RES_STL.454454,1297968739847.0
1764824648.538186,nrm.extra.perf.PAPI_L3_TCM.454454,11205377950.0
1764824649.5371244,nrm.extra.perf.PAPI_L3_TCA.454454,14162350850.0
1764824649.5371244,nrm.extra.perf.PAPI_TOT_INS.454454,1327850676589.0
1764824649.5371244,nrm.extra.perf.PAPI_TOT_CYC.454454,2338519704188.0
1764824649.5371244,nrm.extra.perf.PAPI_RES_STL.454454,1404079286934.0
1764824649.5371244,nrm.extra.perf.PAPI_L3_TCM.454454,12212226794.0
1764824650.5381784,nrm.extra.perf.PAPI_L3_TCA.454454,15279965010.0
1764824650.5381784,nrm.extra.perf.PAPI_TOT_INS.454454,1431831879531.0
1764824650.5381784,nrm.extra.perf.PAPI_TOT_CYC.454454,2515075000531.0
1764824650.5381784,nrm.extra.perf.PAPI_RES_STL.454454,1506125062296.0
1764824650.5381784,nrm.extra.perf.PAPI_L3_TCM.454454,13175620506.0
1764824651.537843,nrm.extra.perf.PAPI_L3_TCA.454454,16410480745.0
1764824651.537843,nrm.extra.perf.PAPI_TOT_INS.454454,1537014741140.0
1764824651.537843,nrm.extra.perf.PAPI_TOT_CYC.454454,2693976732086.0
1764824651.537843,nrm.extra.perf.PAPI_RES_STL.454454,1609978051292.0
1764824651.537843,nrm.extra.perf.PAPI_L3_TCM.454454,14149774771.0
1764824652.5372014,nrm.extra.perf.PAPI_L3_TCA.454454,17576143784.0
1764824652.5372014,nrm.extra.perf.PAPI_TOT_INS.454454,1645080383891.0
1764824652.5372014,nrm.extra.perf.PAPI_TOT_CYC.454454,2875208378918.0
1764824652.5372014,nrm.extra.perf.PAPI_RES_STL.454454,1716125731357.0
1764824652.5372014,nrm.extra.perf.PAPI_L3_TCM.454454,15152248719.0
1764824653.5378945,nrm.extra.perf.PAPI_L3_TCA.454454,18744176967.0
1764824653.5378945,nrm.extra.perf.PAPI_TOT_INS.454454,1753372627967.0
1764824653.5378945,nrm.extra.perf.PAPI_TOT_CYC.454454,3056744361575.0
1764824653.5378945,nrm.extra.perf.PAPI_RES_STL.454454,1822319768671.0
