time,scope,value
1764988701.6443043,0,39024638.908081055
1764988701.6443043,1,39024638.908081055
1764988702.6443088,0,39024801.7824707
1764988702.6443088,1,39024801.890686035
1764988703.6443236,0,39024907.245666504
1764988703.6443236,1,39024907.245666504
1764988704.6443062,0,39024985.00097656
1764988704.6443062,1,39024985.00097656
1764988705.6443162,0,39025118.38989258
1764988705.6443162,1,39025118.38989258
1764988706.6443143,0,39025265.02423096
1764988706.6443143,1,39025265.02423096
1764988707.6443038,0,39025424.200927734
1764988707.6443038,1,39025424.200927734
1764988708.6443028,0,39025586.91705322
1764988708.6443028,1,39025587.06939697
1764988709.6443062,0,39025749.55999756
1764988709.6443062,1,39025749.55999756
1764988710.644305,0,39025912.509765625
1764988710.644305,1,39025912.66973877
1764988711.644329,0,39026075.59887695
1764988711.644329,1,39026075.59887695
1764988712.6443036,0,39026239.26116943
1764988712.6443036,1,39026239.26116943
1764988713.6443062,0,39026402.212646484
1764988713.6443062,1,39026402.212646484
1764988714.6442997,0,39026565.18725586
1764988714.6442997,1,39026565.39978027
1764988715.6443272,0,39026729.47906494
1764988715.6443272,1,39026729.47906494
1764988716.6443195,0,39026894.27050781
1764988716.6443195,1,39026894.27050781
1764988717.644307,0,39027057.963256836
1764988717.644307,1,39027058.17590332
1764988718.6443067,0,39027222.740112305
1764988718.6443067,1,39027222.740112305
1764988719.6443005,0,39027387.54864502
1764988719.6443005,1,39027387.54864502
1764988720.6443088,0,39027551.892700195
1764988720.6443088,1,39027552.04595947
1764988721.6443055,0,39027716.4072876
1764988721.6443055,1,39027716.4072876
1764988722.644303,0,39027881.01916504
1764988722.644303,1,39027881.01916504
1764988723.6443062,0,39028045.44152832
1764988723.6443062,1,39028045.44152832
1764988724.644304,0,39028210.02838135
1764988724.644304,1,39028210.02838135
1764988725.6443014,0,39028374.50915527
1764988725.6443014,1,39028374.50915527
1764988726.6443038,0,39028539.03387451
1764988726.6443038,1,39028539.03387451
1764988727.6442897,0,39028703.630493164
1764988727.6442897,1,39028703.630493164
1764988728.6443148,0,39028868.185424805
1764988728.6443148,1,39028868.185424805
1764988729.6443152,0,39029032.2689209
1764988729.6443152,1,39029032.2689209
1764988730.644321,0,39029196.378479004
1764988730.644321,1,39029196.378479004
1764988731.6443036,0,39029360.931762695
1764988731.6443036,1,39029361.07946777
1764988732.6443005,0,39029525.568481445
1764988732.6443005,1,39029525.568481445
1764988733.6443176,0,39029690.14355469
1764988733.6443176,1,39029690.14355469
1764988734.6443017,0,39029854.63360596
1764988734.6443017,1,39029854.63360596
1764988735.6443028,0,39030019.09613037
1764988735.6443028,1,39030019.24914551
1764988736.6442978,0,39030183.68206787
1764988736.6442978,1,39030183.68206787
1764988737.6443048,0,39030348.27459717
1764988737.6443048,1,39030348.27459717
1764988738.6443057,0,39030512.691833496
1764988738.6443057,1,39030512.691833496
1764988739.6442995,0,39030677.31561279
1764988739.6442995,1,39030677.31561279
1764988740.6443048,0,39030841.85784912
1764988740.6443048,1,39030841.85784912
1764988741.6443002,0,39031006.135131836
1764988741.6443002,1,39031006.135131836
1764988742.6443014,0,39031170.69268799
1764988742.6443014,1,39031170.69268799
1764988743.6443233,0,39031335.230773926
1764988743.6443233,1,39031335.230773926
1764988744.6442304,0,39031499.39239502
1764988744.6442304,1,39031499.39239502
1764988745.6443133,0,39031663.83270264
1764988745.6443133,1,39031663.83270264
1764988746.644301,0,39031828.34362793
1764988746.644301,1,39031828.34362793
1764988747.644303,0,39031993.012145996
1764988747.644303,1,39031993.012145996
1764988748.6443014,0,39032157.34197998
1764988748.6443014,1,39032157.4755249
1764988749.6442995,0,39032321.93322754
1764988749.6442995,1,39032321.93322754
1764988750.6443152,0,39032486.33312988
1764988750.6443152,1,39032486.33312988
1764988751.644303,0,39032650.95941162
1764988751.644303,1,39032650.95941162
1764988752.6443014,0,39032815.43121338
1764988752.6443014,1,39032815.43121338
1764988753.6443095,0,39032979.667663574
1764988753.6443095,1,39032979.667663574
1764988754.6443038,0,39033144.07989502
1764988754.6443038,1,39033144.07989502
1764988755.6443057,0,39033308.70831299
1764988755.6443057,1,39033308.70831299
1764988756.6442947,0,39033473.34667969
1764988756.6442947,1,39033473.34667969
1764988757.6443157,0,39033637.37988281
1764988757.6443157,1,39033637.37988281
1764988758.6443117,0,39033801.72216797
1764988758.6443117,1,39033801.86138916
1764988759.6443028,0,39033965.88409424
1764988759.6443028,1,39033965.88409424
1764988760.6443186,0,39034129.824645996
1764988760.6443186,1,39034129.824645996
1764988761.6443036,0,39034294.021606445
1764988761.6443036,1,39034294.021606445
1764988762.6442945,0,39034458.1182251
1764988762.6442945,1,39034458.1182251
1764988763.6443121,0,39034622.23565674
1764988763.6443121,1,39034622.23565674
1764988764.6443026,0,39034786.1081543
1764988764.6443026,1,39034786.1081543
1764988765.644303,0,39034950.241882324
1764988765.644303,1,39034950.241882324
1764988766.6442993,0,39035114.52416992
1764988766.6442993,1,39035114.52416992
1764988767.6443148,0,39035278.415527344
1764988767.6443148,1,39035278.415527344
1764988768.644296,0,39035442.23358154
1764988768.644296,1,39035442.23358154
1764988769.6443007,0,39035606.350097656
1764988769.6443007,1,39035606.350097656
1764988770.6443453,0,39035769.511291504
1764988770.6443453,1,39035769.511291504
1764988771.644304,0,39035933.43682861
1764988771.644304,1,39035933.43682861
1764988772.6443017,0,39036096.94616699
1764988772.6443017,1,39036096.94616699
1764988773.6443,0,39036261.126953125
1764988773.6443,1,39036261.126953125
1764988774.6443107,0,39036424.724731445
1764988774.6443107,1,39036424.724731445
1764988775.6443028,0,39036588.34338379
1764988775.6443028,1,39036588.48571777
1764988776.644302,0,39036752.24334717
1764988776.644302,1,39036752.38659668
1764988777.644296,0,39036915.704956055
1764988777.644296,1,39036915.877197266
1764988778.6443112,0,39037079.33154297
1764988778.6443112,1,39037079.45062256
1764988779.644301,0,39037242.86669922
1764988779.644301,1,39037242.86669922
1764988780.6443007,0,39037406.605529785
1764988780.6443007,1,39037406.605529785
1764988781.6442986,0,39037569.890441895
1764988781.6442986,1,39037569.890441895
1764988782.6443124,0,39037732.87609863
1764988782.6443124,1,39037732.87609863
1764988783.644303,0,39037896.2142334
1764988783.644303,1,39037896.2142334
1764988784.6443055,0,39038060.37817383
1764988784.6443055,1,39038060.50054932
1764988785.6442928,0,39038223.86553955
1764988785.6442928,1,39038223.86553955
1764988786.6443157,0,39038387.28955078
1764988786.6443157,1,39038387.28955078
1764988787.6443033,0,39038550.63171387
1764988787.6443033,1,39038550.63171387
1764988788.644302,0,39038713.96447754
1764988788.644302,1,39038713.96447754
1764988789.6442945,0,39038877.0
1764988789.6442945,1,39038877.252441406
1764988790.6442943,0,39039040.44836426
1764988790.6442943,1,39039040.44836426
1764988791.6443129,0,39039203.74584961
1764988791.6443129,1,39039203.74584961
1764988792.644258,0,39039367.30969238
1764988792.644258,1,39039367.30969238
1764988793.6443,0,39039530.36102295
1764988793.6443,1,39039530.36102295
1764988794.6443126,0,39039693.34838867
1764988794.6443126,1,39039693.34838867
1764988795.6442995,0,39039856.98175049
1764988795.6442995,1,39039856.98175049
1764988796.6443014,0,39040020.466308594
1764988796.6443014,1,39040020.466308594
1764988797.6442997,0,39040183.53027344
1764988797.6442997,1,39040183.53027344
1764988798.6443014,0,39040346.78161621
1764988798.6443014,1,39040346.78161621
1764988799.644318,0,39040510.343688965
1764988799.644318,1,39040510.343688965
1764988800.6443,0,39040674.09161377
1764988800.6443,1,39040674.09161377
1764988801.644306,0,39040837.76300049
1764988801.644306,1,39040837.76300049
1764988802.6442938,0,39041001.70599365
1764988802.6442938,1,39041001.70599365
1764988803.6443036,0,39041165.291503906
1764988803.6443036,1,39041165.291503906
1764988804.6443098,0,39041328.244262695
1764988804.6443098,1,39041328.244262695
