time,value
1771195678.8950021,1.0
1771195679.0171936,1.0
1771195679.1397212,1.0
1771195679.2623413,1.0
1771195679.384392,1.0
1771195679.5065584,1.0
1771195679.6292953,1.0
1771195679.782464,1.0
1771195679.903584,1.0
1771195680.0242412,1.0
1771195680.1456075,1.0
1771195680.2833421,1.0
1771195680.403846,1.0
1771195680.5249279,1.0
1771195680.6460876,1.0
1771195680.79581,1.0
1771195680.9706125,1.0
1771195681.1417885,1.0
1771195681.3120992,1.0
1771195681.4824004,1.0
1771195681.654779,1.0
1771195681.8253765,1.0
1771195681.99542,1.0
1771195682.1656575,1.0
1771195682.3360143,1.0
1771195682.5062478,1.0
1771195682.664434,1.0
1771195682.810532,1.0
1771195682.9568665,1.0
1771195683.1029124,1.0
1771195683.2488685,1.0
1771195683.3953326,1.0
1771195683.541437,1.0
1771195683.6886966,1.0
1771195683.8351989,1.0
1771195683.9819314,1.0
1771195684.1279416,1.0
1771195684.3202474,1.0
1771195684.4671419,1.0
1771195684.6138706,1.0
1771195684.7618022,1.0
1771195684.9084918,1.0
1771195685.0551765,1.0
1771195685.2020698,1.0
1771195685.3619275,1.0
1771195685.5193603,1.0
1771195685.6667595,1.0
1771195685.8141484,1.0
1771195685.9611545,1.0
1771195686.114621,1.0
1771195686.2616715,1.0
1771195686.408603,1.0
1771195686.5556047,1.0
1771195686.7039478,1.0
1771195686.8513367,1.0
1771195686.9981682,1.0
1771195687.1454444,1.0
1771195687.292916,1.0
1771195687.4398546,1.0
1771195687.586892,1.0
1771195687.7340674,1.0
1771195687.8811164,1.0
1771195688.0280921,1.0
1771195688.175254,1.0
1771195688.32225,1.0
1771195688.4695904,1.0
1771195688.616505,1.0
1771195688.7634962,1.0
1771195688.9106328,1.0
1771195689.0578363,1.0
1771195689.2047398,1.0
1771195689.3515723,1.0
1771195689.49872,1.0
1771195689.6461868,1.0
1771195689.7946162,1.0
1771195689.9427998,1.0
1771195690.09084,1.0
1771195690.2389183,1.0
1771195690.3869998,1.0
1771195690.535249,1.0
1771195690.683392,1.0
1771195690.8313925,1.0
1771195691.0263672,1.0
1771195691.174619,1.0
1771195691.3226776,1.0
1771195691.471599,1.0
1771195691.620249,1.0
1771195691.7683778,1.0
1771195691.916373,1.0
1771195692.0641124,1.0
1771195692.2119691,1.0
1771195692.36017,1.0
1771195692.5082068,1.0
1771195692.6562102,1.0
1771195692.8041074,1.0
1771195692.952088,1.0
1771195693.0999823,1.0
1771195693.2479835,1.0
1771195693.3960176,1.0
1771195693.5439405,1.0
1771195693.6925855,1.0
1771195693.851958,1.0
1771195694.0070193,1.0
1771195694.155204,1.0
1771195694.308396,1.0
1771195694.456279,1.0
1771195694.604242,1.0
1771195694.7521574,1.0
1771195694.9247468,1.0
1771195695.0723393,1.0
1771195695.2198699,1.0
1771195695.3672051,1.0
1771195695.5182607,1.0
1771195695.6654446,1.0
1771195695.8127954,1.0
1771195695.9595592,1.0
1771195696.1065729,1.0
1771195696.253953,1.0
1771195696.4012148,1.0
1771195696.5485191,1.0
1771195696.6955733,1.0
1771195696.8431532,1.0
1771195696.9905405,1.0
1771195697.1376023,1.0
1771195697.2848618,1.0
1771195697.4322906,1.0
1771195697.5796146,1.0
1771195697.7269943,1.0
1771195697.8744261,1.0
1771195698.0218775,1.0
1771195698.16908,1.0
1771195698.3554113,1.0
1771195698.501159,1.0
1771195698.6466322,1.0
1771195698.7925916,1.0
1771195698.9379098,1.0
1771195699.0833232,1.0
1771195699.2290013,1.0
1771195699.3745244,1.0
1771195699.5199084,1.0
1771195699.664992,1.0
1771195699.8108153,1.0
1771195699.9562352,1.0
1771195700.1016538,1.0
1771195700.247356,1.0
1771195700.3929586,1.0
1771195700.5384374,1.0
1771195700.6841192,1.0
1771195700.8299394,1.0
1771195700.9755983,1.0
1771195701.1213431,1.0
1771195701.266879,1.0
1771195701.4125767,1.0
1771195701.5578837,1.0
1771195701.7263427,1.0
1771195701.8715346,1.0
1771195702.0165975,1.0
1771195702.161649,1.0
1771195702.3066807,1.0
1771195702.4526675,1.0
1771195702.5978932,1.0
1771195702.7431407,1.0
1771195702.8882666,1.0
1771195703.033378,1.0
1771195703.1784153,1.0
1771195703.3233879,1.0
1771195703.468514,1.0
1771195703.613517,1.0
1771195703.7587078,1.0
1771195703.9039147,1.0
1771195704.0487297,1.0
1771195704.193786,1.0
1771195704.3388739,1.0
1771195704.4837103,1.0
1771195704.6286495,1.0
1771195704.773824,1.0
1771195704.9186609,1.0
1771195705.0637226,1.0
1771195705.2088428,1.0
1771195705.3538537,1.0
1771195705.4987168,1.0
1771195705.6438434,1.0
1771195705.7889416,1.0
1771195705.934136,1.0
1771195706.0792134,1.0
1771195706.2243683,1.0
1771195706.3692098,1.0
1771195706.514193,1.0
1771195706.6593475,1.0
1771195706.8041034,1.0
1771195706.9490888,1.0
1771195707.0941548,1.0
1771195707.239327,1.0
1771195707.3844888,1.0
1771195707.5298162,1.0
1771195707.674996,1.0
1771195707.8202152,1.0
1771195707.965406,1.0
1771195708.110747,1.0
1771195708.2558665,1.0
1771195708.4008598,1.0
1771195708.5458124,1.0
1771195708.691182,1.0
1771195708.8362637,1.0
1771195708.9812038,1.0
1771195709.126157,1.0
1771195709.2713943,1.0
1771195709.4164138,1.0
1771195709.5613475,1.0
1771195709.706332,1.0
1771195709.8514006,1.0
1771195709.9963057,1.0
1771195710.1412613,1.0
1771195710.2860959,1.0
1771195710.4310977,1.0
1771195710.576283,1.0
1771195710.721343,1.0
1771195710.8662841,1.0
1771195711.011238,1.0
1771195711.1563911,1.0
1771195711.301391,1.0
1771195711.4465463,1.0
1771195711.5917523,1.0
1771195711.7371006,1.0
1771195711.882234,1.0
1771195712.0271735,1.0
1771195712.1721284,1.0
1771195712.3173075,1.0
1771195712.4624078,1.0
1771195712.607497,1.0
1771195712.7526288,1.0
1771195712.8975112,1.0
1771195713.042619,1.0
1771195713.1874785,1.0
1771195713.3326302,1.0
1771195713.4773538,1.0
1771195713.6223047,1.0
1771195713.7674894,1.0
1771195713.912482,1.0
1771195714.0576847,1.0
1771195714.2026935,1.0
1771195714.3479068,1.0
1771195714.4927294,1.0
1771195714.637746,1.0
1771195714.7828567,1.0
1771195714.927999,1.0
1771195715.0732834,1.0
1771195715.218398,1.0
1771195715.3635235,1.0
1771195715.5084348,1.0
1771195715.6538095,1.0
1771195715.7988842,1.0
1771195715.9438684,1.0
1771195716.0890338,1.0
1771195716.2342775,1.0
1771195716.3795013,1.0
1771195716.5243092,1.0
1771195716.669448,1.0
1771195716.8148217,1.0
1771195716.959769,1.0
1771195717.104786,1.0
1771195717.2498221,1.0
1771195717.3945575,1.0
1771195717.5396323,1.0
1771195717.6846797,1.0
1771195717.829883,1.0
1771195717.974693,1.0
1771195718.119631,1.0
1771195718.2647896,1.0
1771195718.409809,1.0
1771195718.5548856,1.0
1771195718.6997726,1.0
1771195718.844822,1.0
1771195718.989735,1.0
1771195719.1345978,1.0
1771195719.2793741,1.0
1771195719.4242642,1.0
1771195719.5690675,1.0
1771195719.714092,1.0
1771195719.859237,1.0
1771195720.0042574,1.0
1771195720.1492457,1.0
1771195720.294381,1.0
1771195720.4393127,1.0
1771195720.5844223,1.0
1771195720.7294707,1.0
1771195720.8744984,1.0
1771195721.0197864,1.0
1771195721.1648922,1.0
1771195721.3099186,1.0
1771195721.454918,1.0
1771195721.5998542,1.0
1771195721.7448747,1.0
1771195721.8899071,1.0
1771195722.0349534,1.0
1771195722.1798973,1.0
1771195722.3250737,1.0
1771195722.4702413,1.0
1771195722.6155207,1.0
1771195722.7609782,1.0
1771195722.9062893,1.0
1771195723.0516324,1.0
1771195723.1967275,1.0
1771195723.3419356,1.0
1771195723.487175,1.0
1771195723.632289,1.0
1771195723.7776933,1.0
1771195723.9231713,1.0
1771195724.0684202,1.0
1771195724.2133248,1.0
1771195724.3584878,1.0
1771195724.5034115,1.0
1771195724.6483467,1.0
1771195724.7935784,1.0
1771195724.938704,1.0
1771195725.0837076,1.0
1771195725.2287064,1.0
1771195725.3736835,1.0
1771195725.5185666,1.0
1771195725.6636302,1.0
1771195725.8089294,1.0
1771195725.9538288,1.0
1771195726.0988688,1.0
1771195726.2440617,1.0
1771195726.3891177,1.0
1771195726.5343742,1.0
1771195726.6796634,1.0
1771195726.8249586,1.0
1771195726.9701436,1.0
1771195727.1151595,1.0
1771195727.2602115,1.0
1771195727.4053464,1.0
1771195727.5504546,1.0
1771195727.6956553,1.0
1771195727.8411086,1.0
1771195727.9862087,1.0
1771195728.1311731,1.0
1771195728.2764573,1.0
1771195728.421705,1.0
1771195728.5667229,1.0
1771195728.711902,1.0
1771195728.8574462,1.0
1771195729.0023918,1.0
1771195729.1474018,1.0
1771195729.292517,1.0
1771195729.4375923,1.0
1771195729.5826652,1.0
1771195729.7277117,1.0
1771195729.873511,1.0
1771195730.018657,1.0
1771195730.163749,1.0
1771195730.30896,1.0
1771195730.4539604,1.0
1771195730.5989234,1.0
1771195730.744141,1.0
1771195730.8894336,1.0
1771195731.0345669,1.0
1771195731.1796772,1.0
1771195731.324674,1.0
1771195731.4696746,1.0
1771195731.6147327,1.0
1771195731.7596884,1.0
1771195731.9050107,1.0
1771195732.050323,1.0
1771195732.1953063,1.0
1771195732.3402681,1.0
1771195732.485294,1.0
1771195732.6303236,1.0
1771195732.77529,1.0
1771195732.9203033,1.0
1771195733.0654638,1.0
1771195733.2104425,1.0
1771195733.3554926,1.0
1771195733.500496,1.0
1771195733.645507,1.0
1771195733.7908661,1.0
1771195733.9359524,1.0
1771195734.081189,1.0
1771195734.2263072,1.0
1771195734.3712583,1.0
1771195734.5162554,1.0
1771195734.6613245,1.0
1771195734.8064828,1.0
1771195734.9515164,1.0
1771195735.0967052,1.0
1771195735.2419024,1.0
1771195735.3872433,1.0
1771195735.5323331,1.0
1771195735.677381,1.0
1771195735.8227005,1.0
1771195735.9678159,1.0
1771195736.1127565,1.0
1771195736.2579112,1.0
1771195736.4031434,1.0
1771195736.5483084,1.0
1771195736.6934521,1.0
1771195736.8388171,1.0
1771195736.983971,1.0
1771195737.1290674,1.0
1771195737.2744029,1.0
1771195737.4193532,1.0
1771195737.564465,1.0
1771195737.709569,1.0
1771195737.854819,1.0
1771195738.0002193,1.0
1771195738.145223,1.0
1771195738.2905357,1.0
1771195738.4357498,1.0
1771195738.5807424,1.0
1771195738.72576,1.0
1771195738.8709934,1.0
1771195739.016061,1.0
1771195739.1610932,1.0
1771195739.3062239,1.0
1771195739.451325,1.0
1771195739.5961213,1.0
1771195739.7413373,1.0
1771195739.8867319,1.0
1771195740.0318327,1.0
1771195740.176892,1.0
1771195740.3219268,1.0
1771195740.4668229,1.0
1771195740.611758,1.0
1771195740.7570736,1.0
1771195740.902437,1.0
1771195741.047381,1.0
1771195741.1924167,1.0
1771195741.3377576,1.0
1771195741.482829,1.0
1771195741.627896,1.0
1771195741.773115,1.0
1771195741.9183567,1.0
1771195742.063309,1.0
1771195742.208345,1.0
1771195742.3534853,1.0
1771195742.498632,1.0
1771195742.6436467,1.0
1771195742.7889087,1.0
1771195742.9339614,1.0
1771195743.07915,1.0
1771195743.2242823,1.0
1771195743.3694067,1.0
1771195743.5143912,1.0
1771195743.6593404,1.0
1771195743.804489,1.0
1771195743.949785,1.0
1771195744.0949342,1.0
1771195744.240187,1.0
1771195744.3850846,1.0
1771195744.5302608,1.0
1771195744.675287,1.0
1771195744.8206325,1.0
1771195744.9655507,1.0
1771195745.1107204,1.0
1771195745.2556038,1.0
1771195745.4004729,1.0
1771195745.5453389,1.0
1771195745.6905253,1.0
1771195745.8356123,1.0
1771195745.9807324,1.0
1771195746.1256788,1.0
1771195746.27077,1.0
1771195746.4156694,1.0
1771195746.5607946,1.0
1771195746.7059288,1.0
1771195746.8511803,1.0
1771195746.996179,1.0
1771195747.1411462,1.0
1771195747.2860703,1.0
1771195747.4312282,1.0
1771195747.5762699,1.0
1771195747.7213414,1.0
1771195747.866453,1.0
1771195748.0117276,1.0
1771195748.1568758,1.0
1771195748.3025815,1.0
1771195748.4481184,1.0
1771195748.594157,1.0
1771195748.7406373,1.0
1771195748.8857353,1.0
1771195749.030649,1.0
1771195749.175608,1.0
1771195749.3207483,1.0
1771195749.465704,1.0
1771195749.6106331,1.0
1771195749.7567677,1.0
1771195749.9021685,1.0
1771195750.0472586,1.0
1771195750.1921537,1.0
1771195750.3371634,1.0
1771195750.4823115,1.0
1771195750.627266,1.0
1771195750.772543,1.0
1771195750.9174976,1.0
1771195751.0623307,1.0
1771195751.2073188,1.0
1771195751.3524933,1.0
1771195751.4973638,1.0
1771195751.6422641,1.0
1771195751.7873516,1.0
1771195751.9322844,1.0
1771195752.0770786,1.0
1771195752.2221777,1.0
1771195752.367026,1.0
1771195752.5119967,1.0
1771195752.6569314,1.0
1771195752.8019795,1.0
1771195752.9469635,1.0
1771195753.0920036,1.0
1771195753.2367845,1.0
1771195753.381876,1.0
1771195753.5268888,1.0
1771195753.671932,1.0
1771195753.816952,1.0
1771195753.9619153,1.0
1771195754.106848,1.0
1771195754.2519288,1.0
1771195754.396817,1.0
1771195754.5418594,1.0
1771195754.6869504,1.0
1771195754.8319387,1.0
1771195754.9768977,1.0
1771195755.1219194,1.0
1771195755.2669003,1.0
1771195755.4118578,1.0
1771195755.5568273,1.0
1771195755.7017965,1.0
1771195755.8469355,1.0
1771195755.9917827,1.0
1771195756.1366684,1.0
1771195756.2816362,1.0
1771195756.4266577,1.0
1771195756.571702,1.0
1771195756.7167222,1.0
1771195756.8622086,1.0
1771195757.0074303,1.0
1771195757.1525028,1.0
1771195757.2974496,1.0
1771195757.4423988,1.0
1771195757.5874572,1.0
1771195757.7326484,1.0
1771195757.8780382,1.0
1771195758.0229862,1.0
1771195758.1690667,1.0
1771195758.3156784,1.0
1771195758.4621181,1.0
1771195758.6085098,1.0
1771195758.755353,1.0
1771195758.9018807,1.0
1771195759.0482724,1.0
1771195759.1948826,1.0
1771195759.341407,1.0
1771195759.4878151,1.0
1771195759.6345458,1.0
1771195759.7809615,1.0
1771195759.927292,1.0
1771195760.073883,1.0
