time,scope,value
1764818757.0896876,nrm.extra.perf.PAPI_L3_TCA.448521,1122366581.0
1764818757.0896876,nrm.extra.perf.PAPI_TOT_INS.448521,66047800546.0
1764818757.0896876,nrm.extra.perf.PAPI_TOT_CYC.448521,231471665345.0
1764818757.0896876,nrm.extra.perf.PAPI_RES_STL.448521,159625427931.0
1764818757.0896876,nrm.extra.perf.PAPI_L3_TCM.448521,988219644.0
1764818758.0913374,nrm.extra.perf.PAPI_L3_TCA.448521,2304470020.0
1764818758.0913374,nrm.extra.perf.PAPI_TOT_INS.448521,133559239593.0
1764818758.0913374,nrm.extra.perf.PAPI_TOT_CYC.448521,450955281358.0
1764818758.0913374,nrm.extra.perf.PAPI_RES_STL.448521,310158992881.0
1764818758.0913374,nrm.extra.perf.PAPI_L3_TCM.448521,2026690460.0
1764818759.0908158,nrm.extra.perf.PAPI_L3_TCA.448521,3596084155.0
1764818759.0908158,nrm.extra.perf.PAPI_TOT_INS.448521,205591613450.0
1764818759.0908158,nrm.extra.perf.PAPI_TOT_CYC.448521,612276342822.0
1764818759.0908158,nrm.extra.perf.PAPI_RES_STL.448521,406612989663.0
1764818759.0908158,nrm.extra.perf.PAPI_L3_TCM.448521,3162631026.0
1764818760.089824,nrm.extra.perf.PAPI_L3_TCA.448521,5088554222.0
1764818760.089824,nrm.extra.perf.PAPI_TOT_INS.448521,287354269225.0
1764818760.089824,nrm.extra.perf.PAPI_TOT_CYC.448521,783943867018.0
1764818760.089824,nrm.extra.perf.PAPI_RES_STL.448521,509598791594.0
1764818760.089824,nrm.extra.perf.PAPI_L3_TCM.448521,4475876188.0
1764818761.0937302,nrm.extra.perf.PAPI_L3_TCA.448521,6587504461.0
1764818761.0937302,nrm.extra.perf.PAPI_TOT_INS.448521,369683043257.0
1764818761.0937302,nrm.extra.perf.PAPI_TOT_CYC.448521,956389373101.0
1764818761.0937302,nrm.extra.perf.PAPI_RES_STL.448521,612993084945.0
1764818761.0937302,nrm.extra.perf.PAPI_L3_TCM.448521,5800418303.0
1764818762.0908904,nrm.extra.perf.PAPI_L3_TCA.448521,8077132273.0
1764818762.0908904,nrm.extra.perf.PAPI_TOT_INS.448521,451727602644.0
1764818762.0908904,nrm.extra.perf.PAPI_TOT_CYC.448521,1128352869512.0
1764818762.0908904,nrm.extra.perf.PAPI_RES_STL.448521,715362922356.0
1764818762.0908904,nrm.extra.perf.PAPI_L3_TCM.448521,7109910717.0
1764818763.0937266,nrm.extra.perf.PAPI_L3_TCA.448521,9566202150.0
1764818763.0937266,nrm.extra.perf.PAPI_TOT_INS.448521,533820975413.0
1764818763.0937266,nrm.extra.perf.PAPI_TOT_CYC.448521,1301046240700.0
1764818763.0937266,nrm.extra.perf.PAPI_RES_STL.448521,817999078241.0
1764818763.0937266,nrm.extra.perf.PAPI_L3_TCM.448521,8425686490.0
1764818764.0896306,nrm.extra.perf.PAPI_L3_TCA.448521,11014762956.0
1764818764.0896306,nrm.extra.perf.PAPI_TOT_INS.448521,613758322961.0
1764818764.0896306,nrm.extra.perf.PAPI_TOT_CYC.448521,1470883951421.0
1764818764.0896306,nrm.extra.perf.PAPI_RES_STL.448521,917402150994.0
1764818764.0896306,nrm.extra.perf.PAPI_L3_TCM.448521,9699864007.0
1764818765.0943837,nrm.extra.perf.PAPI_L3_TCA.448521,12487376239.0
1764818765.0943837,nrm.extra.perf.PAPI_TOT_INS.448521,695310952222.0
1764818765.0943837,nrm.extra.perf.PAPI_TOT_CYC.448521,1642850736998.0
1764818765.0943837,nrm.extra.perf.PAPI_RES_STL.448521,1018377696956.0
1764818765.0943837,nrm.extra.perf.PAPI_L3_TCM.448521,10996075147.0
1764818766.0897298,nrm.extra.perf.PAPI_L3_TCA.448521,14011740889.0
1764818766.0897298,nrm.extra.perf.PAPI_TOT_INS.448521,778783062862.0
1764818766.0897298,nrm.extra.perf.PAPI_TOT_CYC.448521,1813026018146.0
1764818766.0897298,nrm.extra.perf.PAPI_RES_STL.448521,1120701340148.0
1764818766.0897298,nrm.extra.perf.PAPI_L3_TCM.448521,12324301592.0
1764818767.100362,nrm.extra.perf.PAPI_L3_TCA.448521,15546393258.0
1764818767.100362,nrm.extra.perf.PAPI_TOT_INS.448521,862844270874.0
1764818767.100362,nrm.extra.perf.PAPI_TOT_CYC.448521,1984598077469.0
1764818767.100362,nrm.extra.perf.PAPI_RES_STL.448521,1224071314270.0
1764818767.100362,nrm.extra.perf.PAPI_L3_TCM.448521,13670185342.0
1764818768.0997353,nrm.extra.perf.PAPI_L3_TCA.448521,17065314220.0
1764818768.0997353,nrm.extra.perf.PAPI_TOT_INS.448521,946120418109.0
1764818768.0997353,nrm.extra.perf.PAPI_TOT_CYC.448521,2154591864214.0
1764818768.0997353,nrm.extra.perf.PAPI_RES_STL.448521,1326127998317.0
1764818768.0997353,nrm.extra.perf.PAPI_L3_TCM.448521,14999580452.0
1764818769.0901575,nrm.extra.perf.PAPI_L3_TCA.448521,18559266613.0
1764818769.0901575,nrm.extra.perf.PAPI_TOT_INS.448521,1028357343556.0
1764818769.0901575,nrm.extra.perf.PAPI_TOT_CYC.448521,2323300584199.0
1764818769.0901575,nrm.extra.perf.PAPI_RES_STL.448521,1425602438619.0
1764818769.0901575,nrm.extra.perf.PAPI_L3_TCM.448521,16287812946.0
1764818770.0913231,nrm.extra.perf.PAPI_L3_TCA.448521,20097454384.0
1764818770.0913231,nrm.extra.perf.PAPI_TOT_INS.448521,1112533040314.0
1764818770.0913231,nrm.extra.perf.PAPI_TOT_CYC.448521,2493833291289.0
1764818770.0913231,nrm.extra.perf.PAPI_RES_STL.448521,1527603963940.0
1764818770.0913231,nrm.extra.perf.PAPI_L3_TCM.448521,17626702364.0
1764818771.089805,nrm.extra.perf.PAPI_L3_TCA.448521,21551109189.0
1764818771.089805,nrm.extra.perf.PAPI_TOT_INS.448521,1193640168591.0
1764818771.089805,nrm.extra.perf.PAPI_TOT_CYC.448521,2664544155801.0
1764818771.089805,nrm.extra.perf.PAPI_RES_STL.448521,1623644532651.0
1764818771.089805,nrm.extra.perf.PAPI_L3_TCM.448521,18894015326.0
1764818772.0911448,nrm.extra.perf.PAPI_L3_TCA.448521,23035159237.0
1764818772.0911448,nrm.extra.perf.PAPI_TOT_INS.448521,1276561358499.0
1764818772.0911448,nrm.extra.perf.PAPI_TOT_CYC.448521,2838925137050.0
1764818772.0911448,nrm.extra.perf.PAPI_RES_STL.448521,1722162733806.0
1764818772.0911448,nrm.extra.perf.PAPI_L3_TCM.448521,20187011276.0
1764818773.0895107,nrm.extra.perf.PAPI_L3_TCA.448521,24518449701.0
1764818773.0895107,nrm.extra.perf.PAPI_TOT_INS.448521,1359429022822.0
1764818773.0895107,nrm.extra.perf.PAPI_TOT_CYC.448521,3013262620586.0
1764818773.0895107,nrm.extra.perf.PAPI_RES_STL.448521,1820569613130.0
