time,scope,value
1749169091.2060022,nrm.extra.perf.PAPI_L3_TCA.253553,2473485323.0
1749169091.2060022,nrm.extra.perf.PAPI_TOT_INS.253553,41109181777.0
1749169091.2060022,nrm.extra.perf.PAPI_TOT_CYC.253553,294306401602.0
1749169091.2060022,nrm.extra.perf.PAPI_RES_STL.253553,264856242606.0
1749169091.2060022,nrm.extra.perf.PAPI_L3_TCM.253553,2308748631.0
1749169092.2049754,nrm.extra.perf.PAPI_L3_TCA.253553,5025645485.0
1749169092.2049754,nrm.extra.perf.PAPI_TOT_INS.253553,83514738658.0
1749169092.2049754,nrm.extra.perf.PAPI_TOT_CYC.253553,596903862522.0
1749169092.2049754,nrm.extra.perf.PAPI_RES_STL.253553,536051098618.0
1749169092.2049754,nrm.extra.perf.PAPI_L3_TCM.253553,4687273729.0
1749169093.2084305,nrm.extra.perf.PAPI_L3_TCA.253553,6823452628.0
1749169093.2084305,nrm.extra.perf.PAPI_TOT_INS.253553,113619228331.0
1749169093.2084305,nrm.extra.perf.PAPI_TOT_CYC.253553,770943139632.0
1749169093.2084305,nrm.extra.perf.PAPI_RES_STL.253553,686797801625.0
1749169093.2084305,nrm.extra.perf.PAPI_L3_TCM.253553,6371354061.0
1749169094.2043135,nrm.extra.perf.PAPI_L3_TCA.253553,8610577269.0
1749169094.2043135,nrm.extra.perf.PAPI_TOT_INS.253553,143507376654.0
1749169094.2043135,nrm.extra.perf.PAPI_TOT_CYC.253553,940491815217.0
1749169094.2043135,nrm.extra.perf.PAPI_RES_STL.253553,832843437049.0
1749169094.2043135,nrm.extra.perf.PAPI_L3_TCM.253553,8032409154.0
1749169095.2065368,nrm.extra.perf.PAPI_L3_TCA.253553,10897977313.0
1749169095.2065368,nrm.extra.perf.PAPI_TOT_INS.253553,181409522465.0
1749169095.2065368,nrm.extra.perf.PAPI_TOT_CYC.253553,1163123015100.0
1749169095.2065368,nrm.extra.perf.PAPI_RES_STL.253553,1028735247568.0
1749169095.2065368,nrm.extra.perf.PAPI_L3_TCM.253553,10176308404.0
1749169096.2051163,nrm.extra.perf.PAPI_L3_TCA.253553,13185513104.0
1749169096.2051163,nrm.extra.perf.PAPI_TOT_INS.253553,219280339156.0
1749169096.2051163,nrm.extra.perf.PAPI_TOT_CYC.253553,1385469656538.0
1749169096.2051163,nrm.extra.perf.PAPI_RES_STL.253553,1224005365785.0
1749169096.2051163,nrm.extra.perf.PAPI_L3_TCM.253553,12308772195.0
1749169097.203192,nrm.extra.perf.PAPI_L3_TCA.253553,15473705099.0
1749169097.203192,nrm.extra.perf.PAPI_TOT_INS.253553,257128251821.0
1749169097.203192,nrm.extra.perf.PAPI_TOT_CYC.253553,1607607108339.0
1749169097.203192,nrm.extra.perf.PAPI_RES_STL.253553,1419174670707.0
1749169097.203192,nrm.extra.perf.PAPI_L3_TCM.253553,14441272837.0
1749169098.2038777,nrm.extra.perf.PAPI_L3_TCA.253553,17767711764.0
1749169098.2038777,nrm.extra.perf.PAPI_TOT_INS.253553,295075669889.0
1749169098.2038777,nrm.extra.perf.PAPI_TOT_CYC.253553,1830446003662.0
1749169098.2038777,nrm.extra.perf.PAPI_RES_STL.253553,1615460450434.0
1749169098.2038777,nrm.extra.perf.PAPI_L3_TCM.253553,16585395023.0
1749169099.205503,nrm.extra.perf.PAPI_L3_TCA.253553,20036149480.0
1749169099.205503,nrm.extra.perf.PAPI_TOT_INS.253553,332757062055.0
1749169099.205503,nrm.extra.perf.PAPI_TOT_CYC.253553,2051795401884.0
