time,scope,value
1763964254.1891403,nrm.extra.perf.PAPI_L3_TCA.222525,2438659967.0
1763964254.1891403,nrm.extra.perf.PAPI_TOT_INS.222525,41372536272.0
1763964254.1891403,nrm.extra.perf.PAPI_TOT_CYC.222525,285619162814.0
1763964254.1891403,nrm.extra.perf.PAPI_RES_STL.222525,252686478589.0
1763964254.1891403,nrm.extra.perf.PAPI_L3_TCM.222525,2276957180.0
1763964255.189345,nrm.extra.perf.PAPI_L3_TCA.222525,4961703742.0
1763964255.189345,nrm.extra.perf.PAPI_TOT_INS.222525,83664377750.0
1763964255.189345,nrm.extra.perf.PAPI_TOT_CYC.222525,575497679861.0
1763964255.189345,nrm.extra.perf.PAPI_RES_STL.222525,511617512213.0
1763964255.189345,nrm.extra.perf.PAPI_L3_TCM.222525,4638181187.0
1763964256.195176,nrm.extra.perf.PAPI_L3_TCA.222525,7136881367.0
1763964256.195176,nrm.extra.perf.PAPI_TOT_INS.222525,119739125764.0
1763964256.195176,nrm.extra.perf.PAPI_TOT_CYC.222525,775601077948.0
1763964256.195176,nrm.extra.perf.PAPI_RES_STL.222525,687828409866.0
1763964256.195176,nrm.extra.perf.PAPI_L3_TCM.222525,6679345959.0
1763964257.1925507,nrm.extra.perf.PAPI_L3_TCA.222525,9293778124.0
1763964257.1925507,nrm.extra.perf.PAPI_TOT_INS.222525,155200272277.0
1763964257.1925507,nrm.extra.perf.PAPI_TOT_CYC.222525,959419235192.0
1763964257.1925507,nrm.extra.perf.PAPI_RES_STL.222525,850028935348.0
1763964257.1925507,nrm.extra.perf.PAPI_L3_TCM.222525,8692479148.0
1763964258.1899583,nrm.extra.perf.PAPI_L3_TCA.222525,11458207879.0
1763964258.1899583,nrm.extra.perf.PAPI_TOT_INS.222525,190693294727.0
1763964258.1899583,nrm.extra.perf.PAPI_TOT_CYC.222525,1143084203334.0
1763964258.1899583,nrm.extra.perf.PAPI_RES_STL.222525,1012549431280.0
1763964258.1899583,nrm.extra.perf.PAPI_L3_TCM.222525,10715278899.0
1763964259.1925519,nrm.extra.perf.PAPI_L3_TCA.222525,13625918342.0
1763964259.1925519,nrm.extra.perf.PAPI_TOT_INS.222525,226246757051.0
1763964259.1925519,nrm.extra.perf.PAPI_TOT_CYC.222525,1327155987551.0
1763964259.1925519,nrm.extra.perf.PAPI_RES_STL.222525,1175566105888.0
1763964259.1925519,nrm.extra.perf.PAPI_L3_TCM.222525,12748374818.0
1763964260.1898777,nrm.extra.perf.PAPI_L3_TCA.222525,15772487903.0
1763964260.1898777,nrm.extra.perf.PAPI_TOT_INS.222525,261603334777.0
1763964260.1898777,nrm.extra.perf.PAPI_TOT_CYC.222525,1511363040239.0
1763964260.1898777,nrm.extra.perf.PAPI_RES_STL.222525,1337741538709.0
1763964260.1898777,nrm.extra.perf.PAPI_L3_TCM.222525,14751546472.0
1763964261.191528,nrm.extra.perf.PAPI_L3_TCA.222525,17886340620.0
1763964261.191528,nrm.extra.perf.PAPI_TOT_INS.222525,296754606876.0
1763964261.191528,nrm.extra.perf.PAPI_TOT_CYC.222525,1694493000249.0
1763964261.191528,nrm.extra.perf.PAPI_RES_STL.222525,1496887292808.0
1763964261.191528,nrm.extra.perf.PAPI_L3_TCM.222525,16732154003.0
1763964262.1909182,nrm.extra.perf.PAPI_L3_TCA.222525,20045722575.0
1763964262.1909182,nrm.extra.perf.PAPI_TOT_INS.222525,332259021207.0
1763964262.1909182,nrm.extra.perf.PAPI_TOT_CYC.222525,1878625026762.0
1763964262.1909182,nrm.extra.perf.PAPI_RES_STL.222525,1659153140644.0
1763964262.1909182,nrm.extra.perf.PAPI_L3_TCM.222525,18752571082.0
1763964263.1903877,nrm.extra.perf.PAPI_L3_TCA.222525,22164453612.0
1763964263.1903877,nrm.extra.perf.PAPI_TOT_INS.222525,367294562223.0
1763964263.1903877,nrm.extra.perf.PAPI_TOT_CYC.222525,2060885790550.0
1763964263.1903877,nrm.extra.perf.PAPI_RES_STL.222525,1818711066593.0
1763964263.1903877,nrm.extra.perf.PAPI_L3_TCM.222525,20734447044.0
1763964264.1927195,nrm.extra.perf.PAPI_L3_TCA.222525,24324482463.0
1763964264.1927195,nrm.extra.perf.PAPI_TOT_INS.222525,402833136232.0
1763964264.1927195,nrm.extra.perf.PAPI_TOT_CYC.222525,2246044061858.0
1763964264.1927195,nrm.extra.perf.PAPI_RES_STL.222525,1981989024712.0
1763964264.1927195,nrm.extra.perf.PAPI_L3_TCM.222525,22757158255.0
1763964265.1915772,nrm.extra.perf.PAPI_L3_TCA.222525,26461156601.0
1763964265.1915772,nrm.extra.perf.PAPI_TOT_INS.222525,438302307706.0
1763964265.1915772,nrm.extra.perf.PAPI_TOT_CYC.222525,2429892269726.0
