time,value
1764785635.8912675,2.0
1764785635.9061048,3.0
1764785635.9207067,3.0
1764785635.9309604,2.0
1764785635.9456668,3.0
1764785635.960489,3.0
1764785635.9752674,3.0
1764785635.9900436,3.0
1764785636.0000498,2.0
1764785636.0148249,3.0
1764785636.0296047,3.0
1764785636.0396342,2.0
1764785636.054399,3.0
1764785636.069115,3.0
1764785636.0791826,2.0
1764785636.0937357,3.0
1764785636.1083004,3.0
1764785636.122867,3.0
1764785636.1375244,3.0
1764785636.152137,3.0
1764785636.16669,3.0
1764785636.1812105,3.0
1764785636.1957707,3.0
1764785636.2103133,3.0
1764785636.2248225,3.0
1764785636.2393513,3.0
1764785636.2538772,3.0
1764785636.2683969,3.0
1764785636.2828903,3.0
1764785636.297408,3.0
1764785636.3119206,3.0
1764785636.3264608,3.0
1764785636.3409872,3.0
1764785636.355525,3.0
1764785636.3700492,3.0
1764785636.3845932,3.0
1764785636.3991482,3.0
1764785636.413715,3.0
1764785636.4282835,3.0
1764785636.4428341,3.0
1764785636.457412,3.0
1764785636.4719481,3.0
1764785636.486514,3.0
1764785636.5011737,3.0
1764785636.515737,3.0
1764785636.5303037,3.0
1764785636.5448515,3.0
1764785636.559393,3.0
1764785636.5739434,3.0
1764785636.5884845,3.0
1764785636.6030214,3.0
1764785636.617575,3.0
1764785636.6321104,3.0
1764785636.6467671,3.0
1764785636.6613498,3.0
1764785636.6759012,3.0
1764785636.690559,3.0
1764785636.7050993,3.0
1764785636.7196615,3.0
1764785636.7342403,3.0
1764785636.748804,3.0
1764785636.7633674,3.0
1764785636.7779355,3.0
1764785636.7924843,3.0
1764785636.8070233,3.0
1764785636.8215857,3.0
1764785636.8525257,3.0
1764785636.8670747,3.0
1764785636.881429,3.0
1764785636.8957798,3.0
1764785636.9100833,3.0
1764785636.9244761,3.0
1764785636.9387727,3.0
1764785636.9530902,3.0
1764785636.9674158,3.0
1764785636.9817338,3.0
1764785636.9964228,3.0
1764785637.0107598,3.0
1764785637.02509,3.0
1764785637.0394216,3.0
1764785637.0537224,3.0
1764785637.0680346,3.0
1764785637.082465,3.0
1764785637.0968046,3.0
1764785637.1111207,3.0
1764785637.1254597,3.0
1764785637.139779,3.0
1764785637.1541107,3.0
1764785637.168421,3.0
1764785637.182729,3.0
1764785637.1970403,3.0
1764785637.2113717,3.0
1764785637.225682,3.0
1764785637.239999,3.0
1764785637.254321,3.0
1764785637.268653,3.0
1764785637.2829623,3.0
1764785637.2972941,3.0
1764785637.3116,3.0
