time,actuator,value
1771129849.3554099,Actuator(ptr=c_void_p(993799744)),165.0
1771129851.3620815,Actuator(ptr=c_void_p(993799744)),78.0
1771129853.3634171,Actuator(ptr=c_void_p(993799744)),78.0
1771129855.3630416,Actuator(ptr=c_void_p(993799744)),78.0
1771129857.3644967,Actuator(ptr=c_void_p(993799744)),78.0
1771129859.3632936,Actuator(ptr=c_void_p(993799744)),78.0
1771129861.3640172,Actuator(ptr=c_void_p(993799744)),78.0
1771129863.3628824,Actuator(ptr=c_void_p(993799744)),78.0
1771129865.3637817,Actuator(ptr=c_void_p(993799744)),78.0
1771129867.3721015,Actuator(ptr=c_void_p(993799744)),78.0
1771129869.3640893,Actuator(ptr=c_void_p(993799744)),78.0
1771129871.3638775,Actuator(ptr=c_void_p(993799744)),78.0
1771129873.3627975,Actuator(ptr=c_void_p(993799744)),78.0
1771129875.361859,Actuator(ptr=c_void_p(993799744)),78.0
1771129877.3625908,Actuator(ptr=c_void_p(993799744)),78.0
1771129879.3704216,Actuator(ptr=c_void_p(993799744)),78.0
1771129881.3644633,Actuator(ptr=c_void_p(993799744)),78.0
1771129883.3647158,Actuator(ptr=c_void_p(993799744)),78.0
1771129885.3631747,Actuator(ptr=c_void_p(993799744)),78.0
1771129887.3651328,Actuator(ptr=c_void_p(993799744)),78.0
1771129889.3659198,Actuator(ptr=c_void_p(993799744)),78.0
1771129891.36321,Actuator(ptr=c_void_p(993799744)),78.0
1771129893.363039,Actuator(ptr=c_void_p(993799744)),78.0
1771129895.363666,Actuator(ptr=c_void_p(993799744)),78.0
1771129897.3648243,Actuator(ptr=c_void_p(993799744)),78.0
1771129899.36345,Actuator(ptr=c_void_p(993799744)),78.0
1771129901.363898,Actuator(ptr=c_void_p(993799744)),78.0
1771129903.370363,Actuator(ptr=c_void_p(993799744)),78.0
1771129905.3647883,Actuator(ptr=c_void_p(993799744)),78.0
1771129907.3627744,Actuator(ptr=c_void_p(993799744)),78.0
