time,scope,value
1771136769.7283351,0,38238057.1651001
1771136769.7283351,1,38238057.1651001
1771136770.7287726,0,38238207.07354736
1771136770.7287726,1,38238207.07354736
1771136771.7284236,0,38238295.9029541
1771136771.7284236,1,38238295.9029541
1771136772.7283692,0,38238373.7119751
1771136772.7283692,1,38238373.7119751
1771136773.7284324,0,38238451.47015381
1771136773.7284324,1,38238451.47015381
1771136774.7283974,0,38238529.17889404
1771136774.7283974,1,38238529.17889404
1771136775.7284355,0,38238607.02471924
1771136775.7284355,1,38238607.02471924
1771136776.7284358,0,38238684.735839844
1771136776.7284358,1,38238684.81561279
1771136777.7284324,0,38238762.593933105
1771136777.7284324,1,38238762.593933105
1771136778.7284245,0,38238840.31652832
1771136778.7284245,1,38238840.31652832
1771136779.728416,0,38238918.109069824
1771136779.728416,1,38238918.109069824
1771136780.7283845,0,38238995.88012695
1771136780.7283845,1,38238995.88012695
1771136781.7284288,0,38239073.61480713
1771136781.7284288,1,38239073.61480713
1771136782.7284174,0,38239151.436035156
1771136782.7284174,1,38239151.436035156
1771136783.7284226,0,38239229.17541504
1771136783.7284226,1,38239229.17541504
1771136784.728416,0,38239306.99835205
1771136784.728416,1,38239306.99835205
1771136785.7284224,0,38239384.767822266
1771136785.7284224,1,38239385.00299072
1771136786.7284288,0,38239462.48773193
1771136786.7284288,1,38239462.57006836
1771136787.7284133,0,38239540.25164795
1771136787.7284133,1,38239540.34375
1771136788.7284226,0,38239618.095214844
1771136788.7284226,1,38239618.095214844
1771136789.7284076,0,38239695.82525635
1771136789.7284076,1,38239695.910583496
1771136790.7284093,0,38239773.66064453
1771136790.7284093,1,38239773.66064453
1771136791.7283814,0,38239851.42706299
1771136791.7283814,1,38239851.42706299
1771136792.728366,0,38239929.164367676
1771136792.728366,1,38239929.164367676
1771136793.7284222,0,38240006.93847656
1771136793.7284222,1,38240006.99560547
1771136794.7293785,0,38240084.83380127
1771136794.7293785,1,38240084.83380127
1771136795.7284212,0,38240162.50128174
1771136795.7284212,1,38240162.50128174
1771136796.7284198,0,38240240.26989746
1771136796.7284198,1,38240240.26989746
1771136797.728428,0,38240318.07470703
1771136797.728428,1,38240318.07470703
1771136798.7283401,0,38240395.82904053
1771136798.7283401,1,38240395.82904053
1771136799.7284248,0,38240473.59295654
1771136799.7284248,1,38240473.59295654
1771136800.728423,0,38240551.33526611
1771136800.728423,1,38240551.416381836
1771136801.7284179,0,38240629.11462402
1771136801.7284179,1,38240629.19464111
1771136802.7284248,0,38240706.91278076
1771136802.7284248,1,38240706.91278076
1771136803.7284286,0,38240784.72491455
1771136803.7284286,1,38240784.72491455
1771136804.72844,0,38240862.46228027
1771136804.72844,1,38240862.46228027
1771136805.728411,0,38240940.22216797
1771136805.728411,1,38240940.30133057
1771136806.7284205,0,38241017.961364746
1771136806.7284205,1,38241018.03991699
1771136807.7284348,0,38241095.77960205
1771136807.7284348,1,38241095.77960205
1771136808.7284362,0,38241173.536621094
1771136808.7284362,1,38241173.536621094
1771136809.728406,0,38241251.2701416
1771136809.728406,1,38241251.34680176
1771136810.7283962,0,38241329.043151855
1771136810.7283962,1,38241329.043151855
1771136811.728374,0,38241406.868774414
1771136811.728374,1,38241406.868774414
1771136812.7284114,0,38241484.61462402
1771136812.7284114,1,38241484.61462402
1771136813.7284164,0,38241562.37835693
1771136813.7284164,1,38241562.441345215
1771136814.7284148,0,38241640.113708496
1771136814.7284148,1,38241640.197509766
1771136815.728414,0,38241717.94604492
1771136815.728414,1,38241717.94604492
1771136816.7284317,0,38241795.70739746
1771136816.7284317,1,38241795.70739746
1771136817.7284198,0,38241873.464782715
1771136817.7284198,1,38241873.464782715
1771136818.728417,0,38241951.19744873
1771136818.728417,1,38241951.27832031
1771136819.7284396,0,38242028.972229004
1771136819.7284396,1,38242029.05407715
1771136820.7283828,0,38242106.79522705
1771136820.7283828,1,38242106.79522705
1771136821.729466,0,38242184.61895752
1771136821.729466,1,38242184.61895752
1771136822.7284334,0,38242262.28100586
1771136822.7284334,1,38242262.36053467
1771136823.7284214,0,38242340.10699463
1771136823.7284214,1,38242340.10699463
1771136824.728415,0,38242417.83660889
1771136824.728415,1,38242417.83660889
1771136825.728411,0,38242495.584472656
1771136825.728411,1,38242495.584472656
1771136826.7284203,0,38242573.41113281
1771136826.7284203,1,38242573.41113281
