time,scope,value
1750442168.3014164,nrm.extra.perf.PAPI_L3_TCA.183846,2316557700.0
1750442168.3014164,nrm.extra.perf.PAPI_TOT_INS.183846,48758140470.0
1750442168.3014164,nrm.extra.perf.PAPI_TOT_CYC.183846,294169028991.0
1750442168.3014164,nrm.extra.perf.PAPI_RES_STL.183846,255712248932.0
1750442168.3014164,nrm.extra.perf.PAPI_L3_TCM.183846,2047019274.0
1750442169.2998354,nrm.extra.perf.PAPI_L3_TCA.183846,4668324911.0
1750442169.2998354,nrm.extra.perf.PAPI_TOT_INS.183846,98220982260.0
1750442169.2998354,nrm.extra.perf.PAPI_TOT_CYC.183846,593606056796.0
1750442169.2998354,nrm.extra.perf.PAPI_RES_STL.183846,515324806655.0
1750442169.2998354,nrm.extra.perf.PAPI_L3_TCM.183846,4123428223.0
1750442170.302239,nrm.extra.perf.PAPI_L3_TCA.183846,6458295495.0
1750442170.302239,nrm.extra.perf.PAPI_TOT_INS.183846,137404644578.0
1750442170.302239,nrm.extra.perf.PAPI_TOT_CYC.183846,784829035265.0
1750442170.302239,nrm.extra.perf.PAPI_RES_STL.183846,665798400730.0
1750442170.302239,nrm.extra.perf.PAPI_L3_TCM.183846,5709107698.0
1750442171.301517,nrm.extra.perf.PAPI_L3_TCA.183846,8309276166.0
1750442171.301517,nrm.extra.perf.PAPI_TOT_INS.183846,177120222940.0
1750442171.301517,nrm.extra.perf.PAPI_TOT_CYC.183846,974354214913.0
1750442171.301517,nrm.extra.perf.PAPI_RES_STL.183846,818769096184.0
1750442171.301517,nrm.extra.perf.PAPI_L3_TCM.183846,7346846359.0
1750442172.300229,nrm.extra.perf.PAPI_L3_TCA.183846,10543719545.0
1750442172.300229,nrm.extra.perf.PAPI_TOT_INS.183846,223621596909.0
1750442172.300229,nrm.extra.perf.PAPI_TOT_CYC.183846,1224274047859.0
1750442172.300229,nrm.extra.perf.PAPI_RES_STL.183846,1034231872866.0
1750442172.300229,nrm.extra.perf.PAPI_L3_TCM.183846,9318092682.0
1750442173.3022933,nrm.extra.perf.PAPI_L3_TCA.183846,12760347357.0
1750442173.3022933,nrm.extra.perf.PAPI_TOT_INS.183846,269993666825.0
1750442173.3022933,nrm.extra.perf.PAPI_TOT_CYC.183846,1473042653896.0
1750442173.3022933,nrm.extra.perf.PAPI_RES_STL.183846,1247939825482.0
1750442173.3022933,nrm.extra.perf.PAPI_L3_TCM.183846,11282264792.0
1750442174.301426,nrm.extra.perf.PAPI_L3_TCA.183846,14901280342.0
1750442174.301426,nrm.extra.perf.PAPI_TOT_INS.183846,314496294724.0
1750442174.301426,nrm.extra.perf.PAPI_TOT_CYC.183846,1696225504201.0
1750442174.301426,nrm.extra.perf.PAPI_RES_STL.183846,1438995422835.0
1750442174.301426,nrm.extra.perf.PAPI_L3_TCM.183846,13172590693.0
1750442175.3025312,nrm.extra.perf.PAPI_L3_TCA.183846,17001122353.0
1750442175.3025312,nrm.extra.perf.PAPI_TOT_INS.183846,358597499055.0
1750442175.3025312,nrm.extra.perf.PAPI_TOT_CYC.183846,1919483058524.0
1750442175.3025312,nrm.extra.perf.PAPI_RES_STL.183846,1627791088298.0
1750442175.3025312,nrm.extra.perf.PAPI_L3_TCM.183846,15033199570.0
1750442176.2999165,nrm.extra.perf.PAPI_L3_TCA.183846,19239159161.0
1750442176.2999165,nrm.extra.perf.PAPI_TOT_INS.183846,405096101887.0
1750442176.2999165,nrm.extra.perf.PAPI_TOT_CYC.183846,2169042892831.0
1750442176.2999165,nrm.extra.perf.PAPI_RES_STL.183846,1843305680719.0
1750442176.2999165,nrm.extra.perf.PAPI_L3_TCM.183846,17004939373.0
1750442177.30168,nrm.extra.perf.PAPI_L3_TCA.183846,21434165521.0
1750442177.30168,nrm.extra.perf.PAPI_TOT_INS.183846,451091838445.0
1750442177.30168,nrm.extra.perf.PAPI_TOT_CYC.183846,2415943378759.0
1750442177.30168,nrm.extra.perf.PAPI_RES_STL.183846,2054652447868.0
1750442177.30168,nrm.extra.perf.PAPI_L3_TCM.183846,18947104965.0
1750442178.300023,nrm.extra.perf.PAPI_L3_TCA.183846,23565691730.0
1750442178.300023,nrm.extra.perf.PAPI_TOT_INS.183846,495453918826.0
1750442178.300023,nrm.extra.perf.PAPI_TOT_CYC.183846,2638739672299.0
1750442178.300023,nrm.extra.perf.PAPI_RES_STL.183846,2244915664274.0
1750442178.300023,nrm.extra.perf.PAPI_L3_TCM.183846,20830178082.0
1750442179.3031251,nrm.extra.perf.PAPI_L3_TCA.183846,25689170719.0
1750442179.3031251,nrm.extra.perf.PAPI_TOT_INS.183846,539990827180.0
1750442179.3031251,nrm.extra.perf.PAPI_TOT_CYC.183846,2863853072018.0
1750442179.3031251,nrm.extra.perf.PAPI_RES_STL.183846,2435938234692.0
1750442179.3031251,nrm.extra.perf.PAPI_L3_TCM.183846,22713255012.0
1750442180.3008788,nrm.extra.perf.PAPI_L3_TCA.183846,27923541919.0
1750442180.3008788,nrm.extra.perf.PAPI_TOT_INS.183846,586466145239.0
