time,scope,value
1751489117.6353014,0,115039.6566772461
1751489117.6353014,1,115039.79522705078
1751489118.6356483,0,115205.49285888672
1751489118.6356483,1,115206.15783691406
1751489119.6356654,0,115296.51574707031
1751489119.6356654,1,115296.64727783203
1751489120.635725,0,115374.14562988281
1751489120.635725,1,115374.27404785156
1751489121.6359243,0,115472.92950439453
1751489121.6359243,1,115473.08587646484
1751489122.6356652,0,115573.48065185547
1751489122.6356652,1,115573.88885498047
1751489123.635977,0,115674.33959960938
1751489123.635977,1,115674.515625
1751489124.6359816,0,115774.97827148438
1751489124.6359816,1,115775.38366699219
1751489125.635383,0,115875.85833740234
1751489125.635383,1,115876.03033447266
1751489126.6353033,0,115976.24536132812
1751489126.6353033,1,115976.41973876953
1751489127.6357071,0,116077.10162353516
1751489127.6357071,1,116077.49737548828
1751489128.6350198,0,116177.79559326172
1751489128.6350198,1,116177.86962890625
1751489129.6353855,0,116278.55682373047
1751489129.6353855,1,116278.94537353516
1751489130.6356928,0,116379.33312988281
1751489130.6356928,1,116379.54278564453
1751489131.6359963,0,116480.17584228516
1751489131.6359963,1,116480.38482666016
1751489132.6354802,0,116580.7474975586
1751489132.6354802,1,116580.83758544922
1751489133.6358361,0,116681.60693359375
1751489133.6358361,1,116681.79541015625
1751489134.6351767,0,116782.06658935547
1751489134.6351767,1,116782.4624633789
1751489135.6352966,0,116882.83764648438
1751489135.6352966,1,116883.21368408203
1751489136.63533,0,116983.607421875
1751489136.63533,1,116983.99951171875
1751489137.6350527,0,117084.0230102539
1751489137.6350527,1,117084.42852783203
1751489138.6350741,0,117185.01654052734
1751489138.6350741,1,117185.18981933594
1751489139.6355722,0,117285.5873413086
1751489139.6355722,1,117285.9702758789
1751489140.635793,0,117386.2279663086
1751489140.635793,1,117386.30657958984
1751489141.6353188,0,117487.20446777344
1751489141.6353188,1,117487.5053100586
1751489142.6355212,0,117587.8720703125
1751489142.6355212,1,117588.36059570312
1751489143.6358604,0,117688.63684082031
1751489143.6358604,1,117689.22625732422
1751489144.6351922,0,117789.19604492188
1751489144.6351922,1,117789.27807617188
1751489145.6356735,0,117890.0751953125
1751489145.6356735,1,117890.38446044922
1751489146.6354163,0,117990.515625
1751489146.6354163,1,117990.92236328125
1751489147.635118,0,118091.39526367188
1751489147.635118,1,118091.81066894531
1751489148.6357121,0,118192.16613769531
1751489148.6357121,1,118192.48046875
1751489149.635825,0,118293.02001953125
1751489149.635825,1,118293.43383789062
1751489150.635749,0,118393.39025878906
1751489150.635749,1,118393.75787353516
1751489151.6360152,0,118494.34631347656
1751489151.6360152,1,118494.63488769531
1751489152.63564,0,118595.01770019531
1751489152.63564,1,118595.39782714844
1751489153.635492,0,118695.7749633789
1751489153.635492,1,118696.16424560547
1751489154.6351383,0,118796.3267211914
1751489154.6351383,1,118796.62322998047
1751489155.635939,0,118896.90856933594
1751489155.635939,1,118897.41925048828
