time,scope,value
1764785753.712621,nrm.extra.perf.PAPI_L3_TCA.419870,2309720513.0
1764785753.712621,nrm.extra.perf.PAPI_TOT_INS.419870,48890925092.0
1764785753.712621,nrm.extra.perf.PAPI_TOT_CYC.419870,289489353764.0
1764785753.712621,nrm.extra.perf.PAPI_RES_STL.419870,253169682509.0
1764785753.712621,nrm.extra.perf.PAPI_L3_TCM.419870,2057159823.0
1764785754.7116609,nrm.extra.perf.PAPI_L3_TCA.419870,4719212093.0
1764785754.7116609,nrm.extra.perf.PAPI_TOT_INS.419870,98937254471.0
1764785754.7116609,nrm.extra.perf.PAPI_TOT_CYC.419870,583312621674.0
1764785754.7116609,nrm.extra.perf.PAPI_RES_STL.419870,515253502348.0
1764785754.7116609,nrm.extra.perf.PAPI_L3_TCM.419870,4198238127.0
1764785755.714513,nrm.extra.perf.PAPI_L3_TCA.419870,6711249624.0
1764785755.714513,nrm.extra.perf.PAPI_TOT_INS.419870,140458674719.0
1764785755.714513,nrm.extra.perf.PAPI_TOT_CYC.419870,781305768632.0
1764785755.714513,nrm.extra.perf.PAPI_RES_STL.419870,685636360223.0
1764785755.714513,nrm.extra.perf.PAPI_L3_TCM.419870,5970601841.0
1764785756.7091134,nrm.extra.perf.PAPI_L3_TCA.419870,8664194879.0
1764785756.7091134,nrm.extra.perf.PAPI_TOT_INS.419870,180858851901.0
1764785756.7091134,nrm.extra.perf.PAPI_TOT_CYC.419870,961095131087.0
1764785756.7091134,nrm.extra.perf.PAPI_RES_STL.419870,840321398867.0
1764785756.7091134,nrm.extra.perf.PAPI_L3_TCM.419870,7702116066.0
1764785757.712282,nrm.extra.perf.PAPI_L3_TCA.419870,10674918186.0
1764785757.712282,nrm.extra.perf.PAPI_TOT_INS.419870,222671983421.0
1764785757.712282,nrm.extra.perf.PAPI_TOT_CYC.419870,1158337026742.0
1764785757.712282,nrm.extra.perf.PAPI_RES_STL.419870,1010900457711.0
1764785757.712282,nrm.extra.perf.PAPI_L3_TCM.419870,9500033930.0
1764785758.7128215,nrm.extra.perf.PAPI_L3_TCA.419870,12702784270.0
1764785758.7128215,nrm.extra.perf.PAPI_TOT_INS.419870,264602541457.0
1764785758.7128215,nrm.extra.perf.PAPI_TOT_CYC.419870,1355386695986.0
1764785758.7128215,nrm.extra.perf.PAPI_RES_STL.419870,1182559745815.0
1764785758.7128215,nrm.extra.perf.PAPI_L3_TCM.419870,11306565762.0
1764785759.712124,nrm.extra.perf.PAPI_L3_TCA.419870,14731049988.0
1764785759.712124,nrm.extra.perf.PAPI_TOT_INS.419870,306492400827.0
1764785759.712124,nrm.extra.perf.PAPI_TOT_CYC.419870,1552011185126.0
1764785759.712124,nrm.extra.perf.PAPI_RES_STL.419870,1353963016774.0
1764785759.712124,nrm.extra.perf.PAPI_L3_TCM.419870,13112773260.0
1764785760.712742,nrm.extra.perf.PAPI_L3_TCA.419870,16741785451.0
1764785760.712742,nrm.extra.perf.PAPI_TOT_INS.419870,348375517235.0
1764785760.712742,nrm.extra.perf.PAPI_TOT_CYC.419870,1747980491625.0
1764785760.712742,nrm.extra.perf.PAPI_RES_STL.419870,1522477007281.0
