time,value
1764813040.8636928,3.0
1764813040.8747296,3.0
1764813040.8855894,3.0
1764813040.8962996,3.0
1764813040.906985,3.0
1764813040.917671,3.0
1764813040.928353,3.0
1764813040.939017,3.0
1764813040.9496617,3.0
1764813040.9602945,3.0
1764813040.9709435,3.0
1764813040.9816349,3.0
1764813040.9924119,3.0
1764813041.0032406,3.0
1764813041.0140884,3.0
1764813041.0249267,3.0
1764813041.035751,3.0
1764813041.0465982,3.0
1764813041.0574505,3.0
1764813041.0682714,3.0
1764813041.0790727,3.0
1764813041.089867,3.0
1764813041.1006937,3.0
1764813041.111509,3.0
1764813041.1223235,3.0
1764813041.1331046,3.0
1764813041.143914,3.0
1764813041.1547258,3.0
1764813041.1655428,3.0
1764813041.176337,3.0
1764813041.1870599,3.0
1764813041.1978457,3.0
1764813041.2086425,3.0
1764813041.2194612,3.0
1764813041.2302752,3.0
1764813041.241059,3.0
1764813041.2518826,3.0
1764813041.262712,3.0
1764813041.2735953,3.0
1764813041.284399,3.0
1764813041.2951531,3.0
1764813041.3059042,3.0
1764813041.316628,3.0
1764813041.3273678,3.0
1764813041.338066,3.0
1764813041.348795,3.0
1764813041.359527,3.0
1764813041.3702757,3.0
1764813041.3809886,3.0
1764813041.3917232,3.0
1764813041.4024386,3.0
1764813041.413154,3.0
1764813041.4238858,3.0
1764813041.434602,3.0
1764813041.4453886,3.0
1764813041.4562798,3.0
1764813041.4671695,3.0
1764813041.478045,3.0
1764813041.4891603,3.0
1764813041.4999514,3.0
1764813041.5108984,3.0
1764813041.5217865,3.0
1764813041.5327163,3.0
1764813041.5436225,3.0
1764813041.554534,3.0
1764813041.565249,3.0
1764813041.5759852,3.0
1764813041.5866406,3.0
1764813041.5972807,3.0
1764813041.6079066,3.0
1764813041.618556,3.0
1764813041.6291852,3.0
1764813041.639824,3.0
1764813041.6506033,3.0
1764813041.6612506,3.0
1764813041.6718962,3.0
1764813041.6825516,3.0
1764813041.6932013,3.0
1764813041.7038195,3.0
