time,actuator,value
1771153452.330252,Actuator(ptr=c_void_p(873077968)),165.0
1771153454.3360212,Actuator(ptr=c_void_p(873077968)),78.0
1771153456.33949,Actuator(ptr=c_void_p(873077968)),101.0
1771153458.3379397,Actuator(ptr=c_void_p(873077968)),78.0
1771153460.338313,Actuator(ptr=c_void_p(873077968)),101.0
1771153462.3369737,Actuator(ptr=c_void_p(873077968)),78.0
1771153464.3399894,Actuator(ptr=c_void_p(873077968)),101.0
1771153466.3412633,Actuator(ptr=c_void_p(873077968)),78.0
1771153468.3452318,Actuator(ptr=c_void_p(873077968)),101.0
1771153470.3387609,Actuator(ptr=c_void_p(873077968)),78.0
1771153472.3426745,Actuator(ptr=c_void_p(873077968)),101.0
1771153474.3379352,Actuator(ptr=c_void_p(873077968)),78.0
1771153476.3410816,Actuator(ptr=c_void_p(873077968)),101.0
1771153478.3397756,Actuator(ptr=c_void_p(873077968)),78.0
1771153480.3415356,Actuator(ptr=c_void_p(873077968)),101.0
1771153482.3388135,Actuator(ptr=c_void_p(873077968)),78.0
1771153484.350246,Actuator(ptr=c_void_p(873077968)),101.0
1771153486.340843,Actuator(ptr=c_void_p(873077968)),78.0
1771153488.3400514,Actuator(ptr=c_void_p(873077968)),101.0
1771153490.3403277,Actuator(ptr=c_void_p(873077968)),78.0
1771153492.3406856,Actuator(ptr=c_void_p(873077968)),101.0
