time,scope,value
1775063256.4110963,0,675429.2889404297
1775063256.4110963,1,675429.2889404297
1775063257.4109902,0,675577.7731323242
1775063257.4109902,1,675577.7731323242
1775063258.411097,0,675682.7666625977
1775063258.411097,1,675682.8399658203
1775063259.4110947,0,675760.6049194336
1775063259.4110947,1,675760.6049194336
1775063260.411073,0,675868.575378418
1775063260.411073,1,675868.575378418
1775063261.411087,0,675980.1979370117
1775063261.411087,1,675980.3083496094
1775063262.4111123,0,676127.2376708984
1775063262.4111123,1,676127.4016723633
1775063263.4110742,0,676276.3134765625
1775063263.4110742,1,676276.3134765625
1775063264.4111073,0,676388.2938232422
1775063264.4111073,1,676388.2938232422
1775063265.4110837,0,676482.9951171875
1775063265.4110837,1,676483.098815918
1775063266.4111273,0,676592.9248657227
1775063266.4111273,1,676592.9248657227
1775063267.4110856,0,676704.5760498047
1775063267.4110856,1,676704.5760498047
1775063268.411093,0,676821.5882568359
1775063268.411093,1,676821.7185668945
1775063269.4110718,0,676939.1559448242
1775063269.4110718,1,676939.302734375
1775063270.4110925,0,677056.9597167969
1775063270.4110925,1,677056.9597167969
1775063271.4110904,0,677174.6076049805
1775063271.4110904,1,677174.6076049805
1775063272.411091,0,677292.2458496094
1775063272.411091,1,677292.2458496094
1775063273.4111137,0,677409.8966064453
1775063273.4111137,1,677410.0061645508
1775063274.410988,0,677527.5213623047
1775063274.410988,1,677527.5213623047
1775063275.4110672,0,677645.2692260742
1775063275.4110672,1,677645.2692260742
1775063276.4110742,0,677762.938659668
1775063276.4110742,1,677762.938659668
1775063277.4110966,0,677880.6129760742
1775063277.4110966,1,677880.6129760742
1775063278.4110816,0,677998.2503051758
1775063278.4110816,1,677998.2503051758
1775063279.411049,0,678115.8532714844
1775063279.411049,1,678115.962097168
1775063280.4110692,0,678233.5693969727
1775063280.4110692,1,678233.5693969727
1775063281.4110847,0,678351.1530761719
1775063281.4110847,1,678351.3071899414
1775063282.4110868,0,678468.8024902344
1775063282.4110868,1,678468.930480957
1775063283.4110832,0,678586.4318237305
1775063283.4110832,1,678586.4318237305
1775063284.4110918,0,678704.1271362305
1775063284.4110918,1,678704.2457885742
1775063285.4110978,0,678821.8721923828
1775063285.4110978,1,678821.8721923828
1775063286.411092,0,678939.4922485352
1775063286.411092,1,678939.5823364258
1775063287.4110692,0,679057.2116088867
1775063287.4110692,1,679057.2116088867
1775063288.4111152,0,679174.8106079102
1775063288.4111152,1,679174.8106079102
1775063289.4110892,0,679292.4397583008
1775063289.4110892,1,679292.568359375
1775063290.41111,0,679410.1452026367
1775063290.41111,1,679410.2661743164
1775063291.4110262,0,679527.7601318359
1775063291.4110262,1,679527.7601318359
1775063292.411122,0,679645.498840332
1775063292.411122,1,679645.498840332
1775063293.4111214,0,679763.1414794922
1775063293.4111214,1,679763.1414794922
