time,actuator,value
1764011151.7602172,Actuator(ptr=c_void_p(330534064)),165.0
1764011153.765523,Actuator(ptr=c_void_p(330534064)),78.0
1764011155.7692204,Actuator(ptr=c_void_p(330534064)),124.0
1764011157.7657661,Actuator(ptr=c_void_p(330534064)),95.0
1764011159.766006,Actuator(ptr=c_void_p(330534064)),95.0
1764011161.7700078,Actuator(ptr=c_void_p(330534064)),95.0
1764011163.7690325,Actuator(ptr=c_void_p(330534064)),95.0
1764011165.767166,Actuator(ptr=c_void_p(330534064)),101.0
1764011167.767432,Actuator(ptr=c_void_p(330534064)),95.0
1764011169.768542,Actuator(ptr=c_void_p(330534064)),101.0
1764011171.7671735,Actuator(ptr=c_void_p(330534064)),95.0
1764011173.7686627,Actuator(ptr=c_void_p(330534064)),101.0
1764011175.766298,Actuator(ptr=c_void_p(330534064)),95.0
1764011177.7658162,Actuator(ptr=c_void_p(330534064)),101.0
1764011179.7659986,Actuator(ptr=c_void_p(330534064)),95.0
1764011181.767421,Actuator(ptr=c_void_p(330534064)),101.0
1764011183.772073,Actuator(ptr=c_void_p(330534064)),95.0
1764011185.766635,Actuator(ptr=c_void_p(330534064)),101.0
1764011187.7678587,Actuator(ptr=c_void_p(330534064)),95.0
1764011189.7679832,Actuator(ptr=c_void_p(330534064)),101.0
1764011191.7677197,Actuator(ptr=c_void_p(330534064)),95.0
1764011193.7675047,Actuator(ptr=c_void_p(330534064)),101.0
1764011195.765388,Actuator(ptr=c_void_p(330534064)),95.0
1764011197.7681131,Actuator(ptr=c_void_p(330534064)),101.0
1764011199.7657285,Actuator(ptr=c_void_p(330534064)),95.0
1764011201.768607,Actuator(ptr=c_void_p(330534064)),101.0
1764011203.7736309,Actuator(ptr=c_void_p(330534064)),95.0
1764011205.7681758,Actuator(ptr=c_void_p(330534064)),101.0
1764011207.7733696,Actuator(ptr=c_void_p(330534064)),95.0
1764011209.7657094,Actuator(ptr=c_void_p(330534064)),101.0
1764011211.7672234,Actuator(ptr=c_void_p(330534064)),95.0
1764011213.7670953,Actuator(ptr=c_void_p(330534064)),101.0
1764011215.767244,Actuator(ptr=c_void_p(330534064)),95.0
1764011217.7667089,Actuator(ptr=c_void_p(330534064)),101.0
1764011219.7684681,Actuator(ptr=c_void_p(330534064)),95.0
1764011221.7698066,Actuator(ptr=c_void_p(330534064)),95.0
1764011223.7662308,Actuator(ptr=c_void_p(330534064)),101.0
1764011225.7682283,Actuator(ptr=c_void_p(330534064)),95.0
1764011227.7668219,Actuator(ptr=c_void_p(330534064)),95.0
1764011229.7680194,Actuator(ptr=c_void_p(330534064)),101.0
1764011231.768498,Actuator(ptr=c_void_p(330534064)),95.0
1764011233.7676458,Actuator(ptr=c_void_p(330534064)),101.0
1764011235.7651794,Actuator(ptr=c_void_p(330534064)),95.0
1764011237.7667317,Actuator(ptr=c_void_p(330534064)),101.0
1764011239.7676616,Actuator(ptr=c_void_p(330534064)),95.0
1764011241.7674005,Actuator(ptr=c_void_p(330534064)),101.0
1764011243.7684414,Actuator(ptr=c_void_p(330534064)),95.0
1764011245.768811,Actuator(ptr=c_void_p(330534064)),101.0
1764011247.7687054,Actuator(ptr=c_void_p(330534064)),95.0
1764011249.769047,Actuator(ptr=c_void_p(330534064)),101.0
1764011251.7688165,Actuator(ptr=c_void_p(330534064)),95.0
1764011253.7668257,Actuator(ptr=c_void_p(330534064)),101.0
1764011255.769978,Actuator(ptr=c_void_p(330534064)),95.0
1764011257.7671518,Actuator(ptr=c_void_p(330534064)),101.0
1764011259.769822,Actuator(ptr=c_void_p(330534064)),95.0
1764011261.7688794,Actuator(ptr=c_void_p(330534064)),101.0
1764011263.7680728,Actuator(ptr=c_void_p(330534064)),95.0
1764011265.76791,Actuator(ptr=c_void_p(330534064)),101.0
1764011267.768825,Actuator(ptr=c_void_p(330534064)),95.0
1764011269.7733939,Actuator(ptr=c_void_p(330534064)),101.0
1764011271.7680204,Actuator(ptr=c_void_p(330534064)),95.0
1764011273.769505,Actuator(ptr=c_void_p(330534064)),101.0
1764011275.7684586,Actuator(ptr=c_void_p(330534064)),95.0
1764011277.7680337,Actuator(ptr=c_void_p(330534064)),101.0
1764011279.7687993,Actuator(ptr=c_void_p(330534064)),95.0
1764011281.7759075,Actuator(ptr=c_void_p(330534064)),101.0
1764011283.7696362,Actuator(ptr=c_void_p(330534064)),95.0
1764011285.7682421,Actuator(ptr=c_void_p(330534064)),101.0
1764011287.7697835,Actuator(ptr=c_void_p(330534064)),95.0
1764011289.768649,Actuator(ptr=c_void_p(330534064)),101.0
1764011291.768134,Actuator(ptr=c_void_p(330534064)),95.0
1764011293.776002,Actuator(ptr=c_void_p(330534064)),101.0
1764011295.7689242,Actuator(ptr=c_void_p(330534064)),95.0
1764011297.769732,Actuator(ptr=c_void_p(330534064)),101.0
1764011299.768232,Actuator(ptr=c_void_p(330534064)),95.0
1764011301.7705262,Actuator(ptr=c_void_p(330534064)),101.0
1764011303.768891,Actuator(ptr=c_void_p(330534064)),95.0
1764011305.76761,Actuator(ptr=c_void_p(330534064)),101.0
1764011307.7698133,Actuator(ptr=c_void_p(330534064)),95.0
1764011309.767592,Actuator(ptr=c_void_p(330534064)),101.0
1764011311.7681127,Actuator(ptr=c_void_p(330534064)),95.0
1764011313.7683861,Actuator(ptr=c_void_p(330534064)),101.0
1764011315.7667131,Actuator(ptr=c_void_p(330534064)),95.0
1764011317.7695723,Actuator(ptr=c_void_p(330534064)),101.0
1764011319.7761424,Actuator(ptr=c_void_p(330534064)),95.0
1764011321.7702432,Actuator(ptr=c_void_p(330534064)),101.0
1764011323.7688773,Actuator(ptr=c_void_p(330534064)),95.0
1764011325.7769105,Actuator(ptr=c_void_p(330534064)),101.0
1764011327.7687967,Actuator(ptr=c_void_p(330534064)),95.0
1764011329.76891,Actuator(ptr=c_void_p(330534064)),101.0
1764011331.7701547,Actuator(ptr=c_void_p(330534064)),95.0
1764011333.770384,Actuator(ptr=c_void_p(330534064)),101.0
1764011335.7675164,Actuator(ptr=c_void_p(330534064)),95.0
