time,value
1764819603.3322802,1.0
1764819603.3495,1.0
1764819603.3666155,1.0
1764819603.3837085,1.0
1764819603.4010386,1.0
1764819603.418381,1.0
1764819603.4357228,1.0
1764819603.453057,1.0
1764819603.4704397,1.0
1764819603.487757,1.0
1764819603.505062,1.0
1764819603.5223439,1.0
1764819603.539612,1.0
1764819603.5568945,1.0
1764819603.5741675,1.0
1764819603.5914695,1.0
1764819603.6088374,1.0
1764819603.6261187,1.0
1764819603.6434011,1.0
1764819603.6606936,1.0
1764819603.6778994,1.0
1764819603.695124,1.0
1764819603.7123215,1.0
1764819603.7295327,1.0
1764819603.7467341,1.0
1764819603.7639446,1.0
1764819603.781141,1.0
1764819603.7983563,1.0
1764819603.8155463,1.0
1764819603.8327513,1.0
1764819603.8499491,1.0
1764819603.8671594,1.0
1764819603.8843734,1.0
1764819603.901571,1.0
1764819603.9187753,1.0
1764819603.9359941,1.0
1764819603.9531922,1.0
1764819603.9704025,1.0
1764819603.9875884,1.0
1764819604.004794,1.0
1764819604.0220244,1.0
1764819604.0392423,1.0
1764819604.0564697,1.0
1764819604.07366,1.0
1764819604.0908566,1.0
1764819604.108057,1.0
1764819604.1252775,1.0
1764819604.1424654,1.0
1764819604.159689,1.0
1764819604.1769898,1.0
1764819604.1943233,1.0
1764819604.211627,1.0
1764819604.228943,1.0
1764819604.2462463,1.0
1764819604.2645922,1.0
1764819604.297724,1.0
1764819604.3151057,1.0
1764819604.3323169,1.0
1764819604.3494325,1.0
1764819604.366639,1.0
1764819604.383822,1.0
1764819604.401005,1.0
1764819604.4182127,1.0
1764819604.435313,1.0
1764819604.452492,1.0
1764819604.4697547,1.0
1764819604.4870133,1.0
1764819604.5043163,1.0
1764819604.5215535,1.0
1764819604.538907,1.0
1764819604.5562563,1.0
1764819604.573641,1.0
1764819604.5913515,1.0
1764819604.608675,1.0
1764819604.6260755,1.0
1764819604.6436732,1.0
1764819604.6609712,1.0
1764819604.6784117,1.0
1764819604.6956449,1.0
1764819604.7127585,1.0
1764819604.7299166,1.0
1764819604.7470345,1.0
1764819604.7641966,1.0
1764819604.7813292,1.0
1764819604.7984314,1.0
1764819604.8155544,1.0
1764819604.832666,1.0
1764819604.8497984,1.0
1764819604.8669019,1.0
1764819604.8840036,1.0
1764819604.9011514,1.0
1764819604.9183927,1.0
1764819604.9356918,1.0
1764819604.9530208,1.0
1764819604.9702938,1.0
1764819604.9875817,1.0
1764819605.0049021,1.0
1764819605.022205,1.0
1764819605.0395002,1.0
1764819605.0568192,1.0
1764819605.0739627,1.0
1764819605.09109,1.0
1764819605.1082065,1.0
1764819605.125327,1.0
1764819605.1424267,1.0
1764819605.159688,1.0
1764819605.1769152,1.0
1764819605.194143,1.0
1764819605.2113993,1.0
1764819605.2300637,1.0
1764819605.2471576,1.0
1764819605.2654212,1.0
1764819605.299437,1.0
1764819605.3164802,1.0
1764819605.3334515,1.0
1764819605.3504505,1.0
1764819605.367425,1.0
1764819605.3844085,1.0
1764819605.4017882,1.0
1764819605.4228666,1.0
1764819605.4468236,1.0
1764819605.4706173,1.0
1764819605.494319,1.0
1764819605.5177407,1.0
1764819605.540925,1.0
1764819605.5632412,1.0
1764819605.5851185,1.0
1764819605.6073484,1.0
1764819605.6291919,1.0
1764819605.6513653,1.0
1764819605.6730711,1.0
1764819605.6948273,1.0
1764819605.7162948,1.0
1764819605.7378452,1.0
1764819605.759205,1.0
1764819605.780608,1.0
1764819605.8018198,1.0
1764819605.8232327,1.0
1764819605.8443687,1.0
1764819605.865753,1.0
1764819605.887025,1.0
1764819605.9082026,1.0
1764819605.9295723,1.0
1764819605.9507875,1.0
1764819605.9721723,1.0
1764819605.9934342,1.0
1764819606.0147111,1.0
1764819606.0358968,1.0
1764819606.0570974,1.0
1764819606.078304,1.0
1764819606.0997307,1.0
1764819606.120782,1.0
1764819606.141804,1.0
1764819606.1631565,1.0
1764819606.184286,1.0
