time,scope,value
1771079389.1296399,nrm.extra.perf.PAPI_L3_TCA.225661,2385977331.0
1771079389.1296399,nrm.extra.perf.PAPI_TOT_INS.225661,47622488930.0
1771079389.1296399,nrm.extra.perf.PAPI_TOT_CYC.225661,286844529454.0
1771079389.1296399,nrm.extra.perf.PAPI_RES_STL.225661,254795881233.0
1771079389.1296399,nrm.extra.perf.PAPI_L3_TCM.225661,2224115348.0
1771079390.1298685,nrm.extra.perf.PAPI_L3_TCA.225661,4860264697.0
1771079390.1298685,nrm.extra.perf.PAPI_TOT_INS.225661,96534997163.0
1771079390.1298685,nrm.extra.perf.PAPI_TOT_CYC.225661,580946681121.0
1771079390.1298685,nrm.extra.perf.PAPI_RES_STL.225661,518298410819.0
1771079390.1298685,nrm.extra.perf.PAPI_L3_TCM.225661,4529836243.0
1771079391.133311,nrm.extra.perf.PAPI_L3_TCA.225661,6816134518.0
1771079391.133311,nrm.extra.perf.PAPI_TOT_INS.225661,135801386759.0
1771079391.133311,nrm.extra.perf.PAPI_TOT_CYC.225661,769445999095.0
1771079391.133311,nrm.extra.perf.PAPI_RES_STL.225661,677749486899.0
1771079391.133311,nrm.extra.perf.PAPI_L3_TCM.225661,6357418179.0
1771079392.1324883,nrm.extra.perf.PAPI_L3_TCA.225661,8723313460.0
1771079392.1324883,nrm.extra.perf.PAPI_TOT_INS.225661,174116489377.0
1771079392.1324883,nrm.extra.perf.PAPI_TOT_CYC.225661,946156123526.0
1771079392.1324883,nrm.extra.perf.PAPI_RES_STL.225661,826181778090.0
1771079392.1324883,nrm.extra.perf.PAPI_L3_TCM.225661,8134261687.0
1771079393.130909,nrm.extra.perf.PAPI_L3_TCA.225661,10679935111.0
1771079393.130909,nrm.extra.perf.PAPI_TOT_INS.225661,212917723977.0
1771079393.130909,nrm.extra.perf.PAPI_TOT_CYC.225661,1124534386197.0
1771079393.130909,nrm.extra.perf.PAPI_RES_STL.225661,979524498589.0
1771079393.130909,nrm.extra.perf.PAPI_L3_TCM.225661,9961801489.0
1771079394.130722,nrm.extra.perf.PAPI_L3_TCA.225661,12683492077.0
1771079394.130722,nrm.extra.perf.PAPI_TOT_INS.225661,252357558569.0
1771079394.130722,nrm.extra.perf.PAPI_TOT_CYC.225661,1304131994531.0
1771079394.130722,nrm.extra.perf.PAPI_RES_STL.225661,1135708916398.0
1771079394.130722,nrm.extra.perf.PAPI_L3_TCM.225661,11830325303.0
1771079395.1274128,nrm.extra.perf.PAPI_L3_TCA.225661,14696154581.0
1771079395.1274128,nrm.extra.perf.PAPI_TOT_INS.225661,291849074524.0
1771079395.1274128,nrm.extra.perf.PAPI_TOT_CYC.225661,1483927525068.0
