time,scope,value
1764038751.164333,0,155.20948035554207
1764038751.164333,1,157.04223181063625
1764038752.164299,0,160.2662790607766
1764038752.164299,1,157.49290849990348
1764038753.1644661,0,76.68428877472284
1764038753.1644661,1,76.74092533030989
1764038754.1643975,0,76.99151605578076
1764038754.1643975,1,78.36674308270578
1764038755.164358,0,150.54300846155928
1764038755.164358,1,153.65707244735063
1764038756.1643589,0,151.1007599730381
1764038756.1643589,1,153.9773842488029
1764038757.16437,0,157.90645363548688
1764038757.16437,1,154.4183583147202
1764038758.1642942,0,160.79413823294377
1764038758.1642942,1,158.5437001920037
1764038759.1643963,0,161.10977232689493
1764038759.1643963,1,158.6896049422521
1764038760.1643968,0,158.84055069855415
1764038760.1643968,1,157.7261362309796
1764038761.1643858,0,158.31130564815388
1764038761.1643858,1,157.7689778654444
1764038762.1643872,0,158.70891225684625
1764038762.1643872,1,159.94641863008508
1764038763.1643794,0,162.467209438931
1764038763.1643794,1,158.975204677497
1764038764.1643755,0,156.7754807570414
1764038764.1643755,1,157.4155863864064
1764038765.164365,0,135.32373317522342
1764038765.164365,1,159.7277249759353
1764038766.1643643,0,159.8417590514941
1764038766.1643643,1,158.20072560167037
1764038767.1643815,0,159.57541846832518
1764038767.1643815,1,159.54901407497522
1764038768.1643555,0,157.3730992377348
1764038768.1643555,1,158.98917264472936
1764038769.164393,0,158.7812020325779
1764038769.164393,1,157.5345777451508
1764038770.1642964,0,159.71235225846223
1764038770.1642964,1,158.35641912786645
1764038771.1643543,0,159.3897516927463
1764038771.1643543,1,159.75810601023366
1764038772.1643882,0,157.21323028732925
1764038772.1643882,1,158.76121862295884
1764038773.1643107,0,160.1680432436157
1764038773.1643107,1,159.926913433543
1764038774.1643581,0,159.18917098976095
1764038774.1643581,1,158.614609557434
1764038775.164379,0,161.8556848718376
1764038775.164379,1,158.16737058313083
1764038776.164363,0,159.34698005585176
1764038776.164363,1,159.84289553976103
1764038777.1643467,0,160.87192569042338
1764038777.1643467,1,158.84653365127105
1764038778.1643593,0,158.15281986389616
1764038778.1643593,1,158.53312052393537
1764038779.1643498,0,158.9667884620872
1764038779.1643498,1,159.63990160360638
1764038780.1643758,0,157.62742671034718
1764038780.1643758,1,157.33846684430705
1764038781.1643813,0,159.87248298685873
1764038781.1643813,1,159.16750943842283
1764038782.1643293,0,158.55526723089392
1764038782.1643293,1,158.02043545986513
1764038783.1643803,0,159.86625715569846
1764038783.1643803,1,159.44021648591212
1764038784.16439,0,159.19593755132334
1764038784.16439,1,158.810742237141
1764038785.1643693,0,158.3484239654851
1764038785.1643693,1,159.46404940876877
1764038786.1643174,0,162.1065549619813
1764038786.1643174,1,160.88115074245735
