time,scope,value
1764813083.520839,nrm.extra.perf.PAPI_L3_TCA.442855,2310007202.0
1764813083.520839,nrm.extra.perf.PAPI_TOT_INS.442855,57366971499.0
1764813083.520839,nrm.extra.perf.PAPI_TOT_CYC.442855,287747036825.0
1764813083.520839,nrm.extra.perf.PAPI_RES_STL.442855,252007145975.0
1764813083.520839,nrm.extra.perf.PAPI_L3_TCM.442855,2048281174.0
1764813084.524521,nrm.extra.perf.PAPI_L3_TCA.442855,4646820360.0
1764813084.524521,nrm.extra.perf.PAPI_TOT_INS.442855,115618876433.0
1764813084.524521,nrm.extra.perf.PAPI_TOT_CYC.442855,575952425915.0
1764813084.524521,nrm.extra.perf.PAPI_RES_STL.442855,502724415712.0
1764813084.524521,nrm.extra.perf.PAPI_L3_TCM.442855,4130200716.0
1764813085.521972,nrm.extra.perf.PAPI_L3_TCA.442855,6592378284.0
1764813085.521972,nrm.extra.perf.PAPI_TOT_INS.442855,164038489080.0
1764813085.521972,nrm.extra.perf.PAPI_TOT_CYC.442855,767772406793.0
1764813085.521972,nrm.extra.perf.PAPI_RES_STL.442855,662692939650.0
1764813085.521972,nrm.extra.perf.PAPI_L3_TCM.442855,5852857258.0
1764813086.529758,nrm.extra.perf.PAPI_L3_TCA.442855,8541273867.0
1764813086.529758,nrm.extra.perf.PAPI_TOT_INS.442855,212172197919.0
1764813086.529758,nrm.extra.perf.PAPI_TOT_CYC.442855,947217224485.0
1764813086.529758,nrm.extra.perf.PAPI_RES_STL.442855,814010168714.0
1764813086.529758,nrm.extra.perf.PAPI_L3_TCM.442855,7594828801.0
1764813087.5234718,nrm.extra.perf.PAPI_L3_TCA.442855,10551471547.0
1764813087.5234718,nrm.extra.perf.PAPI_TOT_INS.442855,261808147498.0
1764813087.5234718,nrm.extra.perf.PAPI_TOT_CYC.442855,1140534972468.0
1764813087.5234718,nrm.extra.perf.PAPI_RES_STL.442855,977267530298.0
1764813087.5234718,nrm.extra.perf.PAPI_L3_TCM.442855,9375445876.0
1764813088.523402,nrm.extra.perf.PAPI_L3_TCA.442855,12528926071.0
1764813088.523402,nrm.extra.perf.PAPI_TOT_INS.442855,310843406000.0
1764813088.523402,nrm.extra.perf.PAPI_TOT_CYC.442855,1332332757604.0
1764813088.523402,nrm.extra.perf.PAPI_RES_STL.442855,1138193704643.0
1764813088.523402,nrm.extra.perf.PAPI_L3_TCM.442855,11132896277.0
1764813089.5203164,nrm.extra.perf.PAPI_L3_TCA.442855,14529060614.0
1764813089.5203164,nrm.extra.perf.PAPI_TOT_INS.442855,360211152677.0
1764813089.5203164,nrm.extra.perf.PAPI_TOT_CYC.442855,1522944467484.0
1764813089.5203164,nrm.extra.perf.PAPI_RES_STL.442855,1298912846218.0
1764813089.5203164,nrm.extra.perf.PAPI_L3_TCM.442855,12906240666.0
1764813090.5274909,nrm.extra.perf.PAPI_L3_TCA.442855,16568537497.0
1764813090.5274909,nrm.extra.perf.PAPI_TOT_INS.442855,410560538391.0
1764813090.5274909,nrm.extra.perf.PAPI_TOT_CYC.442855,1717739049128.0
1764813090.5274909,nrm.extra.perf.PAPI_RES_STL.442855,1464356245359.0
1764813090.5274909,nrm.extra.perf.PAPI_L3_TCM.442855,14729645925.0
1764813091.52288,nrm.extra.perf.PAPI_L3_TCA.442855,18602519187.0
