time,actuator,value
1771109095.1409292,Actuator(ptr=c_void_p(1044278272)),165.0
1771109097.148334,Actuator(ptr=c_void_p(1044278272)),78.0
1771109099.1492643,Actuator(ptr=c_void_p(1044278272)),101.0
1771109101.1567676,Actuator(ptr=c_void_p(1044278272)),78.0
1771109103.1550677,Actuator(ptr=c_void_p(1044278272)),101.0
1771109105.148567,Actuator(ptr=c_void_p(1044278272)),78.0
1771109107.149277,Actuator(ptr=c_void_p(1044278272)),101.0
1771109109.1486115,Actuator(ptr=c_void_p(1044278272)),78.0
1771109111.1504223,Actuator(ptr=c_void_p(1044278272)),101.0
1771109113.148573,Actuator(ptr=c_void_p(1044278272)),78.0
1771109115.149782,Actuator(ptr=c_void_p(1044278272)),101.0
1771109117.1488426,Actuator(ptr=c_void_p(1044278272)),78.0
1771109119.1488476,Actuator(ptr=c_void_p(1044278272)),101.0
1771109121.1468785,Actuator(ptr=c_void_p(1044278272)),78.0
1771109123.1498113,Actuator(ptr=c_void_p(1044278272)),101.0
1771109125.1485531,Actuator(ptr=c_void_p(1044278272)),78.0
1771109127.1525905,Actuator(ptr=c_void_p(1044278272)),101.0
1771109129.1482866,Actuator(ptr=c_void_p(1044278272)),78.0
1771109131.1498518,Actuator(ptr=c_void_p(1044278272)),101.0
1771109133.1462493,Actuator(ptr=c_void_p(1044278272)),78.0
1771109135.1502607,Actuator(ptr=c_void_p(1044278272)),101.0
