time,value
1771109390.707159,3.0
1771109390.717691,3.0
1771109390.7283766,3.0
1771109390.738935,3.0
1771109390.7493308,3.0
1771109390.7598596,3.0
1771109390.7707057,3.0
1771109390.7814152,3.0
1771109390.7921844,3.0
1771109390.8031664,3.0
1771109390.8137817,3.0
1771109390.8245196,3.0
1771109390.8353324,3.0
1771109390.8460789,3.0
1771109390.8568554,3.0
1771109390.8676076,3.0
1771109390.8785372,3.0
1771109390.8891473,3.0
1771109390.8996394,3.0
1771109390.9101,3.0
1771109390.920545,3.0
1771109390.9309976,3.0
1771109390.941438,3.0
1771109390.9518936,3.0
1771109390.9623337,3.0
1771109390.9727476,3.0
1771109390.9831767,3.0
1771109390.9935956,3.0
1771109391.0040207,3.0
1771109391.014442,3.0
1771109391.0248656,3.0
1771109391.0352898,3.0
1771109391.0463052,3.0
1771109391.0567193,3.0
1771109391.067145,3.0
1771109391.0775712,3.0
1771109391.0880046,3.0
1771109391.0984423,3.0
1771109391.1088505,3.0
1771109391.1192644,3.0
1771109391.1296976,3.0
1771109391.1401336,3.0
1771109391.1505656,3.0
1771109391.1610007,3.0
1771109391.171439,3.0
1771109391.181855,3.0
1771109391.1922743,3.0
1771109391.2027056,3.0
1771109391.2131238,3.0
1771109391.223534,3.0
1771109391.2339425,3.0
1771109391.2443683,3.0
1771109391.2548137,3.0
1771109391.265241,3.0
1771109391.2757754,3.0
1771109391.286292,3.0
1771109391.2968068,3.0
1771109391.3073559,3.0
1771109391.3178244,3.0
1771109391.3282309,3.0
1771109391.3386574,3.0
1771109391.349077,3.0
1771109391.3595045,3.0
1771109391.3699346,3.0
1771109391.380349,3.0
1771109391.3907456,3.0
1771109391.4011467,3.0
1771109391.4115672,3.0
1771109391.422025,3.0
1771109391.4324467,3.0
1771109391.4428673,3.0
1771109391.4533026,3.0
1771109391.463715,3.0
1771109391.4741347,3.0
1771109391.4845686,3.0
1771109391.4949775,3.0
1771109391.5054076,3.0
1771109391.515811,3.0
1771109391.5262175,3.0
1771109391.536627,3.0
1771109391.5470278,3.0
1771109391.5574467,3.0
1771109391.56787,3.0
1771109391.5782893,3.0
1771109391.5887053,3.0
1771109391.5991225,3.0
1771109391.6095393,3.0
1771109391.6199582,3.0
1771109391.6304314,3.0
1771109391.6408443,3.0
1771109391.6512628,3.0
1771109391.6704776,3.0
1771109391.6845155,1.0
1771109391.694867,3.0
1771109391.7052188,3.0
1771109391.7155955,3.0
1771109391.7259538,3.0
1771109391.7364225,3.0
1771109391.7468238,3.0
1771109391.757635,3.0
1771109391.768317,3.0
1771109391.7787402,3.0
1771109391.7892294,3.0
1771109391.799741,3.0
1771109391.8103733,3.0
1771109391.8209536,3.0
1771109391.8317153,3.0
1771109391.8423762,3.0
1771109391.8530107,3.0
1771109391.863445,3.0
1771109391.8739908,3.0
1771109391.8846712,3.0
1771109391.895374,3.0
1771109391.9060693,3.0
1771109391.9167628,3.0
1771109391.9274685,3.0
1771109391.9381676,3.0
1771109391.9488544,3.0
1771109391.9595506,3.0
1771109391.9703286,3.0
1771109391.981019,3.0
1771109391.9916947,3.0
1771109392.0024443,3.0
1771109392.013126,3.0
