time,scope,value
1771113877.7284145,0,36705308.36651611
1771113877.7284145,1,36705308.36651611
1771113878.7284126,0,36705467.65020752
1771113878.7284126,1,36705467.85546875
1771113879.7285035,0,36705611.98297119
1771113879.7285035,1,36705612.058532715
1771113880.7284565,0,36705689.58630371
1771113880.7284565,1,36705689.66455078
1771113881.72842,0,36705785.23864746
1771113881.72842,1,36705785.3918457
1771113882.7284236,0,36705914.85650635
1771113882.7284236,1,36705914.995788574
1771113883.7284482,0,36706052.7298584
1771113883.7284482,1,36706052.7298584
1771113884.7283764,0,36706205.12652588
1771113884.7283764,1,36706205.12652588
1771113885.7284567,0,36706357.71331787
1771113885.7284567,1,36706357.87634277
1771113886.7284698,0,36706510.22027588
1771113886.7284698,1,36706510.382507324
1771113887.7284088,0,36706662.86755371
1771113887.7284088,1,36706662.98675537
1771113888.7284064,0,36706815.36077881
1771113888.7284064,1,36706815.51324463
1771113889.7284267,0,36706967.90222168
1771113889.7284267,1,36706968.06182861
1771113890.728423,0,36707120.53338623
1771113890.728423,1,36707120.53338623
1771113891.728416,0,36707273.08721924
1771113891.728416,1,36707273.23626709
1771113892.7284095,0,36707425.670288086
1771113892.7284095,1,36707425.670288086
1771113893.7283986,0,36707578.19543457
1771113893.7283986,1,36707578.19543457
1771113894.7283878,0,36707730.79382324
1771113894.7283878,1,36707730.79382324
1771113895.7284565,0,36707883.31085205
1771113895.7284565,1,36707883.31085205
1771113896.7283924,0,36708035.86248779
1771113896.7283924,1,36708035.97869873
1771113897.7284284,0,36708188.480529785
1771113897.7284284,1,36708188.480529785
1771113898.7283618,0,36708341.028930664
1771113898.7283618,1,36708341.14428711
1771113899.7284412,0,36708493.65698242
1771113899.7284412,1,36708493.65698242
1771113900.7284405,0,36708646.169921875
1771113900.7284405,1,36708646.169921875
1771113901.7284153,0,36708798.679260254
1771113901.7284153,1,36708798.679260254
1771113902.7284327,0,36708951.32318115
1771113902.7284327,1,36708951.32318115
1771113903.7284355,0,36709103.847595215
1771113903.7284355,1,36709103.847595215
1771113904.7284946,0,36709256.30975342
1771113904.7284946,1,36709256.484069824
1771113905.728428,0,36709408.9777832
1771113905.728428,1,36709408.9777832
1771113906.7284286,0,36709561.495788574
1771113906.7284286,1,36709561.495788574
1771113907.7283907,0,36709713.87548828
1771113907.7283907,1,36709713.99066162
1771113908.728418,0,36709866.65142822
1771113908.728418,1,36709866.65142822
1771113909.7284427,0,36710019.232299805
1771113909.7284427,1,36710019.232299805
1771113910.728414,0,36710171.72607422
1771113910.728414,1,36710171.87054443
1771113911.7284045,0,36710324.36743164
1771113911.7284045,1,36710324.36743164
1771113912.7284133,0,36710476.86053467
1771113912.7284133,1,36710476.86053467
1771113913.729467,0,36710629.56048584
1771113913.729467,1,36710629.56048584
