time,actuator,value
1764819861.4970589,Actuator(ptr=c_void_p(455766672)),165.0
1764819863.500301,Actuator(ptr=c_void_p(455766672)),78.0
1764819865.502194,Actuator(ptr=c_void_p(455766672)),89.0
1764819867.5012403,Actuator(ptr=c_void_p(455766672)),89.0
1764819869.5003803,Actuator(ptr=c_void_p(455766672)),89.0
1764819871.5016294,Actuator(ptr=c_void_p(455766672)),89.0
1764819873.5026128,Actuator(ptr=c_void_p(455766672)),89.0
1764819875.5013607,Actuator(ptr=c_void_p(455766672)),89.0
1764819877.501469,Actuator(ptr=c_void_p(455766672)),89.0
1764819879.5012324,Actuator(ptr=c_void_p(455766672)),89.0
1764819881.5010622,Actuator(ptr=c_void_p(455766672)),89.0
1764819883.5017872,Actuator(ptr=c_void_p(455766672)),89.0
1764819885.5025182,Actuator(ptr=c_void_p(455766672)),89.0
1764819887.5005126,Actuator(ptr=c_void_p(455766672)),89.0
1764819889.501588,Actuator(ptr=c_void_p(455766672)),89.0
1764819891.5007455,Actuator(ptr=c_void_p(455766672)),89.0
1764819893.5015044,Actuator(ptr=c_void_p(455766672)),89.0
1764819895.501657,Actuator(ptr=c_void_p(455766672)),89.0
1764819897.5018861,Actuator(ptr=c_void_p(455766672)),89.0
1764819899.5022562,Actuator(ptr=c_void_p(455766672)),89.0
1764819901.502087,Actuator(ptr=c_void_p(455766672)),89.0
1764819903.5007746,Actuator(ptr=c_void_p(455766672)),89.0
1764819905.5013523,Actuator(ptr=c_void_p(455766672)),89.0
1764819907.5033088,Actuator(ptr=c_void_p(455766672)),89.0
1764819909.5015728,Actuator(ptr=c_void_p(455766672)),89.0
1764819911.504397,Actuator(ptr=c_void_p(455766672)),89.0
1764819913.5020018,Actuator(ptr=c_void_p(455766672)),89.0
1764819915.501634,Actuator(ptr=c_void_p(455766672)),89.0
