time,value
1764957420.5561473,2.0
1764957420.5661945,2.0
1764957420.5810146,3.0
1764957420.5958292,3.0
1764957420.6106334,3.0
1764957420.6255133,3.0
1764957420.640357,3.0
1764957420.655313,3.0
1764957420.6701205,3.0
1764957420.6801314,2.0
1764957420.690218,2.0
1764957420.7050612,3.0
1764957420.7199183,3.0
1764957420.7299314,2.0
1764957420.7447946,3.0
1764957420.7596583,3.0
1764957420.7745109,3.0
1764957420.7893665,3.0
1764957420.804223,3.0
1764957420.8191044,3.0
1764957420.8338459,3.0
1764957420.8485956,3.0
1764957420.8633373,3.0
1764957420.878074,3.0
1764957420.8928027,3.0
1764957420.9075415,3.0
1764957420.92228,3.0
1764957420.9369993,3.0
1764957420.9518032,3.0
1764957420.9666023,3.0
1764957420.9813201,3.0
1764957420.9960155,3.0
1764957421.00623,2.0
1764957421.0163999,2.0
1764957421.0265744,2.0
1764957421.0367506,2.0
1764957421.046919,2.0
1764957421.0570922,2.0
1764957421.0672696,2.0
1764957421.08198,3.0
1764957421.096717,3.0
1764957421.1114595,3.0
1764957421.1261828,3.0
1764957421.1409078,3.0
1764957421.1556435,3.0
1764957421.170384,3.0
1764957421.1850998,3.0
1764957421.1998165,3.0
1764957421.2145493,3.0
1764957421.2292533,3.0
1764957421.2439888,3.0
1764957421.258718,3.0
1764957421.273441,3.0
1764957421.2881565,3.0
1764957421.3028915,3.0
1764957421.3176281,3.0
1764957421.332354,3.0
1764957421.3470836,3.0
1764957421.3618147,3.0
1764957421.3765397,3.0
1764957421.391271,3.0
1764957421.4059775,3.0
1764957421.4207342,3.0
1764957421.4354732,3.0
1764957421.450207,3.0
1764957421.4649067,3.0
1764957421.4796135,3.0
1764957421.49438,3.0
1764957421.5044532,2.0
1764957421.5230117,1.0
1764957421.5375059,3.0
1764957421.5520205,3.0
1764957421.5665417,3.0
1764957421.5810223,3.0
1764957421.5955439,3.0
1764957421.610021,3.0
1764957421.624502,3.0
1764957421.639031,3.0
1764957421.6535583,3.0
1764957421.6680532,3.0
1764957421.6825376,3.0
1764957421.6970553,3.0
1764957421.7115552,3.0
1764957421.726051,3.0
1764957421.7405374,3.0
1764957421.755007,3.0
1764957421.769473,3.0
