time,scope,value
1771121470.425247,nrm.extra.perf.PAPI_L3_TCA.265686,2503358751.0
1771121470.425247,nrm.extra.perf.PAPI_TOT_INS.265686,48331250070.0
1771121470.425247,nrm.extra.perf.PAPI_TOT_CYC.265686,286024193249.0
1771121470.425247,nrm.extra.perf.PAPI_RES_STL.265686,253719900477.0
1771121470.425247,nrm.extra.perf.PAPI_L3_TCM.265686,2337736621.0
1771121471.4235241,nrm.extra.perf.PAPI_L3_TCA.265686,4938365519.0
1771121471.4235241,nrm.extra.perf.PAPI_TOT_INS.265686,96433087630.0
1771121471.4235241,nrm.extra.perf.PAPI_TOT_CYC.265686,571263952559.0
1771121471.4235241,nrm.extra.perf.PAPI_RES_STL.265686,499362858634.0
1771121471.4235241,nrm.extra.perf.PAPI_L3_TCM.265686,4620411522.0
1771121472.4243224,nrm.extra.perf.PAPI_L3_TCA.265686,6960133720.0
1771121472.4243224,nrm.extra.perf.PAPI_TOT_INS.265686,136208753899.0
1771121472.4243224,nrm.extra.perf.PAPI_TOT_CYC.265686,762201500110.0
1771121472.4243224,nrm.extra.perf.PAPI_RES_STL.265686,658228819752.0
1771121472.4243224,nrm.extra.perf.PAPI_L3_TCM.265686,6515175953.0
1771121473.4253972,nrm.extra.perf.PAPI_L3_TCA.265686,8974619935.0
1771121473.4253972,nrm.extra.perf.PAPI_TOT_INS.265686,175413358465.0
1771121473.4253972,nrm.extra.perf.PAPI_TOT_CYC.265686,940880397262.0
1771121473.4253972,nrm.extra.perf.PAPI_RES_STL.265686,808247828162.0
1771121473.4253972,nrm.extra.perf.PAPI_L3_TCM.265686,8402180660.0
1771121474.4247825,nrm.extra.perf.PAPI_L3_TCA.265686,11372239782.0
1771121474.4247825,nrm.extra.perf.PAPI_TOT_INS.265686,222305936264.0
1771121474.4247825,nrm.extra.perf.PAPI_TOT_CYC.265686,1208271716328.0
1771121474.4247825,nrm.extra.perf.PAPI_RES_STL.265686,1039787718931.0
1771121474.4247825,nrm.extra.perf.PAPI_L3_TCM.265686,10648169737.0
1771121475.4258897,nrm.extra.perf.PAPI_L3_TCA.265686,13767510208.0
1771121475.4258897,nrm.extra.perf.PAPI_TOT_INS.265686,269084350069.0
1771121475.4258897,nrm.extra.perf.PAPI_TOT_CYC.265686,1472901840711.0
1771121475.4258897,nrm.extra.perf.PAPI_RES_STL.265686,1269049667825.0
1771121475.4258897,nrm.extra.perf.PAPI_L3_TCM.265686,12891024662.0
1771121476.425773,nrm.extra.perf.PAPI_L3_TCA.265686,16310209276.0
1771121476.425773,nrm.extra.perf.PAPI_TOT_INS.265686,317460094642.0
1771121476.425773,nrm.extra.perf.PAPI_TOT_CYC.265686,1754092554040.0
1771121476.425773,nrm.extra.perf.PAPI_RES_STL.265686,1521759253159.0
1771121476.425773,nrm.extra.perf.PAPI_L3_TCM.265686,15272867090.0
1771121477.4213169,nrm.extra.perf.PAPI_L3_TCA.265686,18414909341.0
1771121477.4213169,nrm.extra.perf.PAPI_TOT_INS.265686,364031162142.0
1771121477.4213169,nrm.extra.perf.PAPI_TOT_CYC.265686,2033337505739.0
1771121477.4213169,nrm.extra.perf.PAPI_RES_STL.265686,1729384428829.0
1771121477.4213169,nrm.extra.perf.PAPI_L3_TCM.265686,17234539141.0
1771121478.4260457,nrm.extra.perf.PAPI_L3_TCA.265686,20789860056.0
1771121478.4260457,nrm.extra.perf.PAPI_TOT_INS.265686,411789640626.0
1771121478.4260457,nrm.extra.perf.PAPI_TOT_CYC.265686,2313274945740.0
1771121478.4260457,nrm.extra.perf.PAPI_RES_STL.265686,1964650856730.0
1771121478.4260457,nrm.extra.perf.PAPI_L3_TCM.265686,19467765822.0
1771121479.4233522,nrm.extra.perf.PAPI_L3_TCA.265686,23317235843.0
1771121479.4233522,nrm.extra.perf.PAPI_TOT_INS.265686,460277010299.0
1771121479.4233522,nrm.extra.perf.PAPI_TOT_CYC.265686,2594704071492.0
1771121479.4233522,nrm.extra.perf.PAPI_RES_STL.265686,2214412070535.0
1771121479.4233522,nrm.extra.perf.PAPI_L3_TCM.265686,21830538016.0
1771121480.4234385,nrm.extra.perf.PAPI_L3_TCA.265686,25845735462.0
1771121480.4234385,nrm.extra.perf.PAPI_TOT_INS.265686,508828388223.0
1771121480.4234385,nrm.extra.perf.PAPI_TOT_CYC.265686,2876331210917.0
1771121480.4234385,nrm.extra.perf.PAPI_RES_STL.265686,2464376554631.0
1771121480.4234385,nrm.extra.perf.PAPI_L3_TCM.265686,24198406546.0
1771121481.4237015,nrm.extra.perf.PAPI_L3_TCA.265686,28315050434.0
1771121481.4237015,nrm.extra.perf.PAPI_TOT_INS.265686,556872108220.0
