time,scope,value
1771123478.7284117,0,37407248.85229492
1771123478.7284117,1,37407248.85229492
1771123479.7284176,0,37407402.246398926
1771123479.7284176,1,37407402.37475586
1771123480.7284288,0,37407549.07678223
1771123480.7284288,1,37407549.07678223
1771123481.728446,0,37407626.42883301
1771123481.728446,1,37407626.42883301
1771123482.7284234,0,37407719.9074707
1771123482.7284234,1,37407720.03643799
1771123483.7284236,0,37407843.629333496
1771123483.7284236,1,37407843.629333496
1771123484.7284133,0,37407971.367492676
1771123484.7284133,1,37407971.51287842
1771123485.7284298,0,37408106.95300293
1771123485.7284298,1,37408107.13378906
1771123486.728397,0,37408242.62359619
1771123486.728397,1,37408242.62359619
1771123487.7283347,0,37408378.18640137
1771123487.7283347,1,37408378.18640137
1771123488.7296698,0,37408514.02508545
1771123488.7296698,1,37408514.02508545
1771123489.7284017,0,37408649.43951416
1771123489.7284017,1,37408649.57696533
1771123490.7284193,0,37408785.00427246
1771123490.7284193,1,37408785.1484375
1771123491.7284045,0,37408920.67120361
1771123491.7284045,1,37408920.81414795
1771123492.7293704,0,37409056.45410156
1771123492.7293704,1,37409056.45410156
1771123493.7284029,0,37409191.86694336
1771123493.7284029,1,37409191.99102783
1771123494.7290766,0,37409327.58508301
1771123494.7290766,1,37409327.58508301
1771123495.7283735,0,37409463.11981201
1771123495.7283735,1,37409463.11981201
1771123496.7284424,0,37409598.70257568
1771123496.7284424,1,37409598.70257568
1771123497.7284057,0,37409734.28515625
1771123497.7284057,1,37409734.414123535
1771123498.7284157,0,37409869.97198486
1771123498.7284157,1,37409869.97198486
1771123499.7284105,0,37410005.55206299
1771123499.7284105,1,37410005.55206299
1771123500.7284067,0,37410141.11602783
1771123500.7284067,1,37410141.2510376
1771123501.7284105,0,37410276.69464111
1771123501.7284105,1,37410276.84094238
1771123502.72843,0,37410412.421875
1771123502.72843,1,37410412.421875
1771123503.7283473,0,37410547.98126221
1771123503.7283473,1,37410547.98126221
1771123504.7283735,0,37410683.52825928
1771123504.7283735,1,37410683.52825928
1771123505.7284126,0,37410819.20880127
1771123505.7284126,1,37410819.20880127
1771123506.7323775,0,37410955.31549072
1771123506.7323775,1,37410955.31549072
1771123507.7283645,0,37411090.43121338
1771123507.7283645,1,37411090.43121338
1771123508.728423,0,37411225.97668457
1771123508.728423,1,37411225.97668457
1771123509.7284229,0,37411361.551208496
1771123509.7284229,1,37411361.551208496
1771123510.7284021,0,37411497.29431152
1771123510.7284021,1,37411497.29431152
1771123511.728415,0,37411632.850097656
1771123511.728415,1,37411632.99194336
1771123512.7283742,0,37411768.43444824
1771123512.7283742,1,37411768.43444824
1771123513.728406,0,37411904.025146484
1771123513.728406,1,37411904.16479492
1771123514.7284203,0,37412039.62109375
1771123514.7284203,1,37412039.62109375
1771123515.7283976,0,37412175.25653076
1771123515.7283976,1,37412175.25653076
1771123516.728457,0,37412310.94226074
1771123516.728457,1,37412310.94226074
1771123517.7284226,0,37412446.50256348
1771123517.7284226,1,37412446.50256348
1771123518.7283657,0,37412582.078430176
1771123518.7283657,1,37412582.078430176
1771123519.728406,0,37412717.656311035
1771123519.728406,1,37412717.79608154
1771123520.728406,0,37412853.35192871
1771123520.728406,1,37412853.35192871
1771123521.7284048,0,37412988.91546631
1771123521.7284048,1,37412988.91546631
1771123522.728419,0,37413124.628479004
1771123522.728419,1,37413124.628479004
1771123523.728411,0,37413260.17108154
1771123523.728411,1,37413260.17108154
1771123524.728411,0,37413395.70928955
1771123524.728411,1,37413395.70928955
1771123525.7283995,0,37413531.39935303
1771123525.7283995,1,37413531.39935303
1771123526.7284129,0,37413666.94390869
1771123526.7284129,1,37413667.10925293
1771123527.7284305,0,37413802.648864746
1771123527.7284305,1,37413802.648864746
1771123528.7284057,0,37413938.1741333
1771123528.7284057,1,37413938.316711426
