time,scope,value
1764786672.4777284,nrm.extra.perf.PAPI_L3_TCA.420749,2254874054.0
1764786672.4777284,nrm.extra.perf.PAPI_TOT_INS.420749,47616478559.0
1764786672.4777284,nrm.extra.perf.PAPI_TOT_CYC.420749,283741498076.0
1764786672.4777284,nrm.extra.perf.PAPI_RES_STL.420749,248550295380.0
1764786672.4777284,nrm.extra.perf.PAPI_L3_TCM.420749,2005121527.0
1764786673.4793618,nrm.extra.perf.PAPI_L3_TCA.420749,4569272722.0
1764786673.4793618,nrm.extra.perf.PAPI_TOT_INS.420749,96667717852.0
1764786673.4793618,nrm.extra.perf.PAPI_TOT_CYC.420749,576959169380.0
1764786673.4793618,nrm.extra.perf.PAPI_RES_STL.420749,504166308375.0
1764786673.4793618,nrm.extra.perf.PAPI_L3_TCM.420749,4062618472.0
1764786674.4812915,nrm.extra.perf.PAPI_L3_TCA.420749,6534221552.0
1764786674.4812915,nrm.extra.perf.PAPI_TOT_INS.420749,137746083758.0
1764786674.4812915,nrm.extra.perf.PAPI_TOT_CYC.420749,771508736761.0
1764786674.4812915,nrm.extra.perf.PAPI_RES_STL.420749,671006605352.0
1764786674.4812915,nrm.extra.perf.PAPI_L3_TCM.420749,5812479817.0
1764786675.4797876,nrm.extra.perf.PAPI_L3_TCA.420749,8390404820.0
1764786675.4797876,nrm.extra.perf.PAPI_TOT_INS.420749,176862597876.0
1764786675.4797876,nrm.extra.perf.PAPI_TOT_CYC.420749,950463430690.0
1764786675.4797876,nrm.extra.perf.PAPI_RES_STL.420749,821296415506.0
1764786675.4797876,nrm.extra.perf.PAPI_L3_TCM.420749,7468224214.0
1764786676.4796798,nrm.extra.perf.PAPI_L3_TCA.420749,10341300677.0
1764786676.4796798,nrm.extra.perf.PAPI_TOT_INS.420749,225161845559.0
1764786676.4796798,nrm.extra.perf.PAPI_TOT_CYC.420749,1142071654819.0
1764786676.4796798,nrm.extra.perf.PAPI_RES_STL.420749,980823309009.0
1764786676.4796798,nrm.extra.perf.PAPI_L3_TCM.420749,9204508578.0
1764786677.4858923,nrm.extra.perf.PAPI_L3_TCA.420749,12345993039.0
1764786677.4858923,nrm.extra.perf.PAPI_TOT_INS.420749,274734191536.0
1764786677.4858923,nrm.extra.perf.PAPI_TOT_CYC.420749,1336120182491.0
1764786677.4858923,nrm.extra.perf.PAPI_RES_STL.420749,1145840184345.0
1764786677.4858923,nrm.extra.perf.PAPI_L3_TCM.420749,10993836280.0
1764786678.4794025,nrm.extra.perf.PAPI_L3_TCA.420749,14351213837.0
1764786678.4794025,nrm.extra.perf.PAPI_TOT_INS.420749,323917702450.0
1764786678.4794025,nrm.extra.perf.PAPI_TOT_CYC.420749,1528347455119.0
1764786678.4794025,nrm.extra.perf.PAPI_RES_STL.420749,1309233541420.0
1764786678.4794025,nrm.extra.perf.PAPI_L3_TCM.420749,12767380325.0
1764786679.4786582,nrm.extra.perf.PAPI_L3_TCA.420749,16332450453.0
